s,placed,knockout,max_share,single_unit
0.31622776601683794,False,unplaced,0.99,True
0.3651741272548377,False,unplaced,0.9900000000000014,True
0.4216965034285822,False,unplaced,0.99,True
0.4869675251658631,False,unplaced,0.99,True
0.5623413251903491,False,unplaced,0.9900000000000001,True
0.6493816315762113,False,unplaced,0.99,True
0.7498942093324559,False,unplaced,0.9900000000000271,True
0.8659643233600653,False,unplaced,0.99,True
1.0,False,unplaced,0.989999999999903,True
1.1547819846894583,False,unplaced,0.99,True
1.333521432163324,False,unplaced,0.9900000000000005,True
1.539926526059492,False,unplaced,0.9899999999999981,True
1.7782794100389228,False,unplaced,0.99,True
2.053525026457146,False,unplaced,0.9899999999998292,True
2.371373705661655,False,unplaced,0.9899999999999777,True
2.7384196342643614,False,unplaced,0.9899999999999993,True
3.1622776601683795,False,unplaced,0.99,True
3.651741272548377,False,unplaced,0.9900000000000295,True
4.216965034285822,False,unplaced,0.9899999999942966,True
4.869675251658631,False,unplaced,0.9899999999999837,True
5.623413251903491,True,redundant,0.9899999999999957,True
6.493816315762113,True,redundant,0.989999999999999,True
7.498942093324558,True,redundant,0.99,True
8.659643233600654,True,redundant,0.9900000000001926,True
10.0,True,redundant,0.9899999999994402,True
