arm,seed,t,frac_time,placed,min_share,cancel,grad_rel,lam_rel,stationary_two_unit
T2-3,600000,1,0.0043859649122807015,False,0.1470516763900044,0.9124696119255353,7.722993204859543,-14.214843164243682,False
T2-3,600000,5,0.021929824561403508,False,0.2823719581799379,1.0,7.506360727173634,-14.119477442845449,False
T2-3,600000,10,0.043859649122807015,False,0.4288298446645118,1.0,1.294504380958365,-2.3777188627671904,False
T2-3,600000,14,0.06140350877192982,False,0.46434164840999803,1.0,0.623927487130463,-1.0665688392245232,False
T2-3,600000,19,0.08333333333333333,False,0.4933702181904621,1.0,0.27324224483656007,-0.40193171105932923,False
T2-3,600000,24,0.10526315789473684,False,0.4837900389560794,1.0,0.09411526051878698,-0.14206914101906795,False
T2-3,600000,28,0.12280701754385964,False,0.46981940177579923,1.0,0.03609662583211964,-0.062257084816224495,False
T2-3,600000,33,0.14473684210526316,False,0.4619190132553798,1.0,0.04253324435110665,-0.06905937565209676,False
T2-3,600000,37,0.16228070175438597,False,0.4632967765366953,1.0,0.05304266193354624,-0.07870203998104101,False
T2-3,600000,42,0.18421052631578946,False,0.46791016164416616,0.9842251343249885,0.04181061069538805,-0.0638600893419006,False
T2-3,600000,47,0.20614035087719298,False,0.46815727951850367,1.0,0.025948151432043407,-0.0371845097376849,False
T2-3,600000,51,0.2236842105263158,False,0.46320760000614986,1.0,0.013669859440060422,-0.02400798737864947,False
T2-3,600000,56,0.24561403508771928,False,0.45307596909203857,1.0,0.011482221055016083,-0.04187441185948791,False
T2-3,600000,60,0.2631578947368421,False,0.4450401860840692,1.0,0.017315828859082717,-0.05941160623779782,False
T2-3,600000,65,0.2850877192982456,False,0.4379620705202262,1.0,0.018790194959799587,-0.06751834178552867,False
T2-3,600000,70,0.30701754385964913,False,0.4342783174154887,1.0,0.01610335284265355,-0.062384705017511706,False
T2-3,600000,74,0.32456140350877194,False,0.4325019980332277,1.0,0.012488515562243384,-0.055850287726895084,False
T2-3,600000,79,0.34649122807017546,False,0.43023105523500826,1.0,0.010248308709488795,-0.051415636896505884,False
T2-3,600000,84,0.3684210526315789,False,0.42758610174974776,1.0,0.012645089014042172,-0.052963605017839345,False
T2-3,600000,88,0.38596491228070173,False,0.4257559800430328,1.0,0.013190762008810976,-0.05695930444594482,False
T2-3,600000,93,0.40789473684210525,False,0.42466461084340923,1.0,0.012169677948048945,-0.06240924731628793,False
T2-3,600000,97,0.42543859649122806,False,0.4250446763139788,1.0,0.010919768278580355,-0.06624118689639184,False
T2-3,600000,102,0.4473684210526316,False,0.4271234288279361,0.9940097460155627,0.011448420151935694,-0.0711951586509841,False
T2-3,600000,107,0.4692982456140351,False,0.4310072396372054,0.96748876596047,0.012377570260200145,-0.0775346989687037,False
T2-3,600000,111,0.4868421052631579,False,0.4355434585574608,0.9456395936509127,0.013861731765192524,-0.08384865820910166,False
T2-3,600000,116,0.5087719298245614,False,0.44321621508861103,0.9164135198015607,0.017153800395212106,-0.09321163064376678,False
T2-3,600000,120,0.5263157894736842,False,0.4510670196426416,0.8924542724376006,0.020134145741826957,-0.10213002985049247,False
T2-3,600000,125,0.5482456140350878,False,0.46312088542998714,0.8648458183921762,0.024826435146702935,-0.11567471231109772,False
T2-3,600000,130,0.5701754385964912,False,0.4777331928437203,0.8407183663746841,0.031624853561877074,-0.13177205765355243,False
T2-3,600000,134,0.5877192982456141,False,0.4909975302405352,0.8223447296814512,0.039266895889548244,-0.1454522588114245,False
T2-3,600000,139,0.6096491228070176,False,0.49230100475241556,0.7993577517223265,0.05195307976484786,-0.1615260536558134,False
T2-3,600000,143,0.6271929824561403,False,0.48223033286282274,0.7825114196255104,0.06437732840749291,-0.1720665192641016,False
T2-3,600000,148,0.6491228070175439,False,0.48011416862295136,0.7659979063786576,0.0821435431929413,-0.17883062958196214,False
T2-3,600000,153,0.6710526315789473,False,0.49218980419934844,0.7514135692742563,0.10162431002213194,-0.1690068060851311,False
T2-3,600000,157,0.6885964912280702,False,0.4920410254315404,0.7368194589650202,0.11684465086882866,-0.14022906318121744,False
T2-3,600000,162,0.7105263157894737,False,0.4717607790932356,0.7156082172923348,0.13145686162934467,-0.07595598856146879,False
T2-3,600000,167,0.7324561403508771,False,0.4548502229581233,0.6957470711432879,0.13625628018955194,-0.018376141834454393,False
T2-3,600000,171,0.75,False,0.4451669856074289,0.6812139326178764,0.13042448746248478,-0.010832021312048704,False
T2-3,600000,176,0.7719298245614035,False,0.4395771971784267,0.6606495428815805,0.11046600431184118,-0.009262092662213466,False
T2-3,600000,180,0.7894736842105263,False,0.44113342918702725,0.6392320825178563,0.08664178214101116,-0.008746715893457485,False
T2-3,600000,185,0.8114035087719298,False,0.44989091102986534,0.606688810885734,0.06525312229499793,-0.00877704127192639,False
T2-3,600000,190,0.8333333333333334,False,0.4628654447081709,0.5757621617947513,0.06229457642190482,-0.009268101605438063,False
T2-3,600000,194,0.8508771929824561,False,0.47350753418006714,0.5579108011803527,0.05856825040036077,-0.009214856103644954,False
T2-3,600000,199,0.8728070175438597,False,0.48513918647487125,0.5408638016635937,0.05106031151761754,-0.008274794847325444,False
T2-3,600000,203,0.8903508771929824,False,0.4917315644564443,0.5267260167762828,0.04280658756841351,-0.00714242696265816,False
T2-3,600000,208,0.9122807017543859,False,0.4950082038663635,0.5093206740180021,0.03579634916598234,-0.005767446543149054,False
T2-3,600000,213,0.9342105263157895,False,0.49455450833348125,0.49255402516066615,0.03470094511093102,-0.004986997514983107,False
T2-3,600000,217,0.9517543859649122,False,0.4941913592055618,0.4792518246568318,0.034820452913233775,-0.004742239125383243,False
T2-3,600000,222,0.9736842105263158,False,0.4956728444664287,0.464876424698495,0.03314873950200022,-0.004444997152575658,False
T2-3,600000,227,0.9956140350877193,False,0.49891285757871745,0.45194360601440936,0.029867058453924334,-0.00424843196076708,False
T2-3,600001,1,0.009345794392523364,False,0.1572667343346939,1.0,0.8985458617614558,-2.6841398619969286,False
T2-3,600001,3,0.028037383177570093,False,0.30311657689130345,1.0,0.3723169334961919,-1.3037299742151462,False
