seed,growth,relax,ratio,hess_min_eig
600000,0.01325943054996527,0.004295710115807241,3.0866679064710554,0.02070408038188935
600001,0.0238952076505602,0.009134187317722395,2.616019008521763,0.032305606065484875
600002,0.0004778844551345696,0.1082310373108463,0.00441541046827497,0.13459503911643395
600003,0.016535598306934046,0.002652880152099599,6.233074002173484,0.018936530856515376
600004,0.016432673671832387,0.00658247631810346,2.4964273136294337,0.027923207630693603
600005,0.0160471567694201,0.016925133923797034,0.9481258370935262,0.044843063451728976
600006,0.032220564506225194,0.006048825740195134,5.326747023329815,0.044297717587844766
600007,0.053757638931022665,0.008110113588133353,6.6284692990836,0.05016484788265985
600008,0.04403415086975753,0.010352733222717452,4.253384098909406,0.04848161403767592
600009,0.016875385945244348,0.004574869083265466,3.6887145048528853,0.01975468992629894
600010,0.06915333284631654,0.006864664433793758,10.073811110982295,0.06110265227022087
600011,0.017237312759066384,0.0044220604917247705,3.8980273542895794,0.021479138421370187
600012,0.08366984920890917,0.012256536981016489,6.826548913326908,0.06930129342438383
600013,0.0696760757435984,0.025124049748811442,2.773282032165002,0.05971483850428582
600014,0.013792710691542422,0.00308249466071496,4.474528656066938,0.018790317395662413
600015,0.08705094561405857,0.03189029820882383,2.72969995589355,0.0321828171162212
600016,0.022081705185015895,0.008761442249170245,2.5203276534873185,0.037664099309661386
600017,0.01796806513644742,0.004826364520521634,3.7228984798076192,0.02289485354470219
600018,0.013747484670915418,0.015140665121818107,0.9079841975439323,0.05738623443165514
600019,0.015130295910205628,0.00443244595706586,3.413531954312063,0.023251017391730182
600020,0.01515760448161697,0.004019739826521048,3.7707924233333716,0.02103438927424691
600021,0.01894702481763585,0.008542273298897445,2.2180307459937336,0.042067449704648374
600022,0.05005371750223014,0.014007491028199776,3.573353529298171,0.07293173557139213
600023,0.03195704584386636,0.008163665219014881,3.91454634487359,0.053590053819631236
600024,0.01406419809201729,0.003998719635031507,3.517175340027677,0.017716936382442542
600025,0.0626368477414202,0.024905151029773573,2.5150157759147573,0.07643425042159649
