seed,placed_at_init,crossed,step,s_cross,growth,relax,ratio
600320,False,True,187,0.0992003068121649,0.006388614819058495,0.07659448923917783,0.08340828279576463
600321,False,True,18076,5.35794686815714,6.420022894627314e-05,4.568122338220472,1.405396445036596e-05
600322,False,True,14791,4.327998937368616,7.921173022744622e-05,6.822161411927218,1.161094343047351e-05
600323,False,True,33,0.02767932040132521,0.0008491328770443692,0.012274864207557778,0.06917655973102725
600324,False,True,58,0.04057414574138067,0.013543538906475328,0.0027511103541635325,4.922935528914181
600325,False,True,16774,4.916388165385319,6.98663145960494e-05,5.470253975768047,1.2772042195031698e-05
600326,False,True,16790,5.08829140632833,6.763317686946206e-05,5.343263373174923,1.2657653599671802e-05
600327,False,True,653,0.26243797251370005,0.002890159638745657,0.08265563639958623,0.034966274105901446
600328,False,True,15830,4.838219843872247,7.107334830843311e-05,6.393007766988214,1.1117356790247763e-05
600329,False,True,18484,5.576176480017663,6.177581683975587e-05,6.20422808737652,9.957051218901592e-06
600330,False,True,44,0.0557558006312018,0.007997643074598106,0.013707833275459125,0.5834359751745839
600331,False,True,15640,4.633986629145405,7.398911951876522e-05,5.958959258897519,1.241644997124114e-05
600332,False,True,17869,5.261191910124441,6.537794494987273e-05,5.119379400437965,1.2770677817760414e-05
600333,False,True,18717,5.628620960042989,6.113302306339444e-05,4.653304068153585,1.3137551762795465e-05
600334,False,True,431,0.15401890234731336,0.0031679735804483944,0.04511536053843351,0.07021940072383144
600335,False,True,37,0.039554771075639955,0.0008678782528497354,0.015645252287889024,0.055472307948754476
600336,False,True,1657,0.4867612443284457,0.0009792700810882465,0.08278174914195217,0.011829540825587261
600337,False,True,18473,5.482567978408317,6.278376646881613e-05,4.7976543774955465,1.308634627023514e-05
600338,False,True,48,0.05561105759278566,0.0007006834117650516,-0.08422136688124898,
600339,False,True,7,0.048800405849580564,8.745239110879192e-05,0.015930235352895325,0.005489711179496003
600340,False,True,17707,5.326721882752244,6.461016398618487e-05,5.603665054568366,1.1529983208670132e-05
600341,False,True,19852,5.929484800664582,5.8093196301010434e-05,4.902721038911047,1.1849174333996703e-05
600342,False,True,695,0.25688736589774186,0.003458446353143945,0.185189610363397,0.018675164045960497
600343,False,True,17619,5.321098758846379,6.467982897270677e-05,5.560906618427769,1.1631166176819143e-05
600344,False,True,113,0.053421181370056914,0.009839469666426135,0.020146812248872367,0.4883884132576288
600345,False,True,171,0.0799436851736337,0.006256695246006452,0.024261058795698287,0.25789044487686674
600346,False,True,20310,6.063709039016691,5.6795528741885616e-05,5.753263108438412,9.871880995427207e-06
600347,False,True,16811,5.075169258794138,6.778887853935789e-05,5.434935590825787,1.2472802557915505e-05
600348,False,True,236,0.145668449816562,0.0036638542650121756,0.05592152915083793,0.06551777679629628
600349,False,True,20845,6.399236486505753,5.389366593772427e-05,5.840290945674954,9.227907725664831e-06
600350,False,True,16461,4.974727323611035,6.905808193158513e-05,5.941951458896015,1.1622121521742586e-05
600351,False,True,35,0.0217950658918352,0.0036833186113631178,0.01734008422900894,0.2124164198234483
600352,False,True,93,0.0634927179821353,0.008942900709505512,0.027138763158291623,0.32952499188501944
600353,False,True,17578,5.227076668038994,6.582195810890777e-05,6.630386365601721,9.927318632650194e-06
600354,False,True,18508,5.5140713774824865,6.243410767417045e-05,6.293323302674342,9.920689701042236e-06
600355,False,True,945,0.2860018004152949,0.0031791376356911693,0.07773014488050548,0.04089967464461126
600356,False,True,18625,5.482545461069632,6.273579716855518e-05,4.765434464879092,1.316475919056562e-05
600357,False,True,15791,4.74125650120086,7.247635290491371e-05,6.300937655412497,1.1502471039791454e-05
600358,False,True,1342,0.4239218113757238,0.0013189434682884936,0.08948621288415731,0.014739069022799155
600359,False,True,1227,0.3527375224117354,0.0024078488360358783,0.10353299995952264,0.023256824751308792
600360,False,True,16525,4.938827512072528,6.961213859318363e-05,5.970899953323233,1.16585672406786e-05
600361,False,True,15834,4.691173279962456,7.312303793566954e-05,5.370333262762896,1.361610804355364e-05
600362,False,True,15757,4.71677421996041,7.274774624301274e-05,5.55502789769205,1.3095838145698112e-05
600363,False,True,11,0.05829962974706552,3.204620361398432e-05,-0.06137817919447435,
600364,False,True,252,0.15047231426785346,0.0033409269517832105,0.03757376232565944,0.08891648706421032
600365,False,True,138,0.08120279725531525,0.005517910421405446,0.04659502118246012,0.11842274735315642
600366,False,True,17819,5.385213231715651,6.385672849783502e-05,6.0344212417827725,1.0582080027109539e-05
600367,False,True,16655,4.988876363690627,6.889910360562459e-05,6.299331239153128,1.0937526697657397e-05
600368,False,True,17357,5.244799490384885,6.561623770639159e-05,6.446847764963841,1.0178034304298424e-05
600369,False,True,152,0.10740180916771644,0.005595620189622521,0.044475880011396594,0.1258124670762824
600370,False,True,78,0.05580555361482021,0.0033995913602920154,0.024542172649547448,0.1385203913621194
600371,False,True,185,0.10939103522132243,0.004631859281473772,0.022258840262873638,0.20809077322862257
600372,False,True,16131,4.739029997999607,7.238661073094059e-05,5.110593185367499,1.416403303988191e-05
600373,False,True,20390,6.081896173372053,5.669381913632984e-05,4.664663338030432,1.2153893009622374e-05
600374,False,True,16535,4.92763252729053,6.981893420717238e-05,5.888485909627421,1.1856856801341994e-05
600375,False,True,17109,5.0922583672658455,6.744436566047179e-05,4.7016411456522205,1.4344856098351969e-05
600376,False,True,124,0.09933675254436142,0.005742104777206574,0.018276085718368668,0.31418679391700277
600377,False,True,114,0.1045325514967517,0.002968862330848793,0.021744943677309062,0.13653115753741007
600378,False,True,16615,4.889488313019301,7.022504860821015e-05,5.307557175393718,1.3231143120563897e-05
600379,False,True,17203,5.112658238722181,6.722348096798619e-05,5.029893134570914,1.3364793081974858e-05
600380,False,True,16249,4.935144139296582,6.966906781005248e-05,6.2131129599692585,1.1213230510844791e-05
600381,False,True,14077,4.156087841254086,8.233663907908537e-05,6.164270709888511,1.3357077090563814e-05
600382,False,True,17191,5.229609808004751,6.573983647836917e-05,5.572208238340347,1.179780684182568e-05
600383,False,True,16115,4.887783064635652,7.033021873614465e-05,6.00924936855969,1.1703661210019239e-05
600384,False,True,1385,0.4498244075316219,0.0013991332743906952,0.07412358736731106,0.01887568214227744
600385,False,True,17352,5.25000493689808,6.557672289441997e-05,6.430083132577417,1.0198425361280573e-05
600386,False,True,16664,5.061180264953076,6.790105107165709e-05,5.194684288142278,1.3071256558681039e-05
600387,False,True,251,0.09281336432422777,0.006010248297511384,0.008236490640832513,0.7297098436214444
600388,False,True,19726,5.904406362917024,5.8342852670601773e-05,5.290253153369789,1.1028366881353968e-05
600389,False,True,17333,5.19947050398244,6.618049561659798e-05,5.224227901721561,1.2667995512751128e-05
600390,False,True,19,0.02707984785000752,0.0003498502510147714,0.0031166990334195585,0.11225025171292369
600391,False,True,18799,5.791653238945926,5.9467244227549756e-05,5.903865101247162,1.0072595360450832e-05
600392,False,True,17382,5.283601314640768,6.508940697881974e-05,5.682925322192164,1.1453503836244639e-05
600393,False,True,218,0.05829182561626904,0.007767948843403218,0.031699810811989415,0.24504716729934697
600394,False,True,17853,5.346636499462065,6.437566643879775e-05,4.996196398606123,1.2884935119195428e-05
600395,False,True,19059,5.827825107382849,5.914358717340671e-05,5.992628420620074,9.869390027571068e-06
600396,False,True,65,0.06950034581851935,0.00734250771431852,0.012666536402307069,0.5796776230778576
600397,False,True,9,0.045187744315382694,6.68900243049522e-05,0.018347788318307662,0.0036456723363332277
600398,False,True,413,0.1541421057559635,0.002086503058557229,0.03876995816982912,0.053817521530909226
