act,seed,R2,variant,s,sigma,own_loss_recomputed,own_loss_recorded,own_match,pop_loss_stuck,own_gap_to_placed_found,pop_global_loss,pop_global_placed,s_direct,same_s,pop_gap
f1.30,630002,0.01,reset,0.01685100418911607,1.0,0.6845975074648066,0.6845975074648066,True,0.6847444330594133,0.00015301667322631385,0.6845827328907806,True,0.01685100418911607,True,0.00016170016863270575
f1.30,630002,0.03,reset,0.050553012567348204,1.0,0.6686870279323588,0.6686870279323588,True,0.6691063874145914,0.0014022694890345466,,,,,
f1.30,630005,0.003,preserved,0.005055301256734821,-1.0,0.690350557972024,0.690350557972024,True,0.690585941474846,,0.6905695256247887,True,0.005055301256734821,True,1.641585005729418e-05
f1.30,630005,0.003,reset,0.005055301256734821,-1.0,0.690350557972024,0.690350557972024,True,0.6905859414764859,,0.6905695256247887,True,0.005055301256734821,True,1.641585169720461e-05
f1.30,630005,0.01,preserved,0.01685100418911607,-1.0,0.6839741417312214,0.6839741417312213,True,0.6847489145857439,,0.6845827328907806,True,0.01685100418911607,True,0.0001661816949632966
f1.30,630005,0.01,reset,0.01685100418911607,-1.0,0.6839741417312214,0.6839741417312214,True,0.6847489145627437,,0.6845827328907806,True,0.01685100418911607,True,0.00016618167196302824
f1.30,630005,0.03,reset,0.050553012567348204,-1.0,0.6668807613844584,0.6668807613844584,True,0.6691207802832002,,,,,,
f1.30,630007,0.003,preserved,0.005055301256734821,-1.0,0.6900475095479658,0.6900475095479659,True,0.6905961428042243,,0.6905695256247887,True,0.005055301256734821,True,2.661717943563957e-05
f1.30,630007,0.003,reset,0.005055301256734821,-1.0,0.6900475095479658,0.6900475095479658,True,0.690596142804225,,0.6905695256247887,True,0.005055301256734821,True,2.6617179436305705e-05
f1.30,630007,0.01,reset,0.01685100418911607,-1.0,0.6829731049378861,0.6829731049378861,True,0.6847834317166054,-0.003145917075640936,0.6845827328907806,True,0.01685100418911607,True,0.00020069882582474108
f1.30,630010,0.003,preserved,0.005055301256734821,-1.0,0.6902397236873601,0.6902397236873603,True,0.6905927163873625,,0.6905695256247887,True,0.005055301256734821,True,2.319076257384367e-05
f1.30,630010,0.01,preserved,0.01685100418911607,-1.0,0.6836080664063435,0.6836080664063435,True,0.6847715244488665,,0.6845827328907806,True,0.01685100418911607,True,0.00018879155808582126
f1.30,630010,0.01,reset,0.01685100418911607,-1.0,0.6836080664063435,0.6836080664063435,True,0.68477152444887,,0.6845827328907806,True,0.01685100418911607,True,0.00018879155808937398
f1.30,630010,0.03,preserved,0.050553012567348204,-1.0,0.6658130284652745,0.6658130284652745,True,0.6691887615318306,-0.004580649442022078,,,,,
f1.30,630010,0.03,reset,0.050553012567348204,-1.0,0.6658130284652747,0.6658130284652747,True,0.6691887614559713,-0.004580649442021856,,,,,
f1.30,630012,0.003,preserved,0.005055301256734821,-1.0,0.6905245838215132,0.6905245838215132,True,0.690584736203519,,0.6905695256247887,True,0.005055301256734821,True,1.521057873032916e-05
f1.30,630012,0.01,preserved,0.01685100418911607,-1.0,0.6845467842476711,0.6845467842476709,True,0.6847449054708931,,0.6845827328907806,True,0.01685100418911607,True,0.00016217258011241853
f1.30,630012,0.01,reset,0.01685100418911607,-1.0,0.6845467842476708,0.6845467842476708,True,0.6847449054707633,,0.6845827328907806,True,0.01685100418911607,True,0.00016217257998263346
f1.30,630012,0.03,preserved,0.050553012567348204,-1.0,0.6685356382187047,0.6685356382187047,True,0.6691086117949433,0.0008848679481464616,,,,,
f1.30,630012,0.03,reset,0.050553012567348204,-1.0,0.6685356382187047,0.6685356382187047,True,0.6691086117945559,0.0008848679481464616,,,,,
f1.30,630016,0.003,preserved,0.005055301256734821,1.0,0.6904168455808258,0.6904168455808258,True,0.6905873832472319,,0.6905695256247887,True,0.005055301256734821,True,1.785762244321809e-05
f1.30,630016,0.003,reset,0.005055301256734821,1.0,0.6904168455808258,0.6904168455808256,True,0.6905873832478158,,0.6905695256247887,True,0.005055301256734821,True,1.785762302708438e-05
f1.30,630016,0.03,preserved,0.050553012567348204,1.0,0.6675049350352507,0.6675049350352507,True,0.6691366043569309,-0.0013972866271958484,,,,,
f1.30,630016,0.03,reset,0.050553012567348204,1.0,0.6675049350352507,0.6675049350352507,True,0.669136604356709,-0.0013972866271958484,,,,,
f1.30,630018,0.003,preserved,0.005055301256734821,1.0,0.6905967772598426,0.6905967772598425,True,0.690585854814841,1.963629960299862e-05,0.6905695256247887,True,0.005055301256734821,True,1.6329190052344345e-05
f1.30,630018,0.003,reset,0.005055301256734821,1.0,0.6905967772598426,0.6905967772598426,True,0.6905858548149039,1.963629960299862e-05,0.6905695256247887,True,0.005055301256734821,True,1.6329190115182968e-05
f1.30,630018,0.01,preserved,0.01685100418911607,1.0,0.6847840824131021,0.6847840824131021,True,0.6847484674944951,0.00017508876101435256,0.6845827328907806,True,0.01685100418911607,True,0.00016573460371449578
f1.30,630022,0.003,preserved,0.005055301256734821,1.0,0.6907295962279525,0.6907295962279528,True,0.6905846397609975,,0.6905695256247887,True,0.005055301256734821,True,1.5114136208804752e-05
f1.30,630022,0.003,reset,0.005055301256734821,1.0,0.6907295962279527,0.6907295962279527,True,0.6905846397608406,,0.6905695256247887,True,0.005055301256734821,True,1.5114136051930238e-05
f1.30,630022,0.01,reset,0.01685100418911607,1.0,0.6852220457250456,0.6852220457250456,True,0.6847446488377673,,0.6845827328907806,True,0.01685100418911607,True,0.00016191594698666822
f1.30,630024,0.003,preserved,0.005055301256734821,1.0,0.6904529653673339,0.6904529653673339,True,0.6905879268147024,,0.6905695256247887,True,0.005055301256734821,True,1.8401189913697102e-05
f1.30,630024,0.003,reset,0.005055301256734821,1.0,0.6904529653673339,0.6904529653673339,True,0.6905879268147023,,0.6905695256247887,True,0.005055301256734821,True,1.840118991358608e-05
f1.30,630024,0.01,preserved,0.01685100418911607,1.0,0.6843111922887978,0.6843111922887979,True,0.6847555632168374,,0.6845827328907806,True,0.01685100418911607,True,0.00017283032605674986
f1.30,630024,0.03,preserved,0.050553012567348204,1.0,0.6678548879460916,0.6678548879460915,True,0.6691407390379785,,,,,,
f1.30,630024,0.03,reset,0.050553012567348204,1.0,0.6678548879460919,0.6678548879460919,True,0.6691407393134358,,,,,,
f1.30,630026,0.003,preserved,0.005055301256734821,1.0,0.6906303790827942,0.6906303790827942,True,0.6905886191940819,,0.6905695256247887,True,0.005055301256734821,True,1.9093569293193724e-05
f1.30,630031,0.003,preserved,0.005055301256734821,-1.0,0.6900930069318278,0.690093006931828,True,0.6906073912693976,,0.6905695256247887,True,0.005055301256734821,True,3.786564460894759e-05
f1.30,630031,0.003,reset,0.005055301256734821,-1.0,0.690093006931828,0.690093006931828,True,0.6906073912684889,,0.6905695256247887,True,0.005055301256734821,True,3.7865643700230045e-05
