act,seed,R2,variant,s,reproduced,loss_endpoint,loss_polished,polish_move,polish_grad,G_lo,G_hi,duplicate,orientation,lam_min,lam_max,lam_min_rel,lam_second_rel,n_zero,lam_min_complement_rel,class,loss_placed_best,gap_to_placed,loss_any_best,lowest_found_is_placed,gap_to_lowest,placed_min_found,stuck_is_lowest_found,n_starts,evals
f1.30,630002,0.01,reset,0.01685100418911607,True,0.6845975074648066,0.6845975074648066,0.0,1.1480019192211532e-11,-3.677558045084495,-3.677558045084495,True,-1.0,2.1263491177807916e-16,0.24994505898148162,8.507266062572305e-16,0.01731534497250052,1,0.017315344972500524,duplicate-unit minimum (Morse-Bott),0.6844444907915803,0.00015301667322631385,0.6844444907915803,True,0.00015301667322631385,True,False,46,"[2.1263491177807916e-16, 0.004327884920436344, 0.004346578774918069, 0.006643229001503587, 0.00670761697487594, 0.24994505898148162]"
f1.30,630002,0.03,reset,0.050553012567348204,True,0.6686870279323588,0.6686870279323588,3.469446951953614e-18,6.936757795776571e-10,-3.5278333898049534,-3.5278333898049534,True,-1.0,-5.644448753008936e-16,0.24956416229402717,-2.2617224769471737e-15,0.050674442176329555,1,0.05067444217632811,duplicate-unit minimum (Morse-Bott),0.6672847584433242,0.0014022694890345466,0.6672847584433242,True,0.0014022694890345466,True,False,37,"[-5.644448753008936e-16, 0.012646524711452804, 0.012828564656362028, 0.019568957854295056, 0.020122890379718147, 0.24956416229402717]"
f1.30,630005,0.003,preserved,0.005055301256734821,True,0.690350557972024,0.690350557972024,0.0,1.2499582536552867e-09,-3.7977604097570996,-3.7977604097570996,True,1.0,-6.279209104910917e-15,0.24999399419103654,-2.511743982182455e-14,0.005257466665906656,1,0.005257466665886399,duplicate-unit minimum (Morse-Bott),inf,,0.6903505579720239,False,1.1102230246251565e-16,False,True,46,"[-6.279209104910917e-15, 0.0013143350911362368, 0.0013158275008935266, 0.0020496649658122046, 0.002055519579929749, 0.24999399419103654]"
f1.30,630005,0.003,reset,0.005055301256734821,True,0.690350557972024,0.690350557972024,8.673617379884035e-19,2.5545072125307544e-09,-3.7977604760198966,-3.7977604760198966,True,1.0,-9.84676453498469e-14,0.24999399419086116,-3.938800436728512e-13,0.005257466660231781,1,0.00525746666007093,duplicate-unit minimum (Morse-Bott),inf,,0.6903505579720239,False,1.1102230246251565e-16,False,True,46,"[-9.84676453498469e-14, 0.0013143350897166302, 0.0013158274994425011, 0.002049664952431998, 0.002055519566384198, 0.24999399419086116]"
f1.30,630005,0.01,preserved,0.01685100418911607,True,0.6839741417312213,0.6839741417312213,1.0585764903536798e-11,1.0586410220669862e-13,-3.7477039558415894,-3.7477039558415894,True,1.0,-7.109691604622424e-17,0.24993526329428128,-2.8446132454111764e-16,0.017446162765847116,1,0.01744616276584714,duplicate-unit minimum (Morse-Bott),inf,,0.6839741417312212,False,1.1102230246251565e-16,False,True,46,"[-7.109691604622424e-17, 0.004360411284356886, 0.004376916196646015, 0.00677182395378537, 0.006836464853810535, 0.24993526329428128]"
f1.30,630005,0.01,reset,0.01685100418911607,True,0.6839741417312214,0.6839741417312214,4.963866375579107e-08,3.5524835372382265e-11,-3.7477039251075146,-3.7477039251075146,True,1.0,-6.456199469700536e-15,0.24993526329523208,-2.5831486860156475e-14,0.017446162767035124,1,0.017446162767020865,duplicate-unit minimum (Morse-Bott),inf,,0.6839741417312212,False,2.220446049250313e-16,False,True,46,"[-6.456199469700536e-15, 0.004360411284670398, 0.004376916196936209, 0.006771823950973882, 0.006836464851748959, 0.24993526329523208]"
f1.30,630005,0.03,reset,0.050553012567348204,True,0.6668807613844584,0.6668807613844584,8.244639693177902e-11,8.244639389601294e-11,-3.6036691820449844,-3.6036691820449844,True,1.0,-5.527972030656992e-17,0.24947281247458541,-2.2158615104482151e-16,0.05143248132230027,1,0.05143248132230019,duplicate-unit minimum (Morse-Bott),inf,,0.6665966593112514,False,0.0002841020732069488,False,False,38,"[-5.527972030656992e-17, 0.012831005768020832, 0.012982626647470937, 0.019835683735883087, 0.020401707125927527, 0.24947281247458541]"
f1.30,630007,0.003,preserved,0.005055301256734821,True,0.6900475095479659,0.6900475095479659,4.336808689942018e-19,1.7024592239428538e-11,-4.038537044881223,-4.038537044881223,True,-1.0,-3.083389480960984e-17,0.24999337738824237,-1.2333884653962043e-16,0.005074969762292368,1,0.005074969762292475,duplicate-unit minimum (Morse-Bott),inf,,0.6874218324922989,False,0.002625677055666964,False,False,46,"[-3.083389480960984e-17, 0.0012687088310186746, 0.001270176464120889, 0.002056579626965159, 0.0020619633844142027, 0.24999337738824237]"
f1.30,630007,0.003,reset,0.005055301256734821,True,0.6900475095479658,0.6900475095479658,0.0,1.7347798544897763e-13,-4.03853704489409,-4.03853704489409,True,-1.0,8.440279966300869e-17,0.24999337738824215,3.376201423605327e-16,0.005074969762295693,1,0.0050749697622955794,duplicate-unit minimum (Morse-Bott),inf,,0.6874218324922989,False,0.002625677055666853,False,False,46,"[8.440279966300869e-17, 0.0012687088310195048, 0.0012701764641076553, 0.0020565796269046877, 0.002061963384343623, 0.24999337738824215]"
f1.30,630007,0.01,reset,0.01685100418911607,True,0.6829731049378861,0.6829731049378861,1.734723475976807e-18,4.796908183168913e-10,-3.9901601243046265,-3.9901601243046265,True,-1.0,-8.072817564295427e-16,0.24992833711260062,-3.230052925394517e-15,0.016896947062767752,1,0.01689694706276631,duplicate-unit minimum (Morse-Bott),0.686119022013527,-0.003145917075640936,0.682973104937886,False,1.1102230246251565e-16,True,True,42,"[-8.072817564295427e-16, 0.004223025881677185, 0.004238963556719264, 0.0067820111840687205, 0.006841578104861956, 0.24992833711260062]"
f1.30,630010,0.003,preserved,0.005055301256734821,True,0.6902397236873603,0.69023972368736,3.6270123189574566e-11,3.627012410030439e-10,-3.9582165422101387,-3.9582165422101387,True,1.0,-1.8038265475294528e-16,0.24999374672467278,-7.215486671816927e-16,0.005110451057737578,1,0.0051104510577371295,duplicate-unit minimum (Morse-Bott),inf,,0.6902397236873601,False,-1.1102230246251565e-16,False,True,46,"[-1.8038265475294528e-16, 0.0012775808073768843, 0.001279079759081546, 0.002018623748057019, 0.002024117192883731, 0.24999374672467278]"
f1.30,630010,0.01,preserved,0.01685100418911607,True,0.6836080664063435,0.6836080664063436,3.398731990289505e-11,3.396154885093594e-14,-3.9081853523325676,-3.9081853523325676,True,1.0,-1.498974436937226e-16,0.2499324830820628,-5.997517483331901e-16,0.01699583862631313,1,0.016995838626313264,duplicate-unit minimum (Morse-Bott),inf,,0.6836080664063434,False,2.220446049250313e-16,False,True,46,"[-1.498974436937226e-16, 0.004247812149936476, 0.004264243198004115, 0.006657933871247522, 0.00671870233684404, 0.2499324830820628]"
