act,seed,R2,loss_placed_best,recorded,grad_at_best_placed,loss_after_polish,grad_after_polish,still_placed,G_lo_after,loss_stuck_min
f1.30,630002,0.01,0.6844444907915803,0.6844444907915803,2.419817193843876e-10,0.6844444907915803,2.419817193843876e-10,True,0.8077309984248879,0.6845975074648066
f1.30,630002,0.03,0.6672847584433242,0.6672847584433242,1.4180032148480848e-11,0.6672847584433242,1.4180032148480848e-11,True,0.8765413162761899,0.6686870279323588
f1.30,630007,0.01,0.686119022013527,0.686119022013527,3.1880314344369734e-10,0.686119022013527,3.1880314344369734e-10,True,0.8665449165420105,0.6829731049378861
f1.30,630010,0.03,0.6703936779072965,0.6703936779072965,7.124491139864951e-11,0.6703936779072965,7.124491139864951e-11,True,0.39335907423861505,0.6658130284652745
f1.30,630012,0.03,0.6676507702705582,0.6676507702705582,9.805559142428422e-12,0.6676507702705582,9.805559142428422e-12,True,0.18593697012738297,0.6685356382187047
f1.30,630016,0.03,0.6689022216624465,0.6689022216624465,8.189665579808741e-11,0.6689022216624465,8.189665579808741e-11,True,0.7706639401737538,0.6675049350352507
f1.30,630018,0.003,0.6905771409602396,0.6905771409602396,1.5581711268475296e-12,0.6905771409602396,1.5581711268475296e-12,True,0.2103104374447664,0.6905967772598426
f1.30,630018,0.01,0.6846089936520877,0.6846089936520877,6.7914424084492e-15,0.6846089936520877,6.7914424084492e-15,True,0.6362499348178885,0.6847840824131021
f1.30,630033,0.03,0.6720681568486947,0.6720681568486947,1.3728003835696695e-10,0.6720681568486947,1.3728003835696695e-10,True,0.1674976145156779,0.6637054599934618
f1.30,630033,0.1,0.6248508140329846,0.6248508140329846,2.922984354558622e-10,0.6248508140329846,2.922984354558622e-10,True,0.8636831526022224,0.6096529847724939
f1.30,630036,0.01,0.6853902692053715,0.6853902692053715,3.816917780105622e-10,0.6853902692053715,3.816917780105622e-10,True,0.5595065140292937,0.6838720648189991
f1.30,630038,0.03,0.6675813704197037,0.6675813704197037,5.377642775528102e-15,0.6675813704197037,5.377642775528102e-15,True,0.27670730876480665,0.6685429176817052
f1.30,630040,0.01,0.684918286469782,0.684918286469782,4.4637698398686254e-10,0.684918286469782,4.4637698398686254e-10,True,0.9536533678896211,0.6839380341031014
f1.30,630047,0.01,0.6862017970855371,0.6862017970855371,1.132124699909187e-10,0.6862017970855371,1.132124699909187e-10,True,0.372356507822142,0.682716389059553
f1.30,630047,0.03,0.6717619011552167,0.6717619011552167,2.0246736019924284e-10,0.6717619011552167,2.0246736019924284e-10,True,0.22286955336757952,0.6632232920795131
f1.30,630048,0.03,0.6721132391871458,0.6721132391871458,3.78626175686703e-11,0.6721132391871458,3.78626175686703e-11,True,0.20288032982807014,0.6654026689699576
f1.30,630052,0.03,0.6718578705360571,0.6718578705360571,1.7546506506129476e-10,0.6718578705360571,1.7546506506129476e-10,True,0.35791490519071,0.6653460702495343
f1.30,630056,0.03,0.6682631614746296,0.6682631614746296,2.802199097762248e-11,0.6682631614746296,2.802199097762248e-11,True,0.3852246794762808,0.6700770139472979
