act,n,reproduced,duplicates,strict_min,morse_bott_min,saddle,undetermined,frac_reduced_hessian_pd,frac_conditional_local_min,median_lam_min_complement_rel,n_placed_min_found,gap_to_placed_median,gap_to_placed_min,gap_to_placed_max,n_gap_to_placed_positive,n_lowest_found_is_placed,n_stuck_is_lowest_found,gap_to_lowest_median,median_polish_move
f1.30,125,125,125,0,125,0,0,0.0,1.0,0.016989686449675797,32,-0.002770097040905639,-0.015197829260490736,0.001813852472668298,9,9,47,7.568368200183695e-05,3.469446951953614e-18
f1.50,140,140,140,0,140,0,0,0.0,1.0,0.016908425631571564,26,-0.00272983445049646,-0.019125263209395005,0.0016081578657040074,12,9,61,4.980897637274495e-05,3.469446951953614e-18
tanh,16,16,0,0,0,9,7,0.0,0.0,,11,0.0004514771586207056,2.5000555876508734e-05,0.0024897885958142796,11,7,2,0.0002249166365896893,2.8294464705725204
f_a pooled,265,265,265,0,265,0,0,0.0,1.0,0.01692221578997628,58,-0.00272983445049646,-0.019125263209395005,0.001813852472668298,21,18,108,4.980897637274495e-05,3.469446951953614e-18
