s,loss,fw_gap,iters,n_active,gplus,V1,V2,rho2,width4_best_retained_loss,width4_minus_hull
0.5,0.5178801222245639,1.2332289589522816e-07,80,80,-0.028598797945114135,0.9537291240210723,0.012071155157249314,0.012498603922043952,0.517891096711955,1.0974487391068877e-05
0.6,0.4885044227841347,3.3614018540850665e-08,80,80,-0.07626872814107699,0.9508164550678865,0.019000222441731295,0.019591560840675343,0.4886211162139764,0.00011669342984171882
0.72,0.4555151948688132,1.2668477655797261e-09,80,80,-0.11645335695293949,0.9432071176791472,0.033553279879098945,0.03435159734462729,0.4559046749144553,0.0003894800456420988
0.864,0.419065821548426,1.5594192326329193e-09,80,80,-0.15039451815609034,0.9417273749838776,0.0377230273108592,0.038514484472596665,0.4196387430275425,0.0005729214791165282
1.0368,0.3796084837890643,5.860659857415129e-08,80,80,-0.1788626100144967,0.9361908556782917,0.04815015120478488,0.048916128524659055,0.3812207743416458,0.0016122905525814968
1.24416,0.3378709287400911,9.073162404726887e-08,80,80,-0.20711592280871588,0.9299524362009591,0.05544300760104798,0.05626472899765913,0.3402277058351366,0.0023567770950455036
1.492992,0.2948639512127184,2.1489822230047473e-07,80,80,-0.23046926168373982,0.9220436136321366,0.06517540091020525,0.06601919123328422,0.2981623438044889,0.003298392591770505
1.79159,0.25209184953578595,3.002337479462991e-07,80,80,-0.24949453200264443,0.9146301348810426,0.07398743745107512,0.07483929025916572,0.256110786281186,0.004018936745400048
2.149908,0.21096649547505864,5.095731296922423e-07,80,80,-0.2665030192384577,0.8991820661053962,0.08762777906504138,0.08879905231377853,0.2156436163092685,0.004677120834209875
2.57989,0.17217119499370398,2.105699605237099e-07,80,80,-0.24012892616745235,0.8741043545877748,0.1040448994385592,0.10636914459657511,0.1780980097656804,0.00592681477197643
3.095868,0.13596357899779096,1.2223059320248808e-07,80,80,-0.1423777074730459,0.8291936149111012,0.130758592420568,0.1362136483690486,0.1430937716056211,0.007130192607830127
3.715042,0.10229060875382949,2.5336717090485017e-06,80,80,-0.0006964802811958437,0.7783496184293722,0.16015923477868402,0.17065287581594996,0.1102545952197737,0.007963986465944206
4.45805,0.07229295457439448,2.248976520985435e-06,80,80,0.10908191320870231,0.7381850243570247,0.1848028942158899,0.20022244115786958,0.0787657054921064,0.00647275091771192
5.34966,0.04729299437251945,2.5123581752495294e-06,80,80,0.19180986399565414,0.7071543250607706,0.2037036271160962,0.2236392915374601,0.0520621564503084,0.004769162077788949
6.419592,0.028169711199009653,6.900165999440544e-06,80,80,0.2553222061059485,0.6828065994107764,0.21914284246342586,0.2429657720149578,0.0310651071285017,0.002895395929492048
7.703511,0.014999745131850675,5.060756662247923e-06,80,80,0.30286358383251466,0.6640904971738054,0.2308144645706869,0.25792064457967284,0.0166769917797377,0.0016772466478870256
9.244213,0.0069926614051339705,5.939617934602737e-06,80,80,0.33887389799007717,0.6494798049665216,0.23976565906487476,0.26962820589255143,0.0078176724425382,0.0008250110374042295
11.093056,0.0027849266322713196,1.8795320176050873e-06,80,80,0.3671210099713209,0.6376624489526977,0.24715763012344655,0.2793309464467715,0.0031395715350761,0.00035464490280478047
13.311667,0.0009199774061421551,6.913731376229429e-07,80,80,0.38975079690952874,0.6279402459472042,0.25334633554194896,0.2874732701749041,0.0010283984426987,0.00010842103655654494
15.974,0.00024317809498583518,5.720107453506887e-07,80,80,0.4079258397570102,0.6201137004239121,0.2581477235243032,0.2939303907529067,0.0002745229773847,3.134488239886482e-05
19.1688,4.9233393005252996e-05,1.4797149808833945e-07,80,80,0.42367237025797666,0.6135543167613869,0.2622413646384565,0.29943212807272396,5.534479869685542e-05,6.111405691602426e-06
23.00256,7.240825672944698e-06,2.3665151527074496e-08,80,80,0.436327308118219,0.6080432791617173,0.2657576715125664,0.30413982876476603,8.194801872117377e-06,9.53976199172679e-07
27.603072,7.257915221626202e-07,4.463748025344832e-09,80,80,0.4466844487139814,0.5578643019415951,0.28105109682894724,0.3350172106041166,8.952486227427173e-07,1.6945710058009713e-07
33.123686,4.592255935453875e-08,6.83993979246329e-10,80,80,0.4558179515658156,0.48611789994274723,0.295691199076615,0.37821406715207845,5.96388449247011e-08,1.3716285570162351e-08
