set,s,loss,gplus,all_correct,V1,V2,rho2,S1,S2,feature,ladder_ok,audit_ok,cma_ok,cma_loss,hits_within_tol,n_excluded,n_stalled_tail,grid
A,0.5,0.517891120474619,-2.3170735774513673e-08,False,0.9599999974161645,3.806374726402764e-09,3.964973668286904e-09,2.696608071217268e-07,4.793750889880086e-09,linear,True,True,,,1,25,2,True
A,0.6,0.4887581098442623,-0.11502293096096519,False,0.9527681293728605,0.03007813438812087,0.030603091752135488,0.0008907573637794828,0.00018285180767522064,linear,False,True,,,1,23,0,True
A,0.72,0.45590467491445535,-9.425337691187539e-09,False,0.9599999957986937,6.338608916301224e-09,6.6027176064471025e-09,1.8358950321485328e-06,1.1540817034383559e-08,linear,False,True,,,1,28,1,True
A,0.864,0.4196387430275425,-0.1134117241728286,False,0.9531244389314485,0.026637518066119,0.0271877448148205,0.0009401434663661153,0.00022054434557420451,linear,True,True,,,1,24,0,True
A,1.0368,0.3814282796747179,-2.0423219853071828e-06,False,0.9537884924918845,0.00621166234998832,0.006470480570923949,0.010115986863304565,1.3888212847731991e-05,linear,False,True,,,1,16,0,True
A,1.24416,0.3402277058351366,-0.1969996554575917,False,0.9357911606111149,0.057400281087700976,0.05779377336308899,0.0,0.0,linear,True,True,,,1,16,1,True
A,1.492992,0.29816234380448897,-0.33796635200658576,False,0.9193456505768265,0.08477767665853274,0.08442954601199248,0.0,0.0,linear,False,True,,,1,13,0,True
A,1.79159,0.25611078628118605,-0.33005967717105317,False,0.9035136452105152,0.0955076788037676,0.09560124144297259,0.0,0.0,linear,True,True,,,1,8,2,True
A,2.149908,0.2157904744192753,-0.3467901276379049,False,0.8938729578458149,0.10626806581756855,0.1062530816187529,0.24524920376141254,0.0769587522161185,linear,False,True,,,1,9,0,True
A,2.57989,0.1780980097656804,-0.3549899176227346,False,0.8876076386895971,0.1103547287254735,0.11058005023908378,0.0012092367234243168,0.00037923713242788863,linear,True,True,,,1,12,0,True
A,3.095868,0.14338452998588103,-0.36240104639656534,False,0.8264213660700707,0.15111917704390396,0.15459121169799345,0.0,0.0,linear,True,True,,,1,12,1,True
A,3.715042,0.11114288329548488,-0.36867845706263697,False,0.6791791589959403,0.20066181455322557,0.22806600350036152,0.25298255333063246,0.07765936879315563,linear,False,True,,,1,4,0,True
A,4.45805,0.07911696802956886,-0.14503830550720898,False,0.6861204404945431,0.22472760571609074,0.2467234865914423,0.1947420613584806,0.05951776790628088,linear,True,True,,,1,10,1,True
A,4.665952,0.07109786513200411,-1.0333076616575454e-09,False,0.7457380826040736,0.18728056166174642,0.20072542259765344,0.04965766063930807,0.029655607018045208,linear,False,True,,,1,8,0,False
A,4.692612,0.07165396845127234,-0.11511919487874464,False,0.7385883291696783,0.20359243932568274,0.21608638823186208,0.009097711639105601,0.005488580670955065,linear,False,True,True,0.07244731292972388,1,9,2,False
A,4.705999,0.0714884838694492,0.2876759980984136,True,0.5058232837703892,0.24034820191806575,0.32210853205722345,0.0012693565208585602,0.0003648453697475384,linear,True,True,True,0.07152941286558626,1,9,0,False
A,4.719425,0.07012492875001371,0.2802275113073665,True,0.6482386788726474,0.24360119036280192,0.27314453946943945,0.07258082511689695,0.02279005979715901,linear,True,True,,,1,9,0,False
A,4.773511,0.06841151622120657,0.34473307586214263,True,0.4761121286578483,0.21690140801472024,0.31298293112159037,7.99200441455812e-12,6.872558301477369e-14,linear,False,True,,,1,6,1,False
A,4.883549,0.06418049286420863,0.36303830901038764,True,0.6556784971661508,0.2298514032325821,0.2595636839920205,3.5147992965195202e-06,9.764289271624026e-07,linear,True,True,,,1,8,0,False
A,5.34966,0.052297038669514656,0.20794232917045222,True,0.48739948155235235,0.23977303753707216,0.3297333593372303,0.17205654199077391,0.04819155065262715,linear,True,True,,,1,7,1,True
