seed,steps,s_init_raw,s_init,s_end,rho2_init,rho2_min,rho2_end,crossing_step,s_cross,chi,first_step_rho2_ge_q_literal,s_at_literal_first
2720000,643,0.6664999127388,0.6664999127388,10.779393210079418,0.20978444836159899,0.18565196711138246,0.4583952310035883,8.0,0.5528563880036703,-145.02293370460185,8.0,0.5528563880036703
2720001,1038,0.9938887357711792,0.9938887357711792,10.774496781588997,0.8015493369742538,6.686126950926165e-05,0.24299538792484468,,,,0.0,0.9938887357711792
2720002,504,1.365366280078888,1.365366280078888,10.774695197334342,0.2191896284507376,0.011228624489252721,0.3865227653308508,,,,,
2720003,1002,0.8609690070152283,0.8609690070152283,10.778543797774965,0.30452898859936006,6.300242255046581e-07,0.2915576150427345,,,,,
2720004,566,1.0891015529632568,1.0891015529632568,10.774273662937494,0.5152816890913321,0.007385504805351131,0.374301548132967,,,,0.0,1.0891015529632568
2720005,557,1.203615427017212,1.203615427017212,10.775188552115182,0.7986048657871432,0.004823625275750471,0.34895571539633147,,,,0.0,1.203615427017212
2720006,593,0.45583099126815796,0.45583099126815796,10.776742260181269,0.6581503987492412,0.12909598574063846,0.4113941420413121,526.0,10.28892965309939,7.94583478874209,0.0,0.45583099126815796
2720007,465,0.9423227310180664,0.9423227310180664,10.780954079193895,0.4321186538580408,0.03042287329563998,0.39716854341407126,451.0,10.647055426721497,9.620895892798801,0.0,0.9423227310180664
2720008,935,0.6028414964675903,0.6028414964675903,10.779797545964966,0.9665558966215905,2.9262960219774974e-09,0.27354303277234226,,,,0.0,0.6028414964675903
2720009,1083,0.723635733127594,0.723635733127594,10.780734769863455,0.39665779897896375,1.859904474556579e-06,0.27638740153882835,,,,0.0,0.723635733127594
2720010,624,1.2193198204040527,1.2193198204040527,10.774875551635624,0.5361151997647888,0.12085138576387548,0.49089884194953115,394.0,8.92226568629308,22.017018876325775,0.0,1.2193198204040527
2720011,938,0.982599139213562,0.982599139213562,10.777360841619721,0.4017969358391217,1.2317718500199855e-06,0.33854209606003094,,,,0.0,0.982599139213562
2720012,655,0.7312645316123962,0.7312645316123962,10.77592314764421,0.3046424127356378,0.10058579886326076,0.4530019238001507,4.0,0.6053911156268044,-220.68326324763433,4.0,0.6053911156268044
2720013,708,1.325278103351593,1.325278103351593,10.77531655744648,0.10153492815678924,5.973725260307506e-06,0.3991690568474509,683.0,10.611522533955515,3.99488160273544,683.0,10.611522533955515
2720014,521,1.213886320590973,1.213886320590973,10.78014157128893,0.9592797553089227,0.16092190514992727,0.41002016526632246,459.0,10.250312855136668,11.369839970896274,0.0,1.213886320590973
2720015,538,1.1732312440872192,1.1732312440872192,10.78085466972184,0.2655990318867002,0.030860400957269704,0.3202140055564999,14.0,0.9539263175304421,-272.4229787297949,14.0,0.9539263175304421
2720016,972,1.034616470336914,1.034616470336914,10.78533099519482,0.5770499264882555,3.0116059910229343e-05,0.27966149594850864,,,,0.0,1.034616470336914
2720017,498,1.0293431282043457,1.0293431282043457,10.781405104648295,0.5323575738795243,0.029054694978516264,0.3446578472752646,,,,0.0,1.0293431282043457
