model,set,a,arm,n,frac_within_10,frac_within_20,arm_median_ratio
"closed form (committed κχ), registered reference (global own threshold)",lag2-prim,1.3,0.25,48,0.75,0.75,1.0725330026158306
"closed form (committed κχ), registered reference (global own threshold)",lag2-prim,1.3,0.5,48,0.75,0.75,1.0340495385475945
"closed form (committed κχ), registered reference (global own threshold)",lag2-prim,1.3,1.0,48,0.75,0.75,1.0222810520271728
"closed form (committed κχ), registered reference (global own threshold)",lag2-prim,1.3,2.0,48,0.75,0.75,1.0229440830427494
"closed form (committed κχ), registered reference (global own threshold)",lag2-prim,1.5,0.25,48,0.6041666666666666,0.75,1.034620499929664
"closed form (committed κχ), registered reference (global own threshold)",lag2-prim,1.5,0.5,48,0.5833333333333334,0.7916666666666666,1.0358431413281621
"closed form (committed κχ), registered reference (global own threshold)",lag2-prim,1.5,1.0,48,0.5833333333333334,0.8125,1.0345449114769698
"closed form (committed κχ), registered reference (global own threshold)",lag2-prim,1.5,2.0,48,0.5833333333333334,0.8125,1.019556272178066
"closed form (committed κχ), registered reference (global own threshold)",lag2-tstar,1.3,0.25,48,0.5625,0.6041666666666666,0.7099795546201069
"closed form (committed κχ), registered reference (global own threshold)",lag2-tstar,1.3,0.5,48,0.7708333333333334,0.7708333333333334,1.011938564417833
"closed form (committed κχ), registered reference (global own threshold)",lag2-tstar,1.3,1.0,48,0.75,0.75,1.0222810520271728
"closed form (committed κχ), registered reference (global own threshold)",lag2-tstar,1.3,2.0,48,0.75,0.75,1.0164854346259782
"closed form (committed κχ), registered reference (global own threshold)",lag2-tstar,1.5,0.25,48,0.5416666666666666,0.7083333333333334,0.7531379945078301
"closed form (committed κχ), registered reference (global own threshold)",lag2-tstar,1.5,0.5,48,0.5,0.7083333333333334,0.9456025877812891
"closed form (committed κχ), registered reference (global own threshold)",lag2-tstar,1.5,1.0,48,0.5833333333333334,0.8125,1.0345449114769698
"closed form (committed κχ), registered reference (global own threshold)",lag2-tstar,1.5,2.0,48,0.5833333333333334,0.8125,1.029014596700641
"trajectory-integrated (full model, 0.7 s*), tracked-branch lag",4b,1.3,control,47,1.0,1.0,1.0151861884203488
"trajectory-integrated (full model, 0.7 s*), tracked-branch lag",4b,1.3,reset,30,1.0,1.0,1.0195353845061348
"trajectory-integrated (full model, 0.7 s*), tracked-branch lag",4b,1.3,teleport,46,1.0,1.0,1.018838045325571
"trajectory-integrated (full model, 0.7 s*), tracked-branch lag",4b,1.3,teleport_reset,48,1.0,1.0,1.020215393807535
"trajectory-integrated (full model, 0.7 s*), tracked-branch lag",4b,1.5,control,48,1.0,1.0,1.0361521944249086
"trajectory-integrated (full model, 0.7 s*), tracked-branch lag",4b,1.5,reset,42,1.0,1.0,1.0464643724432896
"trajectory-integrated (full model, 0.7 s*), tracked-branch lag",4b,1.5,teleport,48,1.0,1.0,1.0419716387931446
"trajectory-integrated (full model, 0.7 s*), tracked-branch lag",4b,1.5,teleport_reset,48,1.0,1.0,1.0428495077918778
"trajectory-integrated (full model, 0.7 s*), tracked-branch lag",SGD,1.3,sgd,30,1.0,1.0,1.0167257142615818
"trajectory-integrated (full model, 0.7 s*), tracked-branch lag",SGD,1.5,sgd,30,1.0,1.0,1.0388986710211747
