a,seed,arm,t_switch,check,check_reason,start_state_matches_design,G_after,branch_before,branch_after,grad_norm,b2_residual,teleport_distance,cross_step,w2_abs,R_cross
1.3,300000,teleport,1246,ok,,True,-0.057445970068075614,-1,-1,7.069900220812997e-15,1.1102230246251565e-16,0.008266675154775116,1793,4.964415484444078,0.21372253938263097
1.3,300000,teleport_reset,1246,ok,,True,-0.057445970068075614,-1,-1,7.069900220812997e-15,1.1102230246251565e-16,0.008266675154775116,1687,4.96981782143705,0.21395511483574453
1.3,300001,teleport,2813,ok,,True,-0.0862072205144786,1,1,8.352145641765674e-12,0.0,0.0084855003409079,3923,5.274220647476886,0.22705992952749232
1.3,300001,teleport_reset,2813,ok,,True,-0.0862072205144786,1,1,8.352145641765674e-12,0.0,0.0084855003409079,3436,5.2884311462517815,0.22767170424570057
1.3,300002,teleport,991,ok,,True,-0.07121324806495277,-1,-1,1.8227609643872712e-10,0.0,0.006485491650194178,1524,5.201455934157113,0.2239273433535749
1.3,300002,teleport_reset,991,ok,,True,-0.07121324806495277,-1,-1,1.8227609643872712e-10,0.0,0.006485491650194178,1529,5.236513737142768,0.22543661321681424
1.3,300003,teleport,2308,ok,,True,-0.08394225607311157,1,1,4.698891942211958e-11,0.0,0.008088927065581066,3217,5.215006555117937,0.22451070974001733
1.3,300003,teleport_reset,2308,ok,,True,-0.08394225607311157,1,1,4.698891942211958e-11,0.0,0.008088927065581066,2899,5.224144962210522,0.2249041263619458
1.3,300004,teleport,2108,ok,,True,-0.04408774528691728,-1,-1,3.192663911022464e-12,0.0,0.007449622531442335,2589,4.743857696793415,0.2042273287974127
1.3,300004,teleport_reset,2108,ok,,True,-0.04408774528691728,-1,-1,3.192663911022464e-12,0.0,0.007449622531442335,2424,4.7605971185535605,0.20494797591842534
1.3,300005,teleport,2173,ok,,True,-0.07379368734115266,1,1,2.2595258997171187e-14,1.1102230246251565e-16,0.008514334909522296,2917,5.328783271493297,0.22940889943073822
1.3,300005,teleport_reset,2173,ok,,True,-0.07379368734115266,1,1,2.2595258997171187e-14,1.1102230246251565e-16,0.008514334909522296,2721,5.330009541116866,0.2294616914379218
1.3,300007,teleport,18343,ok,,True,-0.08220385783863593,1,1,1.6155432547293458e-12,1.1102230246251565e-16,0.00973403013122582,18754,4.969458291468016,0.21393963674810124
1.3,300007,teleport_reset,18343,ok,,True,-0.08220385783863593,1,1,1.6155432547293458e-12,1.1102230246251565e-16,0.00973403013122582,18855,4.968609714106461,0.21390310473156424
1.3,300008,teleport,2470,ok,,True,-0.07924376155185087,-1,-1,1.671313754059156e-11,2.220446049250313e-16,0.00859493587661246,3363,5.179008750199175,0.22296097195043343
1.3,300008,teleport_reset,2470,ok,,True,-0.07924376155185087,-1,-1,1.671313754059156e-11,2.220446049250313e-16,0.00859493587661246,3003,5.182763729313301,0.22312262716928336
1.3,300009,teleport,2460,ok,,True,-0.07251659072852945,1,1,1.574562702444382e-13,1.6653345369377348e-16,0.007954066200632274,3347,5.357464883110483,0.23064366853651097
1.3,300009,teleport_reset,2460,ok,,True,-0.07251659072852945,1,1,1.574562702444382e-13,1.6653345369377348e-16,0.007954066200632274,3012,5.366788637087102,0.23104506450804196
1.3,300010,teleport,10618,ok,,True,-0.08162439384929865,-1,-1,2.233573326293481e-12,5.551115123125783e-17,0.009268238333206145,11046,5.130439890199547,0.22087003896415006
1.3,300010,teleport_reset,10618,ok,,True,-0.08162439384929865,-1,-1,2.233573326293481e-12,5.551115123125783e-17,0.009268238333206145,11147,5.1315707590975785,0.22091872388453063
1.3,300011,teleport,2228,ok,,True,-0.07708511736094037,-1,-1,2.522249076264416e-13,1.6653345369377348e-16,0.00852806110085528,2948,5.0238108833912465,0.21627956458134975
1.3,300011,teleport_reset,2228,ok,,True,-0.07708511736094037,-1,-1,2.522249076264416e-13,1.6653345369377348e-16,0.00852806110085528,2746,5.032718057512191,0.21666302641644725
1.3,300012,teleport,3650,ok,,True,-0.0715930591546119,-1,-1,1.91580085129317e-13,0.0,0.008920101426864268,4139,5.195214687519826,0.22365865208782287
1.3,300012,teleport_reset,3650,ok,,True,-0.0715930591546119,-1,-1,1.91580085129317e-13,0.0,0.008920101426864268,4185,5.196734249684783,0.2237240706019787
1.3,300013,teleport,5843,ok,,True,-0.07754776136052488,1,1,4.4049741632079535e-12,1.1102230246251565e-16,0.008746108649338606,6374,5.171510411927538,0.22263816176228823
1.3,300013,teleport_reset,5843,ok,,True,-0.07754776136052488,1,1,4.4049741632079535e-12,1.1102230246251565e-16,0.008746108649338606,6374,5.171612899857872,0.22264257395961456
1.3,300014,teleport,5831,ok,,True,-0.07080701088898644,-1,-1,9.706191406166908e-13,1.1102230246251565e-16,0.008567839658927809,6342,5.394732961747746,0.2322480927490342
1.3,300014,teleport_reset,5831,ok,,True,-0.07080701088898644,-1,-1,9.706191406166908e-13,1.1102230246251565e-16,0.008567839658927809,6386,5.393891296972803,0.23221185832555105
1.3,300015,teleport,4827,ok,,True,-0.07365019135461992,-1,-1,7.202929452887474e-10,1.1102230246251565e-16,0.009107156599920905,5332,5.13939665033377,0.22125563552159486
1.3,300015,teleport_reset,4827,ok,,True,-0.07365019135461992,-1,-1,7.202929452887474e-10,1.1102230246251565e-16,0.009107156599920905,5353,5.134834163903755,0.2210592163885112
