kind,arm,seed,value,note
P5,T2-3c,600383,4.9267385726598665,ok
P5,T2-3c,600384,0.40565044737412026,ok
P5,T2-3c,600385,5.221524023062208,ok
P5,T2-3c,600386,5.134972934515979,ok
P5,T2-3c,600387,,not placed at 4x s_cross
P5,T2-3c,600388,5.9730500244725375,ok
P5,T2-3c,600389,5.2471633979959,ok
P5,T2-3c,600390,,not placed at 4x s_cross
P5,T2-3c,600391,5.800503919750938,ok
P5,T2-3c,600392,5.254905407718156,ok
P5,T2-3c,600393,,not placed at 4x s_cross
P5,T2-3c,600394,5.365906832769001,ok
P5,T2-3c,600395,5.910554888051038,ok
P5,T2-3c,600396,,not placed at 4x s_cross
P5,T2-3c,600397,,not placed at 4x s_cross
P5,T2-3c,600398,0.3352304447451191,ok
P5,T2-3c,600399,4.951687580309678,ok
P3,T2-3,600000,5.327978945865642,ok
P3,T2-3,600001,4.782858141653791,ok
P3,T2-3,600002,4.613839682733214,ok
P3,T2-3,600003,5.139696800771513,ok
P3,T2-3,600004,5.327978945865642,ok
P3,T2-3,600005,5.139696800771513,ok
P3,T2-3,600006,5.139696800771513,ok
P3,T2-3,600007,5.327978945865642,ok
P3,T2-3,600008,5.523158417307099,ok
P3,T2-3,600009,5.139696800771513,ok
P3,T2-3b,600160,5.327978945865642,ok
P3,T2-3b,600161,3.7180266639144746,ok
P3,T2-3b,600162,5.139696800771513,ok
P3,T2-3b,600163,4.958068241684655,ok
P3,T2-3b,600164,5.327978945865642,ok
P3,T2-3b,600165,4.958068241684655,ok
P3,T2-3b,600166,4.613839682733214,ok
P3,T2-3b,600167,5.327978945865642,ok
P3,T2-3b,600168,4.782858141653791,ok
P3,T2-3b,600169,5.139696800771513,ok
P3,T2-3c,600320,4.782858141653791,ok
P3,T2-3c,600321,5.327978945865642,ok
P3,T2-3c,600322,4.293510210083482,ok
P3,T2-3c,600323,4.958068241684655,ok
P3,T2-3c,600324,5.139696800771513,ok
P3,T2-3c,600325,4.958068241684655,ok
P3,T2-3c,600326,5.139696800771513,ok
P3,T2-3c,600327,4.782858141653791,ok
P3,T2-3c,600328,4.782858141653791,ok
P3,T2-3c,600329,5.523158417307099,ok
P2,T2-3b,600160,0.42935102100834815,ok
P2,T2-3b,600161,0.1018151721718182,ok
P2,T2-3b,600163,0.23290965924605458,ok
P2,T2-3b,600164,0.47828581416537913,ok
P2,T2-3b,600162,0.32196784442513793,ok
P2,T2-3b,600165,0.3586637624484769,ok
P2,T2-3b,600167,0.5327978945865641,ok
P2,T2-3b,600166,0.47828581416537913,ok
P2,T2-3b,600168,0.3105900223624705,ok
P2,T2-3c,600320,0.3337624694292039,ok
P2,T2-3b,600169,0.5139696800771514,ok
P2,T2-3c,600321,0.6853895838650083,ok
P2,T2-3c,600322,0.39954205589498865,ok
P2,T2-3c,600323,0.42935102100834815,ok
P2,T2-3c,600324,0.5725487884358379,ok
P2,T2-3c,600325,0.3854228868623107,ok
P2,T2-3c,600326,0.47828581416537913,ok
P2,T2-3c,600327,0.25945527214040154,ok
P2,T2-3c,600328,0.23290965924605458,ok
P2,T2-3c,600329,0.47828581416537913,ok
