seed,s_cross,arm,P1,P4,P3,P2,P5
600000,2.289216826986377,T2-3,0.44507940623559955,5.0936752167801345,5.327978945865642,0.3586637624484769,0.4364768009065535
600001,1.8621115300719997,T2-3,0.44507940623559955,5.0936752167801345,4.782858141653791,0.4293510210083481,0.4397074439967989
600002,4.814923438117869,T2-3,0.44507940623559955,5.0936752167801345,4.613839682733214,0.3459891660869932,5.06786348374354
600003,2.413941082894029,T2-3,0.44507940623559955,5.0936752167801345,5.139696800771513,0.3854228868623107,0.460338842958614
600004,1.997192789635369,T2-3,0.44507940623559955,5.0936752167801345,5.327978945865642,0.5139696800771514,0.4369835506712272
600005,1.5139396500811817,T2-3,0.44507940623559955,5.0936752167801345,5.139696800771513,0.4958068241684656,0.4371268568820665
600006,1.5362161356175357,T2-3,0.44507940623559955,5.0936752167801345,5.139696800771513,0.4613839682733214,0.4417025398943382
600007,1.4028081514940125,T2-3,0.44507940623559955,5.0936752167801345,5.327978945865642,0.4613839682733214,0.4351469271610497
600008,1.414960676990365,T2-3,0.44507940623559955,5.0936752167801345,5.523158417307099,0.5725487884358379,0.4378752243234631
600009,2.4694542312269516,T2-3,0.44507940623559955,5.0936752167801345,5.139696800771513,0.4293510210083481,0.4415986712653301
600010,1.1886680669141212,T2-3,0.44507940623559955,5.0936752167801345,,,0.4384778466375093
600011,2.336069130223919,T2-3,0.44507940623559955,5.0936752167801345,,,0.4341180048540168
600012,0.4323517646026246,T2-3,0.44507940623559955,5.0936752167801345,,,0.6133761900627395
600013,0.4688798695135233,T2-3,0.44507940623559955,5.0936752167801345,,,0.4381545389657797
600014,2.464489232797764,T2-3,0.44507940623559955,5.0936752167801345,,,0.4754810882712263
600015,0.3059277799169846,T2-3,0.44507940623559955,5.0936752167801345,,,0.4410686875963793
600016,1.7274912170466248,T2-3,0.44507940623559955,5.0936752167801345,,,0.4401911227776269
600017,2.19553346585764,T2-3,0.44507940623559955,5.0936752167801345,,,0.4488185929729063
600018,1.2500036588657906,T2-3,0.44507940623559955,5.0936752167801345,,,0.4409947115959003
600019,2.2453327802132006,T2-3,0.44507940623559955,5.0936752167801345,,,0.4390385298827215
600020,2.413348077632405,T2-3,0.44507940623559955,5.0936752167801345,,,0.4351251390223064
600021,1.6146601591860446,T2-3,0.44507940623559955,5.0936752167801345,,,0.4347109850503663
600022,0.8690917784198753,T2-3,0.44507940623559955,5.0936752167801345,,,0.4380582088259713
600023,1.322523766203766,T2-3,0.44507940623559955,5.0936752167801345,,,0.4379476436717048
600024,2.600450675741612,T2-3,0.44507940623559955,5.0936752167801345,,,0.4394772005635664
600025,0.7830557988486648,T2-3,0.44507940623559955,5.0936752167801345,,,0.4383415825541867
600026,1.408712032451061,T2-3,0.44507940623559955,5.0936752167801345,,,0.436473184746474
600027,2.1004115973408455,T2-3,0.44507940623559955,5.0936752167801345,,,0.4358476746144381
600028,2.0289816607009823,T2-3,0.44507940623559955,5.0936752167801345,,,0.4416309502751329
600029,1.0604558994829043,T2-3,0.44507940623559955,5.0936752167801345,,,0.4414670800367432
600030,1.8331421256184832,T2-3,0.44507940623559955,5.0936752167801345,,,0.4350329487497668
600031,1.1127079122120882,T2-3,0.44507940623559955,5.0936752167801345,,,0.4372435204072705
600033,0.3351431781582015,T2-3,0.44507940623559955,5.0936752167801345,,,0.4351340280271741
600034,0.7092830645398964,T2-3,0.44507940623559955,5.0936752167801345,,,0.4384915483502538
600035,1.6020402389886597,T2-3,0.44507940623559955,5.0936752167801345,,,0.439792007099455
600036,1.1153658979051269,T2-3,0.44507940623559955,5.0936752167801345,,,0.452024929425772
600037,1.4597140440082883,T2-3,0.44507940623559955,5.0936752167801345,,,0.2290966094839014
600038,0.8695702700131376,T2-3,0.44507940623559955,5.0936752167801345,,,0.4382555705107316
600039,1.180510927109908,T2-3,0.44507940623559955,5.0936752167801345,,,0.4362015405280847
