a,s,d,G1_branch,placed_width1,n_starts,n_below_L1star,n_reach_L1star,max_wnoise_at_L1star,noise_block_rel_err,noise_block_min_eig,cross_max_abs,profile_increasing,n_end_above_L1star,n_end_above_with_wnoise_gt_0.1,min_excess_loss_noise_stationary,max_grad_at_end
1.3,4.95,2,-0.0002676610655281131,False,14,0,9,5.0654214861785496e-12,4.206029319839225e-15,2.322847006942613,4.9873299934333204e-17,True,5,1,0.3707523319406725,1.9627417247904122e-10
1.3,4.95,4,-0.0002676610655281131,False,14,0,8,5.131035618407736e-16,1.147098905410698e-15,2.322847006942603,4.029978953957221e-17,True,6,3,0.3707535869653805,8.947800616762591e-12
1.3,4.9625,2,0.00014956012266731378,True,14,0,10,9.961476048006552e-17,4.38999661709245e-15,2.3266650791444983,3.144186300207963e-18,True,4,2,0.37128257843611306,7.533175472307363e-12
1.3,4.9625,4,0.00014956012266731378,True,14,0,6,5.656064950588776e-16,1.1452165088067263e-15,2.326665079144489,4.163336342344337e-17,True,8,2,0.3712838505691538,9.7538331614203e-12
1.5,2.525,2,-0.0002544366136838505,False,14,0,13,2.8773097055461444e-15,4.020019134513901e-15,1.546571976367642,6.375108774214766e-17,True,1,0,,4.219903072810727e-12
1.5,2.525,4,-0.0002544366136838505,False,14,0,12,1.1924064499014105e-14,1.8664374553100264e-15,1.5465719763676353,2.0816681711721685e-17,True,2,0,,8.514876520884784e-12
1.5,2.5375,2,0.0013640343856313741,True,14,0,10,8.600810515302752e-17,4.149616117960175e-15,1.551780540603668,3.3393426912553537e-17,True,4,1,0.37579511507331737,8.13278746431001e-10
1.5,2.5375,4,0.0013640343856313741,True,14,0,10,1.1556936602803652e-16,4.2927063289243193e-16,1.551780540603661,1.1481252575131697e-17,True,4,1,0.37436738449422424,8.664980191697147e-12
