arm,d,a,seed,placed_at_init,crossed,step,s_cross,w2_own,G1_first_step,s_at_G1_first,half_step,rho_init,steps_run,rho_half,rho_cross,wnoise_l2_cross,wnoise_l1_cross,G_at_cross,G1_at_cross,w1_end,wnoise_l2_end,s_end,rho_end,G_end,G1_end,r_pop,obs_r_own,branch_converged,branch_grad,branch_wnoise_l2,branch_dist,growth,relax_sig,relax_full,chi,winding_k,mirror,kappa_k,pred_r,G_numpy_at_cross,widening_rel
primary,2,1.3,880000,False,True,2449.0,5.5973377352131175,5.315625,2113.0,4.826198861866396,1051.0,9.299115692348662,64000,0.015325581222147932,0.014978087350475452,0.01234339640324532,0.01234339640324532,5.3727131220870916e-05,0.023287240492451566,0.7675888564100145,0.004321107421435279,141.53037163773618,0.005629455645884365,0.08023532317809634,0.08485285575545642,0.12934935388915347,0.052997104801997486,True,1.0688380501847061e-09,0.012716057736527389,0.06283110056731189,0.0004208340566548365,0.11618420994184782,0.11612006829408433,0.003622127799168847,-1.0,False,7.6105432889477465,0.02756636041367554,5.3727131220870916e-05,0.037445218376188624
primary,2,1.3,880001,False,True,1454.0,5.127748797940449,4.996875,1444.0,5.093631134713613,741.0,1.0209328589917712,64000,0.0029296408320885724,0.0006355412710342216,0.0005301409489301442,0.0005301409489301442,0.00010977130914646693,0.001128827608163796,0.7689113681402706,0.002420380326845979,142.15238468930397,0.0031478014594842544,0.08237451861207479,0.08495575383328013,0.03460253174082184,0.026191129043742212,True,7.084549767579634e-10,0.0006968927640205696,0.039539995370612147,0.00069420676643104,0.26931777660904554,0.2692113546341573,0.002577649255729537,-1.0,False,7.6105432889477465,0.01961731124445358,0.00010977130914646693,0.001588853177585554
primary,2,1.3,880002,False,True,3191.0,5.698629136143879,4.640625,2978.0,5.243108883001747,1522.0,1.0982704077831749,64000,0.010729754794462526,0.008333759465026545,0.006735055265836577,0.006735055265836577,4.1485916782324495e-05,0.012822913816146642,0.7625584471303787,0.0007621000975430122,138.3194882874286,0.00099939893186012,0.08405186475698345,0.08487025023777761,0.14978645874277485,0.22798742327679533,True,1.2076901538277812e-09,0.006953914694905686,0.053840892829015274,0.00038497433978084826,0.12677487028416345,0.12673770437628154,0.0030366770553023293,-1.0,False,7.6105432889477465,0.023110762183932747,4.1485916782324495e-05,0.020834398662566363
primary,2,1.3,880003,False,True,3813.0,6.0021008641251985,5.434375,3603.0,5.574388702165057,1819.0,1.4265450665120862,64000,0.010335409359637178,0.007607843970396866,0.006259644034058699,0.006259644034058699,2.2288691531535676e-05,0.011930597381365704,0.7676485684423742,0.0050075792613268185,137.7894638643722,0.0065232705005724605,0.07949979013347619,0.0848530256672988,0.2110165677932303,0.10446939420360168,True,1.3318990008115428e-12,0.006076802026495247,0.0582190151390769,0.00034767469231233937,0.11203883041801448,0.11201998672304077,0.003103162457294248,-1.0,False,7.6105432889477465,0.02361675221387534,2.2288691531535676e-05,0.019019609925992165
primary,2,1.3,880004,False,True,2622.0,6.250652574353782,6.009375,2582.0,6.151546484097807,1087.0,0.16671258052566879,64000,0.0008888255532499492,0.0015913881387423544,0.001305654168359197,0.001305654168359197,5.3485011298093355e-05,0.0025580434554663967,0.7687132435602012,0.000647147540238643,142.65741709913098,0.0008418581905021677,0.0843823779409334,0.08507281903943165,0.26116571487592055,0.040150194380244475,True,1.3901534472171573e-09,0.0014534965242404552,0.055217988963704556,0.00040431176752797295,0.14144501337833645,0.14142745937058773,0.002858437762288033,-1.0,False,7.6105432889477465,0.021754264328656004,5.3485011298093355e-05,0.003978470346855886
primary,2,1.3,880005,False,True,2255.0,5.596216653879212,5.009375,2079.0,5.178073518700775,913.0,1.1599807216681643,64000,0.008582536924545959,0.008278880996807321,0.0068227060554819224,0.0068227060554819224,4.878636998650876e-05,0.013016117433185759,0.7595674051117315,0.009942104414343041,141.53820603250134,0.013089166738112688,0.07384595549146189,0.08460131569677065,0.12912315841194677,0.11714867700645515,True,1.4835344246469373e-09,0.006839551182353921,0.06264002034597382,0.0004343276884877031,0.12011523461376984,0.1201151175567727,0.0036159250729874723,-1.0,True,7.6105432889477465,0.027519154297562697,4.878636998650876e-05,0.020697202492018302
primary,2,1.3,880006,False,True,3420.0,5.492820749965329,5.084375,3323.0,5.249872258171453,2273.0,0.3646948053715222,64000,0.0004230337956695584,0.004877888643687779,0.0039865912937640914,0.0039865912937640914,9.084690324456801e-07,0.007611367566606297,0.7617284207467255,0.0009436096438406593,135.540992732686,0.0012387743691060324,0.08387795526921327,0.08489288315844767,0.10826143757181916,0.08033352181248032,True,8.753744257239404e-13,0.0036624656721657967,0.06237685338270893,0.00046673265528778674,0.1265715101878831,0.1265108925216443,0.0036875016707548763,-1.0,False,7.6105432889477465,0.028063891093347126,9.084690324456801e-07,0.012194721609219446
primary,2,1.3,880007,False,False,,,5.665625,,,,9.833579711943909,64000,,,,,,,1.4940528843422456,2.1350290363160425,0.10057461439079232,1.4290183826096527,-12.899951994855105,-6.14528145243308,,,,,,,,,,,,,,,,
primary,2,1.3,880008,False,True,9957.0,5.448881458776437,4.965625,9871.0,5.172058827437947,9205.0,9.316375584609421,64000,0.011805224723764766,0.005309366425695718,0.00440987069243784,0.00440987069243784,0.00022896362944635484,0.00864587771718206,0.7603936378634991,0.0001881347002442072,123.91698062719851,0.00024741750966356704,0.08445805693056663,0.0846601205533144,0.09939600681491778,0.09732036929418486,True,9.86778191710419e-11,0.007232938584914551,0.05777979701790059,0.000611155435966606,0.15455761740449922,0.15444126586213489,0.003954223973103348,-1.0,False,7.6105432889477465,0.030093792721497977,0.00022896362944635484,0.013273416064239292
primary,2,1.3,880009,False,True,2576.0,5.19632507569444,4.690625,2417.0,4.843781639088625,1276.0,0.06527249390109752,64000,0.015783862764922826,0.008865393436573802,0.007462041210872085,0.007462041210872085,2.29417848816027e-05,0.015483107102587379,0.7628856617253506,0.0029496461625720402,140.42654915604814,0.0038664328228441053,0.08117624180158867,0.08432631414260472,0.048438855121198277,0.10781080894218587,True,6.694204739143839e-11,0.007487764620676012,0.05820498900193982,0.0004372106174781578,0.12117706799789464,0.12117666959156821,0.0036080309971335007,-1.0,False,7.6105432889477465,0.02745907609154981,2.29417848816027e-05,0.022163483591434507
