arm,d,a,seed,placed_at_init,crossed,step,s_cross,w2_own,G1_first_step,s_at_G1_first,half_step,rho_init,steps_run,rho_half,rho_cross,wnoise_l2_cross,wnoise_l1_cross,G_at_cross,G1_at_cross,w1_end,wnoise_l2_end,s_end,rho_end,G_end,G1_end,r_pop,obs_r_own,branch_converged,branch_grad,branch_wnoise_l2,branch_dist,growth,relax_sig,relax_full,chi,winding_k,mirror,kappa_k,pred_r,G_numpy_at_cross,widening_rel,s_branch,s_branch_note,branch_placed_at_s_c,s_branch_G1,s_branch_G1_note,r_branch,branch_over_own_x1,G1switch_over_own_x1
primary,2,1.3,880000,False,True,2449.0,5.5973377352131175,5.315625,2113.0,4.826198861866396,1051.0,9.299115692348662,64000,0.0153255812221479,0.0149780873504754,0.0123433964032453,0.0123433964032453,5.372713122087091e-05,0.0232872404924515,0.7675888564100145,0.0043211074214352,141.53037163773618,0.0056294556458843,0.0802353231780963,0.0848528557554564,0.1293493538891534,0.0529971048019974,True,1.068838050184706e-09,0.0127160577365273,0.0628311005673118,0.0004208340566548,0.1161842099418478,0.1161200682940843,0.0036221277991688,-1.0,False,7.610543288947747,0.0275663604136755,5.372713122087091e-05,0.0374452183761886,5.4582748563545795,,True,4.667213663962247,,0.025477441594323524,1.026835951812737,0.8780178556542735
primary,2,1.3,880001,False,True,1454.0,5.127748797940449,4.996875,1444.0,5.093631134713613,741.0,1.0209328589917712,64000,0.0029296408320885,0.0006355412710342,0.0005301409489301,0.0005301409489301,0.0001097713091464,0.0011288276081637,0.7689113681402706,0.0024203803268459,142.15238468930397,0.0031478014594842,0.0823745186120747,0.0849557538332801,0.0346025317408218,0.0261911290437422,True,7.084549767579633e-10,0.0006968927640205,0.0395399953706121,0.000694206766431,0.2693177766090455,0.2692113546341573,0.0025776492557295,-1.0,False,7.610543288947747,0.0196173112444535,0.0001097713091464,0.0015888531775855,5.0391367512150875,,True,4.995634871628077,,0.017584767213153052,1.0084576362656836,0.9997518192126232
primary,2,1.3,880002,False,True,3191.0,5.698629136143879,4.640625,2978.0,5.243108883001747,1522.0,1.0982704077831749,64000,0.0107297547944625,0.0083337594650265,0.0067350552658365,0.0067350552658365,4.1485916782324495e-05,0.0128229138161466,0.7625584471303787,0.000762100097543,138.3194882874286,0.0009993989318601,0.0840518647569834,0.0848702502377776,0.1497864587427748,0.2279874232767953,True,1.207690153827781e-09,0.0069539146949056,0.0538408928290152,0.0003849743397808,0.1267748702841634,0.1267377043762815,0.0030366770553023,-1.0,False,7.610543288947747,0.0231107621839327,4.1485916782324495e-05,0.0208343986625663,5.578969285544099,,True,5.108908637506158,,0.02144837952591616,1.2022021356054624,1.1009096053885323
primary,2,1.3,880003,False,True,3813.0,6.0021008641251985,5.434375,3603.0,5.574388702165057,1819.0,1.4265450665120862,64000,0.0103354093596371,0.0076078439703968,0.0062596440340586,0.0062596440340586,2.2288691531535676e-05,0.0119305973813657,0.7676485684423742,0.0050075792613268,137.7894638643722,0.0065232705005724,0.0794997901334761,0.0848530256672988,0.2110165677932303,0.1044693942036016,True,1.3318990008115428e-12,0.0060768020264952,0.0582190151390769,0.0003476746923123,0.1120388304180144,0.1120199867230407,0.0031031624572942,-1.0,False,7.610543288947747,0.0236167522138753,2.2288691531535676e-05,0.0190196099259921,5.8324981143297245,,True,5.415422067859572,,0.029078920639302286,1.0732601475477355,0.9965123989160799
primary,2,1.3,880004,False,True,2622.0,6.250652574353782,6.009375,2582.0,6.151546484097807,1087.0,0.1667125805256687,64000,0.0008888255532499,0.0015913881387423,0.0013056541683591,0.0013056541683591,5.3485011298093355e-05,0.0025580434554663,0.7687132435602012,0.0006471475402386,142.65741709913098,0.0008418581905021,0.0843823779409334,0.0850728190394316,0.2611657148759205,0.0401501943802444,True,1.390153447217157e-09,0.0014534965242404,0.0552179889637045,0.0004043117675279,0.1414450133783364,0.1414274593705877,0.002858437762288,-1.0,False,7.610543288947747,0.021754264328656,5.3485011298093355e-05,0.0039784703468558,6.1196742918982086,,True,6.0103284521391664,,0.02140281920378917,1.018354536353316,1.0001586607823885
primary,2,1.3,880005,False,True,2255.0,5.596216653879212,5.009375,2079.0,5.178073518700775,913.0,1.1599807216681643,64000,0.0085825369245459,0.0082788809968073,0.0068227060554819,0.0068227060554819,4.878636998650876e-05,0.0130161174331857,0.7595674051117315,0.009942104414343,141.53820603250134,0.0130891667381126,0.0738459554914618,0.0846013156967706,0.1291231584119467,0.1171486770064551,True,1.483534424646937e-09,0.0068395511823539,0.0626400203459738,0.0004343276884877,0.1201152346137698,0.1201151175567727,0.0036159250729874,-1.0,True,7.610543288947747,0.0275191542975626,4.878636998650876e-05,0.0206972024920183,5.43410601462895,,True,5.0183237189508,,0.029832071515323744,1.0847872268753986,1.0017863943008458
primary,2,1.3,880006,False,True,3420.0,5.492820749965329,5.084375,3323.0,5.249872258171453,2273.0,0.3646948053715222,64000,0.0004230337956695,0.0048778886436877,0.003986591293764,0.003986591293764,9.0846903244568e-07,0.0076113675666062,0.7617284207467255,0.0009436096438406,135.540992732686,0.001238774369106,0.0838779552692132,0.0848928831584476,0.1082614375718191,0.0803335218124803,True,8.753744257239404e-13,0.0036624656721657,0.0623768533827089,0.0004667326552877,0.1265715101878831,0.1265108925216443,0.0036875016707548,-1.0,False,7.610543288947747,0.0280638910933471,9.0846903244568e-07,0.0121947216092194,5.308568282810542,,True,5.092493083656789,,0.03470850469257547,1.0440945608478018,1.001596672876566
primary,2,1.3,880008,False,True,9957.0,5.448881458776437,4.965625,9871.0,5.172058827437947,9205.0,9.31637558460942,64000,0.0118052247237647,0.0053093664256957,0.0044098706924378,0.0044098706924378,0.0002289636294463,0.008645877717182,0.7603936378634991,0.0001881347002442,123.91698062719853,0.0002474175096635,0.0844580569305666,0.0846601205533144,0.0993960068149177,0.0973203692941848,True,9.867781917104189e-11,0.0072329385849145,0.0577797970179005,0.0006111554359666,0.1545576174044992,0.1544412658621348,0.0039542239731033,-1.0,False,7.610543288947747,0.0300937927214979,0.0002289636294463,0.0132734160642392,5.4528108126848505,,False,5.003678311573742,,-0.0007206107168200582,1.0981116803393027,1.007663347831087
primary,2,1.3,880009,False,True,2576.0,5.19632507569444,4.690625,2417.0,4.843781639088625,1276.0,0.0652724939010975,64000,0.0157838627649228,0.0088653934365738,0.007462041210872,0.007462041210872,2.29417848816027e-05,0.0154831071025873,0.7628856617253506,0.002949646162572,140.42654915604814,0.0038664328228441,0.0811762418015886,0.0843263141426047,0.0484388551211982,0.1078108089421858,True,6.694204739143839e-11,0.007487764620676,0.0582049890019398,0.0004372106174781,0.1211770679978946,0.1211766695915682,0.0036080309971335,-1.0,False,7.610543288947747,0.0274590760915498,2.29417848816027e-05,0.0221634835914345,5.057663487546791,,True,4.700887276204919,,0.02741613563042855,1.0782493777581434,1.0021878270390234
primary,2,1.3,880010,False,True,3454.0,5.5738095027995564,4.859375,3155.0,4.9718053889390985,1730.0,1.0769970651694216,64000,0.0112341155739591,0.011755552613261,0.0097044479268061,0.0097044479268061,5.31575301323528e-05,0.0184061106426063,0.7715701298316303,0.0045527766385278,136.85416373477108,0.0059006647127739,0.080373578814576,0.085234205161738,0.124602169543416,0.1470218912513556,True,8.842181162607711e-10,0.0093461716379764,0.0559021933161716,0.0003728830891691,0.1159271910635714,0.1158517610210569,0.0032165282859709,-1.0,True,7.610543288947747,0.0244795277605065,5.31575301323528e-05,0.0293888815331527,5.4157555897562215,,True,4.84199757413231,,0.029184092676244555,1.1144963271524058,0.9964239380851055
