arm,d,a,seed,s_branch,s_branch_note,branch_placed_at_s_c,s_branch_G1,s_branch_G1_note
primary,1,1.3,880010,4.858997246837533,,True,4.858997246837533,
primary,1,1.3,880011,5.348990146320927,,True,5.348990146320927,
primary,1,1.3,880012,4.844598844056867,,True,4.844598844056867,
primary,1,1.3,880013,5.523251333946046,,True,5.523251333946046,
primary,1,1.3,880014,5.645758803420018,,True,5.645758803420018,
primary,1,1.3,880015,5.068767252431867,,True,5.068767252431867,
primary,1,1.3,880016,5.498693566308907,,True,5.498693566308907,
primary,1,1.3,880017,5.234206628002676,,True,5.234206628002676,
primary,1,1.3,880018,4.857024637668996,,True,4.857024637668996,
primary,1,1.3,880019,4.738773658909408,,True,4.738773658909408,
primary,1,1.3,880020,5.071131860648418,,True,5.071131860648418,
primary,1,1.3,880021,4.738374460958061,,True,4.738374460958061,
primary,1,1.3,880022,4.82262931126227,,True,4.82262931126227,
primary,1,1.3,880023,4.928227727750145,,True,4.928227727750145,
primary,1,1.3,880024,5.11227159518327,,True,5.11227159518327,
primary,1,1.3,880025,5.51602807883684,,True,5.51602807883684,
primary,1,1.3,880026,4.733665116409113,,True,4.733665116409113,
primary,1,1.3,880027,5.638709237889705,,True,5.638709237889705,
primary,1,1.3,880028,5.09253273920063,,True,5.09253273920063,
primary,1,1.3,880029,5.137981616180152,,True,5.137981616180152,
primary,1,1.3,880030,4.996499331705189,,True,4.996499331705189,
primary,1,1.3,880031,4.947545289051838,,True,4.947545289051838,
primary,1,1.3,880032,4.836946010656929,,True,4.836946010656929,
primary,1,1.3,880033,4.327896275388041,,True,4.327896275388041,
primary,1,1.3,880034,5.24946654031405,,True,5.24946654031405,
primary,1,1.3,880035,5.049248372463128,,True,5.049248372463128,
primary,1,1.3,880036,5.4322260617950135,,True,5.4322260617950135,
primary,1,1.3,880037,5.300644139293975,,True,5.300644139293975,
primary,1,1.3,880038,5.6505715055908805,,True,5.6505715055908805,
primary,1,1.3,880039,5.070241031551518,,True,5.070241031551518,
primary,1,1.5,880000,2.7091993446772706,,True,2.7091993446772706,
primary,1,1.5,880001,2.5287981397512698,,True,2.5287981397512698,
primary,1,1.5,880002,2.605481497362744,,True,2.605481497362744,
primary,1,1.5,880003,2.7686729839091972,,True,2.7686729839091972,
primary,1,1.5,880004,3.0615809598092625,,True,3.0615809598092625,
primary,1,1.5,880005,2.5605951877856494,,True,2.5605951877856494,
primary,1,1.5,880006,2.5999261720390194,,True,2.5999261720390194,
