bin,n,arms,frac_within,median_obs,median_pred,median_kappa2,median_dist_c,median_relax_times_c
"(0.0, 0.0001]",133,"T2-3b,T2-3c,T2-3d",0.7744360902255639,-0.004644546831851337,4.2246410119204786e-05,4.023529881328167,0.000875062356655576,104375.55583281182
"(0.0001, 0.01]",5,"T2-3,T2-3b,T2-3d",1.0,0.02452350800869385,0.023645930539490632,7.471392902716774,0.06067103704148025,248.5250846930199
"(0.01, 0.0637]",30,"T2-3b,T2-3c,T2-3d",0.7333333333333333,0.0015169342854788326,0.0008143664269741177,0.03173081578823788,0.01014897941637427,83.79153239959882
"(0.0637, 0.3]",19,"T2-3b,T2-3c,T2-3d",0.3157894736842105,0.0197832180442441,0.0004944143146805141,0.005103624985608688,0.6511979663322376,5.082558142174996
"(0.3, 3.0]",51,"T2-3,T2-3c,T2-3d",0.058823529411764705,0.7964858289193799,0.2142270023114698,0.22406281953792084,1.6894244916781325,1.3351431589372373
"(3.0, inf]",28,T2-3,0.0,12.45304897161108,0.37045480550716015,0.0064230403363009295,2.3145287026565615,0.7303008443105974
