arm,subset,n_runs,n_scored,median_chi,chi_min,chi_max,median_kappa2,median_obs,median_pred,obs_over_pred,tol,median_within,frac_runs_within,median_abs_log_err_s_star,spearman_obs_pred,median_dist_c,status_counts,replays_reproduce
T2-3,all crossers,79,75,1.7317473973569846,0.0031648624088411164,104844.20545028632,0.18595233651336157,1.1793028465314372,0.25759849756962555,4.578065701694114,0.06439962439240639,False,0.08,0.7882886295793443,0.09288762446657182,1.754863363205616,"{""ok"": 75, ""placed_back_to_init"": 2, ""no_branch_at_crossing"": 2}",True
T2-3,chi <= width-1 max,3,3,0.004144942122168581,0.0031648624088411164,0.004450351600022169,7.741841477017514,0.03559960978632315,0.034178935226961624,1.0415657933732483,0.01,True,1.0,0.03498059209556382,1.0,0.0659766350095694,"{""ok"": 75, ""placed_back_to_init"": 2, ""no_branch_at_crossing"": 2}",True
T2-3,chi > width-1 max,72,72,1.8641272533524966,0.4067588866320152,104844.20545028632,0.17675494573373723,1.2163779158297483,0.26513075492021176,4.587841633822542,0.06628268873005294,False,0.041666666666666664,0.8104726049206317,0.02032285034407358,1.7467428134581768,"{""ok"": 75, ""placed_back_to_init"": 2, ""no_branch_at_crossing"": 2}",True
T2-3,"chi <= width-1 max, on branch",0,0,,,,,,,,,,,,,,"{""ok"": 75, ""placed_back_to_init"": 2, ""no_branch_at_crossing"": 2}",True
T2-3,"chi <= width-1 max, off branch",3,3,0.004144942122168581,0.0031648624088411164,0.004450351600022169,7.741841477017514,0.03559960978632315,0.034178935226961624,1.0415657933732483,0.01,True,1.0,0.03498059209556382,1.0,0.0659766350095694,"{""ok"": 75, ""placed_back_to_init"": 2, ""no_branch_at_crossing"": 2}",True
T2-3,"on branch, s_cross < 1",0,0,,,,,,,,,,,,,,"{""ok"": 75, ""placed_back_to_init"": 2, ""no_branch_at_crossing"": 2}",True
T2-3,"on branch, s_cross >= 1",0,0,,,,,,,,,,,,,,"{""ok"": 75, ""placed_back_to_init"": 2, ""no_branch_at_crossing"": 2}",True
T2-3b,all crossers,71,54,6.476454173548703e-06,5.203354042217842e-06,0.10475103353418079,3.7046429412415645,-0.004845684520879634,2.495732008520764e-05,-194.15884815900975,0.01,True,0.6666666666666666,0.005627456293285405,0.3980560320182961,0.0022859917491562243,"{""ok"": 54, ""placed_back_to_init"": 5, ""no_switch_in_range"": 4, ""branch_lost"": 3, ""no_branch_at_crossing"": 3, ""jump"": 2}",True
T2-3b,chi <= width-1 max,53,53,6.4671874287339196e-06,5.203354042217842e-06,0.04757170465351426,3.743638913711815,-0.004859280075408479,2.493974214526953e-05,-194.84083063505798,0.01,True,0.660377358490566,0.005859255393181143,0.36840832123850986,0.0015384424837030508,"{""ok"": 54, ""placed_back_to_init"": 5, ""no_switch_in_range"": 4, ""branch_lost"": 3, ""no_branch_at_crossing"": 3, ""jump"": 2}",True
T2-3b,chi > width-1 max,1,1,0.10475103353418079,0.10475103353418079,0.10475103353418079,0.004100120638459527,0.0036712059126620122,0.00042949187449346066,8.547788982019284,0.01,True,1.0,0.0036644834841579304,,0.007292726447671066,"{""ok"": 54, ""placed_back_to_init"": 5, ""no_switch_in_range"": 4, ""branch_lost"": 3, ""no_branch_at_crossing"": 3, ""jump"": 2}",True
T2-3b,"chi <= width-1 max, on branch",48,48,6.3269995707685025e-06,5.203354042217842e-06,0.04344110491709022,3.782287472027569,-0.004845684520879634,2.482852754026289e-05,-195.16600463002433,0.01,True,0.7291666666666666,0.004857463008432285,0.3221884498480243,0.001424216394876332,"{""ok"": 54, ""placed_back_to_init"": 5, ""no_switch_in_range"": 4, ""branch_lost"": 3, ""no_branch_at_crossing"": 3, ""jump"": 2}",True
T2-3b,"chi <= width-1 max, off branch",5,5,0.03290238070785337,0.01764525776290683,0.04757170465351426,0.0016922949287868836,-0.01090873386208513,7.028234443591973e-05,-155.21300476866165,0.01,False,0.0,0.11327026880264811,0.19999999999999998,1.4069191393277287,"{""ok"": 54, ""placed_back_to_init"": 5, ""no_switch_in_range"": 4, ""branch_lost"": 3, ""no_branch_at_crossing"": 3, ""jump"": 2}",True
T2-3b,"on branch, s_cross < 1",9,9,0.013047276176953062,0.0077329320813917255,0.10475103353418079,0.012388667968220895,0.001065653508404596,0.0001612991341445328,6.606690817383511,0.01,True,1.0,0.0010650861027740317,0.6666666666666667,0.003833564828898406,"{""ok"": 54, ""placed_back_to_init"": 5, ""no_switch_in_range"": 4, ""branch_lost"": 3, ""no_branch_at_crossing"": 3, ""jump"": 2}",True
T2-3b,"on branch, s_cross >= 1",40,40,6.2318800474559084e-06,5.203354042217842e-06,7.74340787553978e-06,3.931079716135865,-0.006569657640621285,2.4417466709208288e-05,-269.05566080463797,0.01,True,0.675,0.006591333201996317,0.0005628517823639776,0.001347448570779397,"{""ok"": 54, ""placed_back_to_init"": 5, ""no_switch_in_range"": 4, ""branch_lost"": 3, ""no_branch_at_crossing"": 3, ""jump"": 2}",True
T2-3c,all crossers,80,67,1.2759630074931565e-05,8.950616667719422e-06,0.35887804034474924,3.87139142479688,6.433729244359476e-05,5.0369315573321454e-05,1.2773112302854392,0.01,True,0.7014925373134329,0.00246595900721745,0.1688482720089393,0.002165455056457155,"{""ok"": 67, ""placed_back_to_init"": 5, ""jump"": 3, ""no_branch_at_crossing"": 3, ""branch_lost"": 2}",True
T2-3c,chi <= width-1 max,54,54,1.2354167275846102e-05,8.950616667719422e-06,0.0609659386089508,4.000095866001471,5.140361166855456e-05,4.9999444075629954e-05,1.0280836641063578,0.01,True,0.8333333333333334,0.001504521132059563,0.5512102153611587,0.0005920310255564942,"{""ok"": 67, ""placed_back_to_init"": 5, ""jump"": 3, ""no_branch_at_crossing"": 3, ""branch_lost"": 2}",True
T2-3c,chi > width-1 max,13,13,0.17783795467187183,0.07574589006144956,0.35887804034474924,0.00899650127798625,0.12349897532366105,0.0009269709828663119,133.22852344502365,0.01,False,0.15384615384615385,0.1545991355659968,-0.2747252747252747,0.652795013690727,"{""ok"": 67, ""placed_back_to_init"": 5, ""jump"": 3, ""no_branch_at_crossing"": 3, ""branch_lost"": 2}",True
T2-3c,"chi <= width-1 max, on branch",52,52,1.2261556611023508e-05,8.950616667719422e-06,0.05495445872226584,4.010130723665058,4.33637794206021e-05,4.970741700402051e-05,0.8723804621973152,0.01,True,0.8461538461538461,0.0012859008306038812,0.49978656193972504,0.0004546674703167497,"{""ok"": 67, ""placed_back_to_init"": 5, ""jump"": 3, ""no_branch_at_crossing"": 3, ""branch_lost"": 2}",True
T2-3c,"chi <= width-1 max, off branch",2,2,0.04602242530613447,0.031078912003318138,0.0609659386089508,0.047046572851535504,0.017397079847673247,0.002729151880456158,6.374537075879211,0.01,False,0.5,0.017230577812904848,,0.10354871306491564,"{""ok"": 67, ""placed_back_to_init"": 5, ""jump"": 3, ""no_branch_at_crossing"": 3, ""branch_lost"": 2}",True
T2-3c,"on branch, s_cross < 1",9,9,0.02068815945779626,0.011278821873837703,0.09687512622394362,0.027111955983035278,0.001591715849015074,0.0009866100284885212,1.613318132852927,0.01,True,1.0,0.0022331827877576185,0.3666666666666667,0.009754811067324676,"{""ok"": 67, ""placed_back_to_init"": 5, ""jump"": 3, ""no_branch_at_crossing"": 3, ""branch_lost"": 2}",True
T2-3c,"on branch, s_cross >= 1",45,45,1.178016863979791e-05,8.950616667719422e-06,1.4298932837388329e-05,4.10807120896587,-0.0005454945804935774,4.875254165086175e-05,-11.18904906333094,0.01,True,0.8222222222222222,0.0005456434167909748,0.27812911725955203,0.0002033255419870983,"{""ok"": 67, ""placed_back_to_init"": 5, ""jump"": 3, ""no_branch_at_crossing"": 3, ""branch_lost"": 2}",True
T2-3d,all crossers,79,70,1.181364148428195e-05,8.64196499398803e-06,0.6064969303092583,3.844574822164709,4.701882287494463e-05,4.726441495575048e-05,0.9948038692315186,0.01,True,0.7142857142857143,0.004943139001195433,0.06412387367684368,0.0019452137867017605,"{""ok"": 70, ""jump"": 3, ""placed_back_to_init"": 2, ""no_branch_at_crossing"": 2, ""no_switch_in_range"": 1, ""branch_lost"": 1}",True
T2-3d,chi <= width-1 max,58,58,1.1548183040527036e-05,8.64196499398803e-06,0.05602630527964802,3.99412362585639,-0.001218799626272471,4.726441495575048e-05,-25.786834078312957,0.01,True,0.8103448275862069,0.00244131438875251,0.15303454428004554,0.001048609747338558,"{""ok"": 70, ""jump"": 3, ""placed_back_to_init"": 2, ""no_branch_at_crossing"": 2, ""no_switch_in_range"": 1, ""branch_lost"": 1}",True
T2-3d,chi > width-1 max,12,12,0.24089270359378145,0.06784572219727927,0.6064969303092583,0.002307338515143019,0.07775653578304265,0.0007084738297526282,109.75216376050508,0.01,False,0.25,0.07487676599340228,-0.17482517482517487,1.1168189215515025,"{""ok"": 70, ""jump"": 3, ""placed_back_to_init"": 2, ""no_branch_at_crossing"": 2, ""no_switch_in_range"": 1, ""branch_lost"": 1}",True
T2-3d,"chi <= width-1 max, on branch",57,57,1.1547968510013594e-05,8.64196499398803e-06,0.05602630527964802,4.027037980571619,-0.0009097799450036304,4.7171221888609814e-05,-19.286758082120194,0.01,True,0.8245614035087719,0.0022583530362748775,0.2148042520093337,0.0009039404496355985,"{""ok"": 70, ""jump"": 3, ""placed_back_to_init"": 2, ""no_branch_at_crossing"": 2, ""no_switch_in_range"": 1, ""branch_lost"": 1}",True
T2-3d,"chi <= width-1 max, off branch",1,1,0.047586699639620235,0.047586699639620235,0.047586699639620235,1.033268076908726,-0.8551553909234322,0.049169817623063564,-17.39187640432316,0.012292454405765891,False,0.0,1.9320937727422862,,4.325791037705554,"{""ok"": 70, ""jump"": 3, ""placed_back_to_init"": 2, ""no_branch_at_crossing"": 2, ""no_switch_in_range"": 1, ""branch_lost"": 1}",True
T2-3d,"on branch, s_cross < 1",11,11,0.025586528370292017,0.0097414181444559,0.0882259233549781,0.04302449781530989,0.0022179608645154225,0.0008962761851822031,2.474639961636976,0.01,True,0.9090909090909091,0.0022155048202534273,0.41818181818181827,0.010376331908205638,"{""ok"": 70, ""jump"": 3, ""placed_back_to_init"": 2, ""no_branch_at_crossing"": 2, ""no_switch_in_range"": 1, ""branch_lost"": 1}",True
T2-3d,"on branch, s_cross >= 1",48,48,1.1146715883613658e-05,8.64196499398803e-06,1.4825171734998358e-05,4.086194734621419,-0.003761803260295793,4.5751998679520066e-05,-82.2216158608976,0.01,True,0.8125,0.0037695524662718013,-0.012266608771168043,0.0007547404958625492,"{""ok"": 70, ""jump"": 3, ""placed_back_to_init"": 2, ""no_branch_at_crossing"": 2, ""no_switch_in_range"": 1, ""branch_lost"": 1}",True
