seed,s_w1_own,note
600480,4.782858141653791,ok
600481,4.782858141653791,ok
600482,5.139696800771513,ok
600483,5.139696800771513,ok
600484,4.782858141653791,ok
600486,5.139696800771513,ok
600485,4.958068241684655,ok
600487,5.327978945865642,ok
600488,5.327978945865642,ok
600490,5.139696800771513,ok
600491,5.327978945865642,ok
600492,4.293510210083482,ok
600489,4.613839682733214,ok
600494,5.523158417307099,ok
600493,6.378043838892179,ok
600496,4.613839682733214,ok
600497,4.613839682733214,ok
600498,4.958068241684655,ok
600495,4.958068241684655,ok
600499,4.958068241684655,ok
600501,4.958068241684655,ok
600500,5.72548788435838,ok
600502,5.139696800771513,ok
600503,4.293510210083482,ok
600504,4.958068241684655,ok
600505,5.327978945865642,ok
600506,4.958068241684655,ok
600508,4.958068241684655,ok
600509,6.152654101490373,ok
600507,4.782858141653791,ok
600511,4.782858141653791,ok
600512,4.782858141653791,ok
600513,5.72548788435838,ok
600514,4.958068241684655,ok
600510,4.293510210083482,ok
600515,4.782858141653791,ok
600517,5.139696800771513,ok
600518,5.139696800771513,ok
600519,5.327978945865642,ok
600520,4.958068241684655,ok
600521,5.139696800771513,ok
600522,4.958068241684655,ok
600516,4.958068241684655,ok
600524,6.152654101490373,ok
600523,4.293510210083482,ok
600525,5.523158417307099,ok
600527,4.613839682733214,ok
600526,5.139696800771513,ok
600529,4.958068241684655,ok
600530,5.523158417307099,ok
600531,5.935229272296986,ok
600528,4.782858141653791,ok
600533,6.152654101490373,ok
600532,4.782858141653791,ok
600534,4.782858141653791,ok
600536,5.327978945865642,ok
600537,5.523158417307099,ok
600538,4.613839682733214,ok
600539,6.611690262414816,ok
600541,5.72548788435838,ok
600542,4.613839682733214,ok
600543,4.450794062355996,ok
600544,4.613839682733214,ok
600545,5.327978945865642,ok
600546,5.139696800771513,ok
600547,5.327978945865642,ok
600548,6.152654101490373,ok
600549,4.958068241684655,ok
600550,4.613839682733214,ok
600551,5.139696800771513,ok
600535,5.523158417307099,ok
600540,5.72548788435838,ok
600553,4.782858141653791,ok
600554,4.450794062355996,ok
600552,5.523158417307099,ok
600556,4.450794062355996,ok
600558,5.327978945865642,ok
600559,4.958068241684655,ok
600555,6.611690262414816,ok
600557,6.152654101490373,ok
