a,k,chi,b1_at_crossing,kappa_k_sgd,measured_r,predicted_r
1.3,0,0.003,3.831889546769067,-7.438608219662625,-0.021458283375249243,-0.022315824658987876
1.3,-1,0.003,-2.451533791721762,7.619648401522177,0.02360345406911768,0.022858945204566532
1.3,1,0.003,10.115317940434151,-22.496864840847426,-0.06072290863536889,-0.06749059452254227
1.5,0,0.002,-2.291415403401364,4.074390836184839,0.00818448205935618,0.008148781672369678
1.5,0,0.005,-2.29147555910541,4.074390836184839,0.02072658994283194,0.020371954180924193
