a,k,kappa_adam,kappa_sgd
1.3,-1,7.6105432889477465,7.619648401522177
1.3,0,-7.52955840897607,-7.438608219662625
1.3,1,-22.669660106899883,-22.496864840847426
1.45,-1,13.61443424280364,13.5818549954717
1.45,0,4.587957720370811,4.609195828833133
1.45,1,-4.438518802062015,-4.363463337805431
1.5,-1,11.974968106570739,11.957816920098214
1.5,0,4.046049844154416,4.074390836184839
1.5,1,-3.8828684182619084,-3.8090352477285374
1.6,-1,9.6679999804451,9.658431285378967
1.6,0,3.2937168140378037,3.3201748384301086
1.6,1,-3.08056635236949,-3.0180816085187496
