a,n,kappa_committed,slope_posthoc_through_origin,ratio_obs_to_pred
1.3,795,7.610543288947747,6.779448567075662,0.8907969260119675
1.45,80,4.587957720370811,3.8164236840151444,0.8318349724693388
1.5,795,4.046049844154416,3.70191095215663,0.9149444754134739
1.6,80,3.2937168140378037,2.6930839586366786,0.8176428365543659
