a,seed,reproduced,sqrt_v_w1,sqrt_v_b1,sqrt_v_b2
1.3,300000,True,0.002831684194066607,0.00899288070353286,0.012275254327963846
1.3,300001,True,0.004094810359725293,0.0021454429385096567,0.014923007211292796
1.3,300002,True,0.007338190172526675,0.009786476239097825,0.00800529561162444
1.3,300003,True,0.003680682442107272,0.006973340761854973,0.013141621376352445
1.3,300004,True,0.004527030582387547,0.002542951082366447,0.013857602756102148
1.3,300005,True,0.004168311060099894,0.003816904811953631,0.012560936693596174
1.3,300007,True,0.007315090199171617,0.007638167500458012,0.009160256771771923
1.3,300008,True,0.0019835960139998627,0.004858193155069038,0.014866753619768497
1.3,300009,True,0.0015762012467161442,0.01104284460081261,0.01353813654949852
1.3,300010,True,0.008769378438520726,0.007139648722927556,0.009092516117970134
1.3,300011,True,0.0046087177978402115,0.004554286290234964,0.012889431877132766
1.3,300012,True,0.009342545027212908,0.003963351225003308,0.009819364219722638
1.3,300013,True,0.004791361699920934,0.004970338653183238,0.010435043398599832
1.3,300014,True,0.00634940755794128,0.006051347148165511,0.009737512988825033
1.3,300015,True,0.008367168379531114,0.0040472175682208225,0.010360377331682637
1.3,300016,True,0.009219415980069008,0.0034339339557833562,0.010032742347992339
1.3,300017,True,0.0011335433344636606,0.005291451355913945,0.013639976021259223
1.3,300018,True,0.007293262136083763,0.007561057987265507,0.009149111714295244
1.3,300019,True,0.008632263945584289,0.006655102060379919,0.009085913161082931
1.3,300020,True,0.00882197462769925,0.0055736670628973245,0.009287862994615802
1.3,300021,True,0.0031659557136687584,0.007602165697148001,0.011128873621649401
1.3,300022,True,0.00256570188161441,0.005851070877277194,0.013956225536777233
1.3,300023,True,0.0008396080309564179,0.005646215810531964,0.015370215204350533
1.3,300024,True,0.012261899877614458,0.003761694197836139,0.010676405640815434
1.3,300025,True,0.006637071327486059,0.005829548990610334,0.009638400663350128
1.3,300026,True,0.0057516630688797515,0.007477149164434802,0.01288880589086506
1.3,300027,True,0.0058183035111222066,0.01065918733619773,0.013884807337102279
1.3,300029,True,0.010007812206422172,0.0032867475003177347,0.009996642818595435
1.3,300030,True,0.0014379459174425776,0.0048255322560856765,0.013837131168955538
1.3,300031,True,0.005001711830070522,0.005590046810329415,0.013071743218419505
1.3,300032,True,0.0169045306609302,0.002696438698094418,0.009314291109039651
1.3,300033,True,0.01032562089567497,0.00721015470364033,0.011157644877731071
1.3,300034,True,0.0042038051294395785,0.003252576437117073,0.012569042862939884
1.3,300035,True,0.007062741113373223,0.0012214715916563023,0.012447695206287848
1.3,300036,True,0.0014760023329566468,0.007841811320177866,0.013271886806526266
1.3,300037,True,0.009801500620548659,0.006926610712362341,0.009027160807159103
1.3,300038,True,0.004945352989814881,0.005539740467068957,0.011366481102046345
1.3,300039,True,0.006087513529416144,0.0014391133809334075,0.012657366786242468
1.3,300040,True,0.0029913811976067847,0.004504870132516137,0.013675931972582834
1.3,300041,True,0.031878420897579994,0.0057411301642830755,0.008491143675574934
1.3,300042,True,0.007716935688201853,0.007238736844420385,0.009054121089690599
1.3,300043,True,0.005851387174712658,0.0033061107152195144,0.013140745775082681
1.3,300044,True,0.012163230061188648,0.0030441000341357286,0.009542042210488816
1.3,300045,True,0.021462266931612805,0.0005106342890712369,0.01011755696032673
1.3,300046,True,0.00320285784614893,0.00561177459507575,0.012419629013281003
1.3,300047,True,0.009908296019263728,0.0017810516897672547,0.010217812263836522
1.3,300048,True,0.00194845352387325,0.0009222553098215358,0.015863670425167942
1.3,300049,True,0.0032421358969292762,0.000529791182641503,0.015869579550282308
1.5,300000,True,0.007411401921764931,0.022600330180301012,0.02316462205355353
1.5,300001,True,0.014964961348256716,0.005920201580789234,0.03660310143367737
1.5,300002,True,0.01599778086777165,0.02120369711357728,0.013860150889615412
1.5,300003,True,0.009909872608203762,0.018327205453546172,0.026548798723438412
1.5,300004,True,0.011165455192720171,0.008359377899310693,0.029039761856488395
