a,s_star,in_certified_bracket,grad_residual,gradG_onesided_rel_diff,H_pd,kappa_adam,kappa_adam_q25,kappa_adam_q75,kappa_sgd,p_median,n_precond_runs,lambda_min_adam_rel,H,tangent,gradG,z_star
1.3,4.958011429378877,True,6.641266855032801e-15,4.712453825854487e-06,True,-7.52955840897607,-7.549859977494416,-7.490111843786898,-7.438608219662625,"[0.3579032689302904, 0.40108323180014416, 0.16763261798941065]",48,0.025394972359251314,"[[2.5354705343392343, -0.026169492870723104, -0.18065850196127722], [-0.02616949287072313, 1.7439710730784745, 0.11052910422785457], [-0.18065850196127722, 0.11052910422785459, 0.17175482820540178]]","[0.025585780108517225, -0.02685512873284194, -3.1404596593302303]","[0.2936436152012334, -0.9621724279540445, 0.0]","[-0.8334624726819305, 3.831781721473423, -16.17843195756836]"
1.45,2.8962428593646985,True,3.423910460709223e-16,4.089300359603109e-06,True,4.587957720370811,4.571386795004295,4.597198919100624,4.609195828833133,"[0.35890010151815294, 0.3730992042517301, 0.22502493126133938]",80,0.033873972070596496,"[[1.8283887337649076, -0.008226969350873345, 0.15631220387762346], [-0.008226969350873314, 1.258369069762718, 0.09645115387608247], [0.15631220387762346, 0.09645115387608248, 0.17271598491131956]]","[-0.05260493113593555, -0.055208909709803605, 3.1408563642388923]","[-0.40778491094961566, -1.3996026853035914, 0.0]","[0.9815289786613088, -2.325908707179625, 8.50270304316959]"
1.5,2.526956496771171,True,1.2923689896027213e-16,3.957847108090974e-06,True,4.046049844154416,4.027816625667115,4.065164462460618,4.074390836184839,"[0.29945725756804675, 0.3837077847113979, 0.22469868167567913]",48,0.03374521318497879,"[[1.6857141278442347, -0.015593584353654988, 0.1509502103044297], [-0.015593584353655005, 1.1605412306831835, 0.09338696041392383], [0.15095021030442968, 0.09338696041392386, 0.1730600007088101]]","[-0.06311431915344994, -0.06624094643639977, 3.1396072826992723]","[-0.44208667970835336, -1.54042126965237, 0.0]","[1.0219844515695116, -2.291367703623402, 7.344728634845408]"
1.6,2.0022081417170483,True,5.792350106503807e-17,3.756261237706534e-06,True,3.2937168140378037,3.2653716119964935,3.305934038856643,3.3201748384301086,"[0.3237917374156828, 0.36799801943291516, 0.25508792234832156]",80,0.03815345478580683,"[[1.4700887358147279, 0.02717452693192256, -0.14248259275968744], [0.027174526931922564, 1.0128894266907786, 0.08858561711620967], [-0.14248259275968744, 0.08858561711620967, 0.17378623613948643]]","[0.08598633588455726, -0.0902627038354218, 3.135967880555587]","[0.5057725007695524, -1.815517028269653, 0.0]","[-1.0934693935613338, -2.230034065564623, 5.700675194549106]"
