a,n_runs,eta_lambda_min,relaxation_steps,momentum_steps
1.3,48,0.12830652299725295,7.793836015815112,10.0
1.45,80,0.08242023217599821,12.132943254328909,10.0
1.5,48,0.0682408650680013,14.653976015742336,10.0
1.6,80,0.061878083238972946,16.16081086639357,10.0
