test,a,seed,arm,cross_step,reproduced,growth,relax,ratio,branch_converged,residual
lag1,1.5,300002,2.0,712,True,0.0012814280571619,0.076296035464197,0.0167954737014252,True,-0.0007560401535332
lag1,1.5,300002,1.0,717,True,0.0013299829589296,0.1053636985629614,0.0126227816322805,True,0.0508912315638268
lag2-tstar,1.5,300002,1.0,717,True,0.0013299829589296,0.1053636985629614,0.0126227816322805,True,0.0508912315638268
4b,1.5,300002,control,717,True,0.0013299829589296,0.1053636985629614,0.0126227816322805,True,0.0508912315638268
lag2-tstar,1.5,300002,2.0,733,True,0.0012070040705126,0.0800611756808453,0.015076022307295,True,0.0623510830332869
4b,1.5,300002,teleport,713,True,0.0013233611422753,0.0994446616715763,0.0133075131438007,True,0.054406194497943
4b,1.5,300000,reset,759,True,0.0012055145617715,0.07043181439311,0.0171160514912057,True,0.005594905281766
4b,1.5,300002,reset,771,True,0.0011257559360873,0.0704046226471492,0.0159898014329168,True,0.0664645455227113
lag1,1.5,300000,0.5,792,True,0.001145357805307,0.1104969293796283,0.0103655170486408,True,-0.0209676414283346
lag1,1.5,300000,1.0,792,True,0.001059331424388,0.0660133000988686,0.016047242340581,True,0.002905614370487
lag2-tstar,1.5,300000,1.0,792,True,0.001059331424388,0.0660133000988686,0.016047242340581,True,0.002905614370487
4b,1.5,300000,control,792,True,0.001059331424388,0.0660133000988686,0.016047242340581,True,0.002905614370487
lag2-tstar,1.5,300000,2.0,796,True,0.0010421550077984,0.0623553547957147,0.0167131597793435,True,0.0055603632933698
4b,1.5,300000,teleport,761,True,0.0011183147819654,0.0686601954888889,0.0162876725590802,True,0.0031864363121616
lag2-tstar,1.5,300000,0.5,809,True,0.0010956498414407,0.0916301124978931,0.0119573119749896,True,-0.0139170159857829
lag2-tstar,1.5,300002,0.5,813,True,0.0012929971408589,0.2963351193776343,0.0043632936371987,True,0.0172446495374605
4b,1.5,300033,reset,820,True,0.001182947769566,0.0703610797617138,0.0168125300744704,True,0.0246546827169769
lag1,1.5,300002,0.5,826,True,0.0012762838822641,0.3831313497098793,0.0033311914653567,True,0.0137186925176
lag1,1.5,300000,2.0,829,True,0.0010126187634204,0.0604332910424505,0.0167559758198367,True,0.0058323322759832
4b,1.5,300033,teleport,827,True,0.0010902617432875,0.0727003590535988,0.0149966486751981,True,0.0184138991687343
4b,1.5,300038,reset,858,True,0.0011429303657522,0.0690496095179225,0.0165523074457872,True,0.0695659919269275
lag1,1.5,300033,2.0,864,True,0.0009850305036393,0.0616405933965928,0.0159802242217506,True,0.0238482437476492
lag1,1.5,300033,1.0,866,True,0.0010089573770055,0.0692470182846126,0.0145704089793242,True,0.0175871328577281
lag2-tstar,1.5,300033,1.0,866,True,0.0010089573770055,0.0692470182846126,0.0145704089793242,True,0.0175871328577281
4b,1.5,300026,reset,866,True,0.0011202280973485,0.0704810997131514,0.0158940212611282,True,0.0662266364349462
4b,1.5,300033,control,866,True,0.0010089573770055,0.0692470182846126,0.0145704089793242,True,0.0175871328577281
lag2-tstar,1.5,300033,2.0,867,True,0.0009833437800238,0.0615692833845197,0.0159713371013681,True,0.0232969894936558
4b,1.5,300038,teleport,864,True,0.0010586186468997,0.0711090981364814,0.014887246142089,True,0.0623742672981801
4b,1.5,300026,teleport,885,True,0.0009873341324875,0.0629324003913321,0.015688804595852,True,0.0654678719549362
lag1,1.5,300026,0.5,909,True,0.0009534032593292,0.0650741065832632,0.0146510387831347,True,0.0623348331890765
