test,a,seed,arm,cross_step,reproduced,growth,relax,ratio,branch_converged,residual
lag1,1.5,300038,1.0,909,True,0.0009767657572634,0.0675913945603314,0.0144510372010685,True,0.0614774967702851
4b,1.5,300038,control,909,True,0.0009767657572634,0.0675913945603314,0.0144510372010685,True,0.0614774967702851
lag2-tstar,1.5,300038,1.0,909,True,0.0009767657572634,0.0675913945603314,0.0144510372010685,True,0.0614774967702851
lag2-tstar,1.5,300038,2.0,911,True,0.0009523510445841,0.0609482890334422,0.0156255583165202,True,0.0676625985146153
lag2-tstar,1.5,300026,0.5,912,True,0.0009501628192669,0.0644557444749467,0.0147413209948453,True,0.0619166715506107
lag1,1.5,300038,2.0,922,True,0.0009337804162811,0.0592248919271815,0.0157666883956363,True,0.0680548665545197
lag1,1.5,300026,1.0,932,True,0.0009233944451506,0.0589424390067232,0.0156660372511101,True,0.0671086201959274
lag2-tstar,1.5,300026,1.0,932,True,0.0009233944451506,0.0589424390067232,0.0156660372511101,True,0.0671086201959274
4b,1.5,300026,control,932,True,0.0009233944451506,0.0589424390067232,0.0156660372511101,True,0.0671086201959274
4b,1.5,300027,reset,948,True,0.0011619484665361,0.0684463719896792,0.0169760417208288,True,0.0723257915213761
lag1,1.5,300041,2.0,949,True,0.0011176732097157,0.0746526062084649,0.014971656938469,True,0.0609162864628423
lag2-tstar,1.5,300041,2.0,949,True,0.0011218161031207,0.0749254401223758,0.0149724326115199,True,0.0603859784356348
4b,1.5,300043,reset,951,True,0.001153387693429,0.0701388381874486,0.0164443512786257,True,0.0553212535294502
lag2-tstar,1.5,300026,2.0,953,True,0.0009069375172921,0.057537526307518,0.0157625392590715,True,0.0675477481334454
lag1,1.5,300026,2.0,955,True,0.0009054109721595,0.0574294318353712,0.0157656264954009,True,0.0675129826765537
lag2-tstar,1.5,300038,0.5,963,True,0.0009799269006132,0.0994422469386494,0.009854231282785,True,0.0408186331629982
4b,1.5,300032,reset,970,True,0.0011656529280165,0.0700729979030657,0.0166348374252381,True,0.0583691141691176
lag2-tstar,1.5,300032,2.0,972,True,0.0010109013332362,0.0684975065230683,0.0147582209126954,True,0.0507261273406174
4b,1.5,300039,reset,972,True,0.0011218185613984,0.069920317955027,0.0160442428496961,True,0.0670261322033238
lag1,1.5,300038,0.5,977,True,0.001014812353177,0.1102106134553051,0.0092079367073714,True,0.0376603988266552
4b,1.5,300032,teleport,966,True,0.0011290598124385,0.0877106302192799,0.0128725538696485,True,0.0426062987080553
lag2-tstar,1.5,300033,0.5,981,True,0.0009478490179647,0.0878662083974331,0.0107874123084662,True,0.0022377403837239
lag1,1.5,300033,0.5,987,True,0.0009436309618349,0.0873924806709283,0.0107976218845207,True,0.0016875778639204
4b,1.5,300043,teleport,995,True,0.0009478307792665,0.061320838313247,0.0154569116362162,True,0.0525682743356612
4b,1.5,300022,reset,996,True,0.0011816185028392,0.070505194396285,0.0167593113238974,True,0.0332458231703558
lag1,1.5,300032,1.0,1003,True,0.0010348473845054,0.0844938759718309,0.0122476022386576,True,0.0398474025476149
4b,1.5,300027,teleport,987,True,0.0009656090756361,0.0582832945724631,0.0165675101711289,True,0.0720857432236743
4b,1.5,300032,control,1003,True,0.0010348473845054,0.0844938759718309,0.0122476022386576,True,0.0398474025476149
lag2-tstar,1.5,300032,1.0,1003,True,0.0010348473845054,0.0844938759718309,0.0122476022386576,True,0.0398474025476149
lag1,1.5,300027,0.5,1029,True,0.0009014547378864,0.0583383386052196,0.0154521839229371,True,0.0673843672194578
lag2-tstar,1.5,300027,0.5,1033,True,0.0008977688697347,0.0579389965028908,0.0154950710906772,True,0.0683411437348371
lag1,1.5,300045,2.0,1036,True,0.0009071039015507,0.0585249179032388,0.0154994476549376,True,0.0401692401328843
4b,1.5,300039,teleport,1015,True,0.0009321901046129,0.0626094282340951,0.0148889732889353,True,0.0630750281707326
lag1,1.5,300043,2.0,1047,True,0.0008479993543408,0.0535813570212381,0.0158263881596859,True,0.054922281246386
lag1,1.5,300027,1.0,1050,True,0.000877713917966,0.0534626588896358,0.0164173263394539,True,0.0729166337184461
lag1,1.5,300022,2.0,1050,True,0.0008693418267195,0.0536245582243891,0.016211636151516,True,0.0334987451017483
lag2-tstar,1.5,300027,1.0,1050,True,0.000877713917966,0.0534626588896358,0.0164173263394539,True,0.0729166337184461
4b,1.5,300027,control,1050,True,0.000877713917966,0.0534626588896358,0.0164173263394539,True,0.0729166337184461
lag2-tstar,1.5,300043,2.0,1052,True,0.0008456625890111,0.0535153225139484,0.0158022515661891,True,0.0551936428589441
lag1,1.5,300046,2.0,1057,True,0.0009992192907464,0.0627194017196166,0.0159315819881926,True,0.0659448945986842
4b,1.5,300017,reset,1060,True,0.0011379791134366,0.0698258132913,0.0162973986237618,True,0.0674358619497283
lag1,1.5,300043,1.0,1062,True,0.0008493046162699,0.0560276683829006,0.015158664295392,True,0.0524720492120294
lag2-tstar,1.5,300043,1.0,1062,True,0.0008493046162699,0.0560276683829006,0.015158664295392,True,0.0524720492120294
4b,1.5,300043,control,1062,True,0.0008493046162699,0.0560276683829006,0.015158664295392,True,0.0524720492120294
lag1,1.5,300039,2.0,1065,True,0.0008285966530789,0.0538495036842111,0.0153872662956756,True,0.066013809834577
4b,1.5,300034,reset,1067,True,0.0011046556609566,0.0690676485314085,0.0159938217739423,True,0.128937978830397
lag2-tstar,1.5,300027,2.0,1070,True,0.0008611578762212,0.0518120945237937,0.0166207887200109,True,0.0737028861299369
lag1,1.5,300027,2.0,1071,True,0.0008602761029071,0.0517167528806999,0.0166343796736742,True,0.0733540680506503
lag1,1.5,300039,1.0,1084,True,0.0008339237833619,0.0572109818360629,0.0145762886180062,True,0.0620983592255912
lag2-tstar,1.5,300039,1.0,1084,True,0.0008339237833619,0.0572109818360629,0.0145762886180062,True,0.0620983592255912
4b,1.5,300039,control,1084,True,0.0008339237833619,0.0572109818360629,0.0145762886180062,True,0.0620983592255912
lag2-tstar,1.5,300022,2.0,1091,True,0.0008481458122844,0.0525878981594965,0.0161281557538597,True,0.0333411303717774
lag2-tstar,1.5,300039,2.0,1091,True,0.0008210826895291,0.0537029271754733,0.0152893470191354,True,0.0660120770370957
4b,1.5,300022,teleport,1047,True,0.0009377067691898,0.0587283383535466,0.0159668534046515,True,0.0311335708474369
lag2-tstar,1.5,300039,0.5,1106,True,0.0008483311790552,0.075251092151531,0.011273340423379,True,0.047062570096457
lag2-tstar,1.5,300043,0.5,1108,True,0.0008417616251684,0.065454732747463,0.0128602102527274,True,0.0424378679414216
lag1,1.5,300043,0.5,1113,True,0.0008393752354864,0.0653127069958778,0.0128516375157965,True,0.0421086717192802
lag1,1.5,300022,1.0,1113,True,0.0008401133509183,0.0534540578382575,0.0157165495921819,True,0.0315935457355165
lag2-tstar,1.5,300022,1.0,1113,True,0.0008401133509183,0.0534540578382575,0.0157165495921819,True,0.0315935457355165
4b,1.5,300022,control,1113,True,0.0008401133509183,0.0534540578382575,0.0157165495921819,True,0.0315935457355165
4b,1.5,300004,reset,1116,True,0.0012842654212498,0.069651780545016,0.018438371728628,True,-0.0783814182231851
4b,1.5,300017,teleport,1103,True,0.000936361047035,0.0593382881946535,0.0157800481868192,True,0.0659141959931897
lag2-tstar,1.5,300046,2.0,1118,True,0.0010356232888319,0.0647146618919231,0.0160029158548568,True,0.0663524444081045
lag2-tstar,1.5,300026,0.25,1120,True,0.0007816936521343,0.1423059521049779,0.0054930495918937,True,0.0228353138414814
4b,1.5,300034,teleport,1116,True,0.0009222705240523,0.0648507367198499,0.0142214348009099,True,0.121189237925988
lag1,1.5,300026,0.25,1121,True,0.00078136197907,0.1479526573895327,0.0052811621829328,True,0.0217521042935586
lag1,1.5,300004,2.0,1123,True,0.0008494668623193,0.0500742272884875,0.0169641531845389,True,-0.081702157157511
lag2-tstar,1.5,300004,2.0,1127,True,0.0008475685849115,0.0500175883057723,0.0169454108768725,True,-0.0816187846522322
lag1,1.5,300034,2.0,1138,True,0.0008293606644407,0.0552549711886467,0.0150097022331111,True,0.1265848339156581
lag2-tstar,1.5,300034,2.0,1139,True,0.0008294631740263,0.0553096196898028,0.0149967253197227,True,0.1263054799295664
lag1,1.5,300039,0.5,1155,True,0.0008296101206882,0.0741254158447865,0.0111919793128089,True,0.0469890098202521
4b,1.5,300046,teleport,1149,True,0.0010876789323501,0.0687367191151402,0.0158238412649314,True,0.0654768446636668
lag1,1.5,300017,2.0,1158,True,0.0009337316960258,0.058186184260974,0.0160473093034928,True,0.0674702274244869
lag2-tstar,1.5,300017,2.0,1160,True,0.0008496849640767,0.0535120251107158,0.015878392983984,True,0.0674580450697655
lag2-tstar,1.5,300027,0.25,1161,True,0.0007929305501296,0.0842216206716893,0.0094148099241717,True,0.0402306839298016
lag1,1.5,300027,0.25,1163,True,0.0007916670611705,0.086706353261713,0.0091304389054508,True,0.0390743897505094
lag2-tstar,1.5,300022,0.5,1163,True,0.0008230614790497,0.0580811769952829,0.014170881542511,True,0.0245591413735866
lag2-tstar,1.5,300032,0.5,1163,True,0.0009404047740998,0.1312854509025819,0.0071630539990124,True,0.0186224566869048
4b,1.5,300046,reset,1163,True,0.0011184944220023,0.0702776801690856,0.0159153577538593,True,0.0651240107421489
lag1,1.5,300046,1.0,1165,True,0.0010773382080197,0.0676512225441374,0.0159248889747236,True,0.0651585665135161
lag2-tstar,1.5,300046,1.0,1165,True,0.0010773382080197,0.0676512225441374,0.0159248889747236,True,0.0651585665135161
4b,1.5,300046,control,1165,True,0.0010773382080197,0.0676512225441374,0.0159248889747236,True,0.0651585665135161
lag2-tstar,1.5,300017,1.0,1166,True,0.0008493996918222,0.0544191673572446,0.0156084654189256,True,0.066343601545896
lag1,1.5,300017,1.0,1166,True,0.0008493996918222,0.0544191673572446,0.0156084654189256,True,0.066343601545896
4b,1.5,300017,control,1166,True,0.0008493996918222,0.0544191673572446,0.0156084654189256,True,0.066343601545896
lag1,1.5,300032,2.0,1173,True,0.0008182333946691,0.0535538266953218,0.0152787101344632,True,0.0547979951795729
lag2-tstar,1.5,300017,0.5,1187,True,0.0008435988871309,0.0575868667084092,0.0146491541448584,True,0.061652547986998
4b,1.5,300004,teleport,1174,True,0.0009052201824354,0.0574138117687064,0.0157665926464204,True,-0.086745708066442
lag1,1.5,300041,1.0,1200,True,0.0013247400631033,0.1081557055958038,0.0122484528745449,True,0.0468670081107567
lag2-tstar,1.5,300041,1.0,1200,True,0.0013247400631033,0.1081557055958038,0.0122484528745449,True,0.0468670081107567
4b,1.5,300041,control,1200,True,0.0013247400631033,0.1081557055958038,0.0122484528745449,True,0.0468670081107567
4b,1.5,300041,teleport,1189,True,0.0013606620446808,0.106142232464425,0.012819233335203,True,0.0488163493799558
lag1,1.5,300034,1.0,1201,True,0.0008109105047953,0.0587628317405432,0.0137997179641681,True,0.1201724009785445
4b,1.5,300034,control,1201,True,0.0008109105047953,0.0587628317405432,0.0137997179641681,True,0.1201724009785445
lag2-tstar,1.5,300034,1.0,1201,True,0.0008109105047953,0.0587628317405432,0.0137997179641681,True,0.1201724009785445
lag1,1.5,300022,0.5,1212,True,0.0008019684567915,0.0573446336679667,0.013985065480322,True,0.0233925398066843
lag1,1.5,300004,1.0,1223,True,0.0008103868083462,0.0524325155573085,0.0154558063776375,True,-0.0873729654596068
lag2-tstar,1.5,300004,1.0,1223,True,0.0008103868083462,0.0524325155573085,0.0154558063776375,True,-0.0873729654596068
4b,1.5,300004,control,1223,True,0.0008103868083462,0.0524325155573085,0.0154558063776375,True,-0.0873729654596068
lag2-tstar,1.5,300046,0.5,1233,True,0.0011188715377741,0.0740749930846068,0.0151045783628513,True,0.0614132237984463
4b,1.5,300031,reset,1238,True,0.0011399116935184,0.0689383407087223,0.0165352354263184,True,0.069371634717708
4b,1.5,300041,reset,1243,True,0.0011650300289489,0.0698921047535241,0.0166689790364373,True,0.0682844161837787
4b,1.5,300040,reset,1248,True,0.0011264941244331,0.0694243421186464,0.0162262124502096,True,0.1030442864552549
4b,1.5,300049,reset,1249,True,0.0012104746775388,0.0707311592559768,0.0171137401149917,True,-0.0003144164434462
4b,1.5,300035,reset,1254,True,0.0010939100475623,0.0698450249033424,0.0156619608780462,True,0.0671303423396534
lag2-tstar,1.5,300000,0.25,1266,True,0.0007326691708283,0.379767888419638,0.0019292551928949,True,-0.0530827060855251
lag1,1.5,300040,2.0,1271,True,0.0007720248328333,0.0509132093964634,0.0151635467884486,True,0.1007854758261004
lag1,1.5,300031,2.0,1304,True,0.0007394652039854,0.0490548720304894,0.0150742459082519,True,0.0648063473868691
lag2-tstar,1.5,300031,2.0,1309,True,0.0007375800335462,0.0489604131452057,0.0150648245422016,True,0.0647324226226908
4b,1.5,300035,teleport,1318,True,0.0008670458639232,0.0637464302676726,0.0136014810599202,True,0.0586908603950557
lag2-tstar,1.5,300033,0.25,1330,True,0.0007046568394621,0.134902995363323,0.0052234336054909,True,-0.0196426320289401
lag2-tstar,1.5,300034,0.5,1335,True,0.0007661504734686,0.0720053503923879,0.0106401881150987,True,0.1047928956994908
lag1,1.5,300005,2.0,1336,True,0.0007795300904275,0.0515616777347654,0.0151184004220634,True,0.0671223097582256
lag2-tstar,1.5,300005,2.0,1337,True,0.0007831379256981,0.0517609002774421,0.0151299131487373,True,0.0664753085499367
lag1,1.5,300034,0.5,1338,True,0.0007652486709296,0.0721213667081714,0.010610568072373,True,0.1047835812838375
lag1,1.5,300033,0.25,1339,True,0.0007066624608657,0.1337850400822143,0.0052820738434692,True,-0.0197432277936588
4b,1.5,300040,teleport,1329,True,0.0008603288933424,0.0587346857974419,0.0146477142366861,True,0.0970637065890238
lag1,1.5,300037,0.25,1339,True,0.000698312934387,0.0938938794996974,0.0074372572323978,True,0.1032473976901631
lag1,1.5,300020,2.0,1348,True,0.0008031790504696,0.0541761460320902,0.0148253264452205,True,0.0631073477184207
4b,1.5,300031,teleport,1341,True,0.0008161252865773,0.057561555445367,0.0141783049513313,True,0.0602733077179129
lag2-tstar,1.5,300035,2.0,1368,True,0.00076104372663,0.0530416294332326,0.014348045766355,True,0.0629739065737258
lag1,1.5,300011,2.0,1369,True,0.0008730616066458,0.0544671743562677,0.0160291334544954,True,0.0664110633726011
4b,1.5,300047,reset,1369,True,0.0010811772494666,0.0707274894087281,0.0152865209624315,True,0.0638890757218164
lag1,1.5,300035,2.0,1374,True,0.0007216858896413,0.0496201689319533,0.0145442046082317,True,0.0643316784139578
lag2-tstar,1.5,300004,0.5,1378,True,0.0007607619015626,0.0623319623492734,0.0122050048304239,True,-0.1002891621199817
lag1,1.5,300000,0.25,1380,True,0.0006994459756073,0.5827925184439697,0.0012001629284378,True,0.0050616755281296
lag2-tstar,1.5,300017,0.25,1380,True,0.0007230103198373,0.0830401381460483,0.0087067571897072,True,0.0354539260350024
lag1,1.5,300004,0.5,1382,True,0.0007667194933049,0.0629023380993883,0.0121890460111915,True,-0.1004368439015137
4b,1.5,300048,reset,1382,True,0.0011378723077595,0.070017362224477,0.0162512878464563,True,0.065840615141808
lag2-tstar,1.5,300043,0.25,1383,True,0.0006847321120127,0.1033373258901322,0.0066261837735261,True,0.0154676435592895
lag1,1.5,300043,0.25,1390,True,0.0006826845259764,0.1014606583046425,0.0067285639319097,True,0.0161132302103668
lag2-tstar,1.5,300040,2.0,1397,True,0.0007486093415564,0.0495968575072405,0.015093886572292,True,0.1007906576681336
lag1,1.5,300035,1.0,1399,True,0.0007589402892722,0.0573992710853254,0.013222124165028,True,0.0577409163490962
lag2-tstar,1.5,300035,1.0,1399,True,0.0007589402892722,0.0573992710853254,0.013222124165028,True,0.0577409163490962
4b,1.5,300035,control,1399,True,0.0007589402892722,0.0573992710853254,0.013222124165028,True,0.0577409163490962
4b,1.5,300049,teleport,1352,True,0.0008066473099269,0.0488082828217238,0.0165268528883359,True,-0.0005034786044839
lag1,1.5,300049,2.0,1400,True,0.0007166353206393,0.0433747587256785,0.0165219436763141,True,0.0002997800075523
lag2-tstar,1.5,300002,0.25,1408,True,0.0006934928966222,1.0439176276880802,0.0006643176417646,True,0.002243548131803
lag1,1.5,300015,0.25,1425,True,0.0007304103889261,0.0667983315638603,0.0109345603673929,True,0.0454445029013921
4b,1.5,300047,teleport,1414,True,0.0008961406793616,0.0636545562186838,0.0140781859555022,True,0.0591459902944822
lag1,1.5,300002,0.25,1427,True,0.0006855475459848,0.9490982564234012,0.0007223146195297,True,0.0021700660837951
lag1,1.5,300035,0.5,1428,True,0.0008120805776708,0.0758204575414917,0.0107105734257339,True,-0.0275493979868582
lag1,1.5,300040,1.0,1428,True,0.0007434059673601,0.0520284295317936,0.0142884567927587,True,0.0970653770384595
4b,1.5,300008,reset,1428,True,0.0011333282849692,0.0697139464564256,0.0162568372983682,True,0.068372850385864
lag2-tstar,1.5,300040,1.0,1428,True,0.0007434059673601,0.0520284295317936,0.0142884567927587,True,0.0970653770384595
4b,1.5,300040,control,1428,True,0.0007434059673601,0.0520284295317936,0.0142884567927587,True,0.0970653770384595
lag2-tstar,1.5,300046,0.25,1433,True,0.0009403579593267,0.1156014575719183,0.0081344818575639,True,0.0323936018062036
lag2-tstar,1.5,300049,2.0,1441,True,0.0007019552998673,0.0425904829200963,0.0164815060018061,True,0.000493603551561
lag1,1.5,300049,1.0,1442,True,0.0007021039505892,0.0428550928415653,0.0163832091832091,True,0.0001491632421153
lag2-tstar,1.5,300049,1.0,1442,True,0.0007021039505892,0.0428550928415653,0.0163832091832091,True,0.0001491632421153
4b,1.5,300049,control,1442,True,0.0007021039505892,0.0428550928415653,0.0163832091832091,True,0.0001491632421153
lag1,1.5,300024,0.5,1445,True,0.0021415942727572,0.1346667768294541,0.0159029147587706,True,0.0572787490164441
4b,1.5,300023,reset,1445,True,0.0011625544343097,0.0695123296334107,0.0167244349375241,True,0.0533325615670339
lag2-tstar,1.5,300038,0.25,1450,True,0.0006674019651183,0.2804399091155907,0.0023798394715756,True,0.0097668385177549
lag1,1.5,300031,1.0,1451,True,0.0006910626971691,0.0500809397593565,0.0137989163240493,True,0.0589064396187704
lag2-tstar,1.5,300031,1.0,1451,True,0.0006910626971691,0.0500809397593565,0.0137989163240493,True,0.0589064396187704
4b,1.5,300031,control,1451,True,0.0006910626971691,0.0500809397593565,0.0137989163240493,True,0.0589064396187704
lag1,1.5,300003,2.0,1453,True,0.0007159444100966,0.0489138106190894,0.0146368561564737,True,0.1163830364665081
lag2-tstar,1.5,300049,0.5,1453,True,0.00070056442289,0.0444573219831671,0.0157581336805521,True,-0.0028923812801415
lag1,1.5,300029,2.0,1454,True,0.0007135621384778,0.0453687264097493,0.0157280619260346,True,0.0712404239245012
lag2-tstar,1.5,300047,2.0,1454,True,0.0008107739448097,0.0557961277969016,0.0145310073803136,True,0.0620806288151454
4b,1.5,300030,reset,1455,True,0.0010881559542591,0.0713426923409486,0.0152525215765449,True,0.0627424758867576
lag2-tstar,1.5,300022,0.25,1458,True,0.000674436088465,0.0936236930720915,0.0072036902875189,True,-0.0051433831409972
lag1,1.5,300049,0.5,1473,True,0.0006942062491679,0.0443179535084077,0.0156642217027521,True,-0.0033271344862484
lag1,1.5,300047,1.0,1476,True,0.0008084795309905,0.0585678712882709,0.0138041474482013,True,0.0586171802429904
lag2-tstar,1.5,300047,1.0,1476,True,0.0008084795309905,0.0585678712882709,0.0138041474482013,True,0.0586171802429904
4b,1.5,300047,control,1476,True,0.0008084795309905,0.0585678712882709,0.0138041474482013,True,0.0586171802429904
lag1,1.5,300017,0.5,1492,True,0.0010210285188398,0.067670187794237,0.0150883062707687,True,0.0624226767733002
lag1,1.5,300030,2.0,1492,True,0.0006768977957287,0.0478245171279872,0.014153782126377,True,0.0607376360033449
lag1,1.5,300024,0.25,1494,True,0.0012475419532413,0.708636514965801,0.0017604821751269,True,0.0063558140367818
4b,1.5,300009,reset,1496,True,0.0010907870119614,0.0704564696870365,0.0154817154025263,True,0.0639166289997112
lag1,1.5,300008,2.0,1498,True,0.0006887562811199,0.0449233981190613,0.0153317938971252,True,0.0678391333508674
lag2-tstar,1.5,300035,0.5,1503,True,0.000727917110197,0.0692221581735023,0.010515666217348,True,0.0453212304036942
lag2-tstar,1.5,300040,0.5,1509,True,0.000720647646706,0.0584410420153713,0.0123311909208692,True,0.0874585461442729
4b,1.3,300002,teleport,1492,True,0.0006175001771808,0.1822407908980376,0.0033883752047933,True,0.0260614915804213
4b,1.5,300048,teleport,1523,True,0.0007417355843232,0.0471495519165021,0.0157315510789331,True,0.066124430926669
lag1,1.3,300002,1.0,1527,True,0.0005917121361512,0.1857241556008649,0.0031859729513208,True,0.0243202622207356
lag2-tstar,1.3,300002,1.0,1527,True,0.0005917121361512,0.1857241556008649,0.0031859729513208,True,0.0243202622207356
4b,1.3,300002,control,1527,True,0.0005917121361512,0.1857241556008649,0.0031859729513208,True,0.0243202622207356
4b,1.5,300003,reset,1527,True,0.0011094797461466,0.0697438847165111,0.0159079143735165,True,0.1194390593031149
4b,1.3,300002,reset,1536,True,0.0005864992559999,0.1452981385319694,0.0040365228483015,True,0.031329263180704
lag1,1.5,300009,2.0,1539,True,0.0006781015577403,0.0472482838112297,0.0143518770004337,True,0.0623423900342936
lag1,1.5,300047,2.0,1539,True,0.0006806675046727,0.0469268641135367,0.014504858092071,True,0.0632316739138847
lag2-tstar,1.5,300047,0.5,1543,True,0.0007856629224692,0.0661428005603828,0.0118782832872639,True,0.049841974847683
lag2-tstar,1.5,300039,0.25,1552,True,0.00063048700306,0.1838998511378104,0.0034284258478684,True,0.0143659606182857
lag1,1.3,300002,2.0,1554,True,0.0005701208380423,0.1361001865515604,0.0041889791078747,True,-0.0346815290566309
lag1,1.5,300022,0.25,1555,True,0.0006509430887956,0.0896613198364908,0.0072600212665026,True,-0.0044072377306755
lag1,1.5,300046,0.5,1559,True,0.0013213596247728,0.0860364913928619,0.0153581300606419,True,0.0615775731629748
4b,1.5,300008,teleport,1551,True,0.0007726240591971,0.0513591313682019,0.0150435577591472,True,0.0656350859165595
4b,1.5,300023,teleport,1565,True,0.0007839156213308,0.0506570463390889,0.015474957147787,True,0.0507824945077561
4b,1.5,300005,reset,1593,True,0.001099660045363,0.0702585027129596,0.0156516293815101,True,0.0672304066619642
4b,1.5,300003,teleport,1597,True,0.000876173384607,0.0627206735307824,0.0139694511440006,True,0.1111855901368088
4b,1.5,300030,teleport,1582,True,0.0007455644298107,0.0544881476638477,0.013683056990859,True,0.057832266301794
4b,1.5,300005,teleport,1597,True,0.0010134403406457,0.0671036592470904,0.0151026091872874,True,0.0652974024694725
lag2-tstar,1.3,300002,2.0,1599,True,0.0005429188126583,0.1437668915802669,0.0037763827727697,True,0.0291966811012549
lag1,1.5,300039,0.25,1605,True,0.0006317822101218,0.148347543544407,0.004258797921603,True,0.0178844898175329
lag1,1.5,300025,2.0,1605,True,0.0006829495640083,0.0464697880615316,0.0146966360832978,True,0.0664478085885336
lag2-tstar,1.5,300049,0.25,1617,True,0.0006383404234265,0.05819673405294,0.0109686640292547,True,-0.0232057872660598
4b,1.5,300009,teleport,1608,True,0.0007715415899197,0.0556017643765481,0.013876206961611,True,0.0592746428366137
lag1,1.5,300005,1.0,1626,True,0.0009696637987963,0.0646993339604473,0.0149872299982122,True,0.0641570865682661
4b,1.5,300005,control,1626,True,0.0009696637987963,0.0646993339604473,0.0149872299982122,True,0.0641570865682661
lag2-tstar,1.5,300003,2.0,1640,True,0.0007789959169174,0.0532562528870327,0.0146273136897155,True,0.1153549806817937
lag2-tstar,1.5,300005,1.0,1626,True,0.0009696637987963,0.0646993339604473,0.0149872299982122,True,0.0641570865682661
4b,1.5,300001,reset,1646,True,0.0010984214768134,0.0698337123565984,0.0157291004551571,True,0.1379469498667709
lag2-tstar,1.5,300008,2.0,1642,True,0.000660026538867,0.0431839570965052,0.0152840680485134,True,0.0672790075187577
lag2-tstar,1.5,300009,2.0,1653,True,0.0006546580344429,0.0457196223839824,0.0143189729115583,True,0.0621470524221012
lag1,1.5,300048,1.0,1654,True,0.0006282860297307,0.0400818124788324,0.0156750902934481,True,0.0665292528460907
lag1,1.5,300048,2.0,1654,True,0.0006282631855359,0.0400470369356027,0.015688131597506,True,0.0664487941825191
lag2-tstar,1.5,300048,1.0,1654,True,0.0006282860297307,0.0400818124788324,0.0156750902934481,True,0.0665292528460907
