s,status,loss,G_lo,G_hi,w1,b1,sigma
4.0,unplaced,0.38109443002690624,-0.040123024546359076,-0.040123024546359076,0.8627492387050499,2.420594254789594,-1.0
4.5,unplaced,0.36407053756980295,-0.01693438055136287,-0.01693438055136287,0.8461703026830336,3.8451370016750106,1.0
4.9,unplaced,0.35109024246229614,-0.001959236277954801,-0.001959236277954801,0.8349615095158673,3.8333554088365087,1.0
5.0,placed,0.34792781349516966,0.0013878835472351803,0.0013878835472351803,-0.8323957687530291,3.8306622446336744,1.0
5.5,placed,0.33258199650265924,0.01617989688813415,0.01617989688813415,0.8207634115897082,3.818477745155163,1.0
6.0,placed,0.3179682926084195,0.028332522481074207,0.028332522481074207,0.8108077976067467,8.758274189461885,-1.0
4.949747468305833,unplaced,0.34951300068785857,-0.0002761131382982285,-0.0002761131382982285,0.8336742097271136,84.13259033168573,-1.0
4.97481028196344,placed,0.3487213997886585,0.0005582649712105869,0.0005582649712105869,-0.8330338835824861,3.8313318930987763,1.0
4.962263052121518,placed,0.3491174484763589,0.00014167217958505063,0.00014167217958505063,0.8333537700817825,2.451517679689036,-1.0
4.956001309453626,unplaced,0.3493152866492768,-6.707120363991237e-05,-6.707120363991237e-05,-0.8335139207577129,8.734534892127222,-1.0
4.959131192473898,placed,0.34921638307866926,3.7337759694722195e-05,3.7337759694722195e-05,0.8334338281166354,2.4514336512658956,-1.0
4.957566003963332,unplaced,0.34926583874305445,-1.4857443604299192e-05,-1.4857443604299192e-05,0.8334738700420504,8.734576929958493,-1.0
4.958348536458761,placed,0.34924111188061735,1.1242481974704788e-05,1.1242481974704788e-05,0.8334538480298329,-15.017783252569462,1.0
4.957957254772301,unplaced,0.3492534755542767,-1.806872267362536e-06,-1.806872267362536e-06,-0.8334638587942572,3.83178317635309,1.0
