act,seed,s_cross,grad_at_cross,dist_to_branch,s_branch,placed_at_cross_on_branch,note
gelu,850000,7.141012097580907,3.2959746043559335e-17,0.0051656018218867,7.138835012899058,True,
gelu,850002,6.206695495235855,7.077671781985373e-16,0.00944039410496601,6.202609850038337,True,
gelu,850003,6.080944943298312,4.0766001685454967e-17,0.009074616696485823,6.060622547035476,True,
gelu,850004,0.2299394509193607,8.230048587076766e-14,319.5466680217092,,no sign change within 400 steps
gelu,850005,7.85717940079349,5.637851296924623e-17,0.002839987883155208,7.852573186917476,True,
gelu,850006,6.194404170396992,6.765421556309548e-17,0.00798690415427786,6.189305809786774,True,
gelu,850007,6.008417349474361,7.762887554996212e-17,0.015304247091763276,5.9788391694620415,True,
gelu,850010,7.792590879389735,4.119968255444917e-17,0.001057789216252343,7.788403027662865,True,
gelu,850011,5.73289435413654,1.0061396160665481e-16,0.004212973633255043,5.724253373541116,True,
gelu,850012,0.188224038925543,5.5077470362263625e-17,144.35484355220999,,continuation lost at s=0.1901
gelu,850013,7.426232094577681,1.4606371667724716e-15,0.010125466381012705,7.415650711017628,True,
gelu,850016,7.780811934244234,1.991722758942771e-14,0.014357065038474384,7.750933407459385,True,
gelu,850018,6.19265300548342,6.591949208711867e-17,0.0057062122974656454,6.191422714618378,True,
gelu,850019,6.215475660508237,4.423544863740858e-17,0.005107771644815474,6.209525359254877,True,
gelu,850020,6.186143322646728,5.551115123125783e-17,0.007483524989839179,6.170936601313746,True,
gelu,850021,0.4507342636883426,2.998469528225911e-14,49.94398343307516,,continuation lost at s=0.4552
gelu,850022,5.436482900260205,1.2967057982926633e-16,0.011556061828402771,5.430422270366818,True,
gelu,850024,6.8388084692249045,5.204170427930421e-18,0.004047803240359643,6.8245185151267655,True,
gelu,850025,6.939001918447785,5.637851296924623e-17,0.0028474403638800937,6.933210240515974,True,
gelu,850030,6.7357390001682305,1.6479873021779667e-17,0.014728519514063943,6.706843650093353,True,
gelu,850032,0.8358255270741658,3.1848438816761693e-18,21.5621888371231,8.208179332227374,False,
gelu,850033,6.419103434139763,1.1275702593849246e-17,0.0075748143361611606,6.406434872766296,True,
gelu,850034,7.672879695096105,5.377642775528102e-17,0.00290313816624113,7.6713319126624935,True,
gelu,850038,6.617275900021456,3.0357660829594124e-17,0.005416102584229998,6.60808142456589,True,
gelu,850039,7.231640314845175,2.6454533008646308e-17,0.002942563193304328,7.222377865381855,True,
gelu,850042,9.632326429597876,2.47198095326695e-17,0.002334465369423223,9.623563622869778,True,
gelu,850043,6.555907360827854,4.098284211995207e-17,0.0010355872272530468,6.547790504088694,True,
gelu,850045,6.438593034255706,8.500145032286355e-17,0.016906788765076265,6.402480088278964,True,
gelu,850046,0.7908757933108417,1.1709383462843448e-17,22.86864431135017,5.998714476579853,False,
gelu,850049,7.323950852310015,6.245004513516506e-17,0.0037304746189253464,7.315446325639777,True,
gelu,850050,6.617595479618542,5.117434254131581e-17,0.004039861443320738,6.611660081329174,True,
gelu,850051,7.43687846965574,5.204170427930421e-18,0.0014495459267611784,7.4323870199208,True,
gelu,850052,5.624905420579989,7.37257477290143e-17,0.004794369301118894,5.619891276069028,True,
gelu,850053,0.7620755505016723,3.9090041967226874e-14,24.7728451058153,2.1287559126255697,False,
gelu,850054,0.9929469874726948,1.8648277366750676e-17,15.221658215058373,7.30433804400969,False,
gelu,850056,0.212551122978261,8.326672684688674e-17,109.0688043414402,,continuation lost at s=0.2147
gelu,850058,7.610292032867768,1.3118846287074604e-17,0.0057245248019737625,7.593544652542754,True,
gelu,850059,7.209112027994676,1.1275702593849246e-17,0.010419171033680912,7.1839412971864824,True,
