phase,s,status,loss,G_lo,G_hi,w1,b1,sigma,best_placed_loss,best_unplaced_loss,best_undecided_loss,posthoc_mp_sign_G,posthoc_mp_log10_absG
scan,0.1,undecided,0.4773478461403184,-6.198600504702092e-14,2.677706420742831e-153,222.99563847661796,-178.79231239024418,1.0,,0.4773856262211095,0.4773478461403184,1,-152.5722370400352
scan,0.1333521432163324,undecided,0.47731484631326426,-1.4393489551449876e-14,5.149895317355558e-106,-154.79769203349423,-124.11010995263433,1.0,,0.47738562622115505,0.47731484631326426,1,-105.28820159883394
scan,0.1778279410038923,undecided,0.47725147871002577,-5.213960084892294e-14,9.102125997770991e-73,106.77876337566568,-85.59898525521818,1.0,,0.6931471805599453,0.47725147871002577,1,-72.0408571569907
scan,0.23713737056616552,undecided,0.4771290569616694,-1.8261251980222572e-13,1.87501604162171e-49,73.03745016778171,-58.52992320613427,1.0,,0.6931471805599453,0.4771290569616694,1,-48.726995012332
scan,0.31622776601683794,undecided,0.4768905697964172,-3.822253987446963e-14,3.584504891041372e-33,49.401808892941,-39.55768967494967,1.0,,0.4773856262211302,0.4768905697964172,1,-32.4455708226846
scan,0.4216965034285822,unplaced,0.47642050896080135,-0.013701988822164102,-0.013701988822103975,32.89715011632755,-26.295154690733323,1.0,,0.47642050896080135,0.4773856262211287,-1,-1.8632163911080186
scan,0.5623413251903491,unplaced,0.4754771495122896,-0.05270599895204857,-0.05270599895203782,21.390782680198438,-17.028534546450576,1.0,,0.4754771495122896,0.4773856262211217,-1,-1.2781399509450457
scan,0.7498942093324559,unplaced,0.4735220350212455,-0.10243049623885173,-0.10243049623885173,13.334943079358418,-10.51033550027969,1.0,,0.4735220350212455,0.5341288988527855,-1,-0.9895707232775536
scan,1.0,unplaced,0.4691723926455876,-0.17641625307360734,-0.17641625307360734,7.557388471434763,-5.786874570597739,1.0,,0.4691723926455876,,-1,-0.7534614061938841
scan,1.333521432163324,unplaced,0.45857042658149894,-0.22528132685252833,-0.22528132685252833,4.018730888687694,-2.8973984741912036,1.0,,0.45857042658149894,,-1,-0.6472748046409894
scan,1.7782794100389228,unplaced,0.4411442150361055,-0.14414978643919005,-0.14414978643919005,3.035724908984336,-2.235338823159715,1.0,,0.4411442150361055,0.5413512397365239,-1,-0.8411859966913133
scan,2.371373705661655,unplaced,0.4195646353531581,-0.06405951056266077,-0.06405951056266077,2.598180050494413,-2.0233817100201392,1.0,,0.4195646353531581,,-1,-1.1934163838231133
scan,3.1622776601683795,unplaced,0.39389656103912624,-0.0029351837641908365,-0.0029351837641908365,2.3292423027233067,-1.9304236270304134,1.0,,0.39389656103912624,0.6429532555589945,-1,-2.5323647035217363
scan,4.216965034285822,placed,0.36350798389433164,0.04088484199311521,0.04088484199311521,2.142263024016725,-1.8831694194624833,1.0,0.36350798389433164,0.6012137401066834,,1,-1.3884376763183996
scan,5.623413251903491,placed,0.3278012300516565,0.047458897760242806,0.047458897760242806,2.003254063559611,-1.8540581139778898,1.0,0.3278012300516565,0.5804018797039906,,1,-1.323682352553638
scan,7.498942093324558,placed,0.2866449232479061,0.04861473097196063,0.04861473097196063,1.894937094252517,-1.829649285554484,1.0,0.2866449232479061,0.5588158161204465,,1,-1.3132321132385771
scan,10.0,placed,0.2407918892680572,0.04955703444448442,0.04955703444448442,1.8073198682825533,-1.8026509994351827,1.0,0.2407918892680572,0.5386244620834342,,1,-1.3048946902485756
scan,13.33521432163324,placed,0.19222618458051927,0.05046599288444631,0.05046599288444631,-1.734197230600401,-1.7697609050072023,1.0,0.19222618458051927,0.5219872381908148,,1,-1.2970011778750348
scan,17.78279410038923,placed,0.14417374927063964,0.05136972046737176,0.05136972046737176,1.6712333925878422,-1.7314717823321872,1.0,0.14417374927063964,0.5098672749434443,,1,-1.2892927975189612
scan,23.71373705661655,placed,0.1004745064041324,0.05218697350193367,0.05218697350193367,1.6159059860067666,-1.6915131213513557,1.0,0.1004745064041324,0.5016600087927677,,1,-1.2824378886115249
scan,31.622776601683793,placed,0.0643840930519903,0.052827114093669705,0.052827114093669705,1.569472362834744,-1.6548201349047957,1.0,0.0643840930519903,0.49609435621525977,,1,-1.2771431138526828
scan,42.169650342858226,placed,0.03749749161725268,0.05327803266996757,0.05327803266996757,1.5361470907340593,-1.6254982833064486,1.0,0.03749749161725268,0.49214913750490114,0.5230793245372801,1,-1.2734518201806915
scan,56.23413251903491,placed,0.019522915773423445,0.05359729423676482,0.05359729423676482,1.5185322267879426,-1.605389005002322,1.0,0.019522915773423445,0.48922968190954536,,1,-1.2708571343315436
scan,74.98942093324558,placed,0.008857978871218298,0.05384262212136254,0.05384262212136254,1.5138686733768894,-1.5932825497561403,1.0,0.008857978871218298,0.48700353781757444,,1,-1.268873798243418
scan,100.0,placed,0.0033727829682123804,0.05403865804667851,0.05403865804667851,1.5156340028934177,-1.5860442467367954,1.0,0.0033727829682123804,0.4852692215386025,,1,-1.2672954444419913
scan,133.3521432163324,placed,0.0010214341236688949,0.054194425799940174,0.054194425799940174,1.5185390635792286,-1.5809871315220554,1.0,0.0010214341236688949,0.4838956354396469,,1,-1.2660453807830416
scan,177.82794100389228,placed,0.00022850310356437058,0.0543172476344697,0.0543172476344697,1.5206142596277785,-1.5769056546738227,1.0,0.00022850310356437058,0.4827934651859448,,1,-1.2650622447556576
scan,237.13737056616552,placed,3.418446453753837e-05,0.054413785238616924,0.054413785238616924,1.5218577679452774,-1.5735227705174748,1.0,3.418446453753837e-05,0.4818997885196886,,1,-1.2642910617973795
scan,316.22776601683796,placed,2.993306849359192e-06,0.054489459438004914,0.054489459438004914,1.522625115375245,-1.5707770436673547,1.0,2.993306849359192e-06,0.48116906683079874,0.5813833414611121,1,-1.26368750048745
scan,421.6965034285823,placed,1.2831435883607464e-07,0.05454857563100374,0.05454857563100374,1.5231389463144729,-1.568593203626774,1.0,1.2831435883607464e-07,0.4805675414515477,,1,-1.263216585197941
scan,562.341325190349,placed,2.1205072269054417e-09,0.054594664196286766,0.054594664196286766,1.523514676743461,-1.5668793603358413,1.0,2.1205072269054417e-09,0.6931471805599453,,1,-1.2628498009462974
scan,749.8942093324558,placed,9.821135627145416e-12,0.05463067552642609,0.05463067552642609,-1.5239859376029077,-1.5656226595439233,1.0,9.821135627145416e-12,0.6931471805599453,,1,-1.2625634292568728
scan,1000.0,placed,6.581480722513764e-14,0.050640155818026555,0.050640155818026555,-1.9049892994896425,-1.7592683194346612,1.0,6.581480722513764e-14,0.6931471805599453,,1,-1.2955049666793859
bisect,3.651741272548377,placed,0.3793358088772132,0.02092656993978649,0.02092656993978649,2.2282163854672787,-1.903304740258206,1.0,0.3793358088772132,0.6108497270192788,,1,-1.679301950748793
bisect,3.3982083289425598,placed,0.3867694257174368,0.009511022853680287,0.009511022853680287,2.276590396907229,-1.915785526581483,1.0,0.3867694257174368,0.6154242509888707,,1,-2.0217727747742904
bisect,3.2781211513934587,placed,0.3903706151949475,0.003420201478592552,0.003420201478592552,2.302344280624637,-1.9228045284093178,1.0,0.3903706151949475,0.6176468085471276,,1,-2.4659483095977635
bisect,3.2196784442513793,placed,0.39214290568657956,0.00027600804477573293,0.00027600804477573293,2.315645193938708,-1.9265349127599223,1.0,0.39214290568657956,0.6187415686415699,0.5267919871692263,1,-3.559078259417413
bisect,3.1908489806291085,unplaced,0.39302205168674803,-0.0013211597929120786,-0.0013211597929120786,2.3224060602065504,-1.9284589349422419,1.0,,0.39302205168674803,0.5066356767860789,-1,-2.8790446517397217
