act,seed,placed_at_init,crossed,step,s_cross,gap_at_cross,growth,relax,chi,branch_converged,sqrt_v_w1,sqrt_v_b1,sqrt_v_b2,w1,b1,w2,b2,sens_crossed,sens_step,sens_s_cross,sens_chi,w2_final,s_branch,note,r_b,pred
gelu,850000,False,True,1310.0,7.141012097580907,3.339402208611328e-05,0.0009428069658363,0.1005329246870563,0.009378091493619,True,0.0238733845341799,0.0061822732817917,0.0056701230824671,-1.1770408042666896,-0.982833282423608,7.141012097580907,-0.1669428672045002,True,1310.0,7.141012097580907,0.009378091493619,7.141012097580907,7.138835012899058,,0.0003049635798999528,0.0013812076408882851
gelu,850002,False,True,636.0,6.206695495235855,2.5885495944417275e-05,0.001295646621447,0.059028628335702,0.0219494617777418,True,0.0436963074061866,0.0024849684660023,0.0015530800835622,1.1988394303915804,-0.9964933257368984,6.206695495235855,-0.0868747312811042,True,636.0,6.206695495235855,0.0219494617777418,6.206695495235855,6.202609850038337,,0.0006586977572822228,0.003232722173955153
gelu,850003,False,True,919.0,6.080944943298312,7.745715164856129e-05,0.0011486106129572,0.0726023433021091,0.0158205721842574,True,0.0101055130307706,0.0037524575804107,0.0200711236948648,1.211911655228974,-1.0049257251689143,6.080944943298312,-0.1172594574366263,True,919.0,6.080944943298312,0.0158205721842574,6.080944943298312,6.060622547035476,,0.0033531862618265684,0.0023300577947004556
gelu,850005,False,True,1227.0,7.85717940079349,2.2934593976280115e-05,0.000844451599897,0.1523713649851971,0.0055420623158368,True,0.0169854306739823,0.005847325074518,0.0031059056352946,1.156306817236722,-0.9700690411780452,7.85717940079349,-0.1314014607381387,True,1227.0,7.85717940079349,0.0055420623158368,7.85717940079349,7.852573186917476,,0.0005865865578544849,0.0008162363122732612
gelu,850006,False,True,861.0,6.194404170396992,4.316319352298814e-05,0.0011344600914154,0.0799243694191307,0.0141941700592746,True,0.0235772989566587,0.0069845829094812,0.0087096663702595,-1.2386484844081758,-1.022194381376574,6.194404170396992,-0.1525655729547302,True,861.0,6.194404170396992,0.0141941700592746,6.194404170396992,6.189305809786774,,0.0008237370663051191,0.0020905208863954265
gelu,850007,False,True,776.0,6.008417349474361,4.953433868899043e-05,0.0012968327210576,0.0438188363342967,0.0295953254249854,True,0.005217309270665,0.0249218155232084,0.0353701761738982,-1.2057502546134138,-1.0009321302153575,6.008417349474361,-0.0821975732190258,True,776.0,6.008417349474361,0.0295953254249854,6.008417349474361,5.9788391694620415,,0.004947144282354321,0.004358806868047589
gelu,850010,False,True,1835.0,7.792590879389735,5.150702197410581e-05,0.0007077014544464,0.2690114000817828,0.0026307489356632,True,0.0108864732687599,0.0010441212413676,0.0001869421982217,-1.1639263640711242,-0.9747775501295902,7.792590879389735,-0.2049272725351396,True,1835.0,7.792590879389735,0.0026307489356632,7.792590879389735,7.788403027662865,,0.0005377035204772174,0.00038745735565377045
gelu,850011,False,True,970.0,5.73289435413654,7.174171684118727e-05,0.0011490255684144,0.1459221563946122,0.0078742364888521,True,0.0143430209773602,0.0004147482891353,0.0045292122507338,1.2266501440946196,-1.0144227325639903,5.73289435413654,-0.1342301626394089,True,970.0,5.73289435413654,0.0078742364888521,5.73289435413654,5.724253373541116,,0.0015095384553318603,0.0011597195028395738
gelu,850013,False,True,805.0,7.426232094577681,4.368211518101031e-05,0.0010352648463285,0.0541857158810631,0.0191058626705417,True,0.0444964260807024,0.0121168661204988,0.0073689671228357,1.1815056091859213,-0.9856314630297842,7.426232094577681,-0.2209164807251044,True,805.0,7.426232094577681,0.0191058626705417,7.426232094577681,7.415650711017628,,0.001426898861934367,0.0028139161922519154
gelu,850016,False,True,997.0,7.780811934244234,4.65414925089544e-05,0.0009351015662758,0.0441484227121717,0.0211808601265853,True,0.0176388987801271,0.0030506241919156,0.0316438348827921,1.1125468226041213,-0.9441020013329552,7.780811934244234,0.0251937262037927,True,997.0,7.780811934244234,0.0211808601265853,7.780811934244234,7.750933407459385,,0.003854829504288393,0.0031195223321644175
gelu,850018,False,True,851.0,6.19265300548342,2.8328548281136845e-05,0.0011353998735985,0.0966717348725594,0.0117449001519973,True,0.0221389019683391,0.0048589306268888,0.0037136743156121,1.2111202075040322,-1.004322691988772,6.19265300548342,-0.1926143757861491,True,851.0,6.19265300548342,0.0117449001519973,6.19265300548342,6.191422714618378,,0.00019870891098050514,0.0017297918070479962
gelu,850019,False,True,803.0,6.215475660508237,3.852702823931714e-05,0.0012021642882094,0.1073499361177001,0.0111985561583509,True,0.0232103799636851,0.0013860295477947,0.0036252563087359,-1.1966489278846697,-0.9951313382124576,6.215475660508237,-0.0919881473714187,True,803.0,6.215475660508237,0.0111985561583509,6.215475660508237,6.209525359254877,,0.0009582537970460603,0.0016493261281738587
gelu,850020,False,True,921.0,6.186143322646728,7.931792490710465e-05,0.0011177722314159,0.0903900781097636,0.0123660943190974,True,0.0174766740292316,0.0049405252809245,0.0134081712085892,-1.213567086305203,-1.0059913355979524,6.186143322646728,-0.1133002951618333,True,921.0,6.186143322646728,0.0123660943190974,6.186143322646728,6.170936601313746,,0.0024642485112786883,0.0018212814380307702
gelu,850022,False,True,921.0,5.436482900260205,2.6805960309100874e-08,0.0012578128605711,0.0664518942177082,0.0189281716552773,True,0.0099655856743455,0.0093727296983665,0.0201973948501277,1.3128873550110154,-1.07215248886813,5.436482900260205,-0.2336062314392757,True,921.0,5.436482900260205,0.0189281716552773,5.436482900260205,5.430422270366818,,0.001116051310863897,0.002787745815457513
gelu,850024,False,True,899.0,6.8388084692249045,8.936011388330223e-05,0.0011239255636955,0.093574315646863,0.0120110476462055,True,0.0116107837340479,0.030510898606032,0.0064210334110967,1.165564732605975,-0.9758564260180288,6.8388084692249045,-0.0853900307390565,True,899.0,6.8388084692249045,0.0120110476462055,6.8388084692249045,6.8245185151267655,,0.002093913888058907,0.001768990075997895
gelu,850025,False,True,715.0,6.939001918447785,2.599443120661696e-05,0.001226095148355,0.0958573847426104,0.0127908262013117,True,0.0194907892867409,0.0248203189722717,0.0006592499080766,1.1620239956879337,-0.9735628289656552,6.939001918447785,-0.0477228810731984,True,715.0,6.939001918447785,0.0127908262013117,6.939001918447785,6.933210240515974,,0.0008353529939082449,0.0018838360549741447
gelu,850030,False,True,890.0,6.7357390001682305,6.629344739891158e-05,0.0010909016320736,0.045672637590132,0.0238852339088331,True,0.0155379209857652,0.0088434480223773,0.0305772605059889,1.1755287039095712,-0.9819592244438718,6.7357390001682305,-0.1048587995266438,True,890.0,6.7357390001682305,0.0238852339088331,6.7357390001682305,6.706843650093353,,0.004308338106923992,0.00351782317348167
gelu,850032,False,True,10.0,0.8358255270741658,0.0020576965663505,0.012639384401092,4.626658090429591e-06,2731.8604820263363,True,0.0176772305646065,0.0060435783979992,0.1688639588441392,0.2141320106447596,-0.7971365717872901,0.8358255270741658,0.7736336483709947,True,10.0,0.8358255270741658,2731.8604820263363,0.8358255270741658,8.208179332227374,,-0.8981716293901493,402.3490892771647
gelu,850033,False,True,893.0,6.419103434139763,6.372850391220264e-06,0.0011401962455214,0.0864193871032744,0.0131937552873282,True,0.0089637732747128,0.0148606369407813,0.0153539755191385,1.2125751947462708,-1.0052125226888051,6.419103434139763,-0.1308841364070829,True,893.0,6.419103434139763,0.0131937552873282,6.419103434139763,6.406434872766296,,0.001977474465138407,0.0019431795506865497
gelu,850038,False,True,1234.0,6.617275900021456,5.081310686081558e-06,0.0009161795363841,0.1092771535301257,0.0083839989127425,True,0.0144027699115894,0.0037647647186506,0.0103808515508621,-1.2039039914174257,-0.9996692426413972,6.617275900021456,-0.1503279968179242,True,1234.0,6.617275900021456,0.0083839989127425,6.617275900021456,6.60808142456589,,0.001391398632193619,0.0012347974390480472
gelu,850039,False,True,1404.0,7.231640314845175,5.395715216582886e-05,0.0008648117670723,0.1951076630498719,0.0044324848832375,True,0.0087019167141934,0.0026161336534875,0.0061920776106065,1.1585033232363828,-0.9714671046158652,7.231640314845175,-0.050762300671567,True,1404.0,7.231640314845175,0.0044324848832375,7.231640314845175,7.222377865381855,,0.0012824653647265372,0.0006528174728317678
gelu,850042,False,True,1716.0,9.632326429597876,1.0193403077906477e-05,0.0006499710596897,0.2155807385384445,0.0030149774237547,True,0.0118965591222793,0.0020524740309614,0.0042019111775327,-1.0971156603637036,-0.9351559010112072,9.632326429597876,0.0611076260031839,True,1716.0,9.632326429597876,0.0030149774237547,9.632326429597876,9.623563622869778,,0.0009105573643504172,0.0004440466226661502
gelu,850043,False,True,1226.0,6.555907360827854,8.452916371088498e-05,0.0009461890903617,0.3672014739632667,0.0025767573320154,True,0.0071468187379982,0.0012007312172294,0.0010446407405338,-1.1858781679090409,-0.9884432676816536,6.555907360827854,-0.0017487750655823,True,1226.0,6.555907360827854,0.0025767573320154,6.555907360827854,6.547790504088694,,0.0012396329317638788,0.00037950545887894215
gelu,850045,False,True,979.0,6.438593034255706,6.218439259953953e-05,0.0011014769983901,0.0402609142293401,0.0273584696094027,True,0.0115542847545937,0.0025343056025339,0.0347924172976949,1.2572081223204452,-1.0344883593426046,6.438593034255706,-0.1685883825372581,True,979.0,6.438593034255706,0.0273584696094027,6.438593034255706,6.402480088278964,,0.005640462052018513,0.004029362188802307
gelu,850049,False,True,1061.0,7.323950852310015,2.5380044419660852e-05,0.0009399318653802,0.1436900687923469,0.0065413836410546,True,0.0188311859548736,0.0031781622832993,0.0056186409273427,1.14777857106681,-0.9649086840282516,7.323950852310015,-0.0403084222064944,True,1061.0,7.323950852310015,0.0065413836410546,7.323950852310015,7.315446325639777,,0.0011625437863485022,0.0009634166048767818
gelu,850050,False,True,1061.0,6.617595479618542,1.756300385280518e-05,0.0009921953902576,0.146865608009885,0.0067558048729206,True,0.0137204572524898,0.0040723137397878,0.0061971453715137,1.1900194943551905,-0.990910752697497,6.617595479618542,-0.1590797314500536,True,1061.0,6.617595479618542,0.0067558048729206,6.617595479618542,6.611660081329174,,0.0008977167937185282,0.0009949966170811318
gelu,850051,False,True,1467.0,7.43687846965574,7.999575046109542e-06,0.000787412819494,0.2452597494188655,0.0032105260702572,True,0.0125008211469178,0.0016647426387802,0.0018795329405344,-1.126067129367288,-0.9519326166093552,7.43687846965574,-0.0366318952467762,True,1467.0,7.43687846965574,0.0032105260702572,7.43687846965574,7.4323870199208,,0.0006043078385047362,0.00047284707581788055
gelu,850052,False,True,956.0,5.624905420579989,2.520725248292971e-05,0.0012102896631143,0.1464259473405633,0.00826554094473,True,0.0120775582581543,0.0015497887529015,0.0068479474962476,1.226898097536812,-1.0144928694711606,5.624905420579989,-0.1699383465485091,True,956.0,5.624905420579989,0.00826554094473,5.624905420579989,5.619891276069028,,0.0008922137928739637,0.0012173509201423307
gelu,850058,False,True,905.0,7.610292032867768,7.275795107418784e-05,0.0010026298013407,0.0976547765075788,0.0102670840812678,True,0.0217344987622254,0.0160632652503212,0.0081374495019591,1.167092073576948,-0.9767625404657236,7.610292032867768,-0.0692474409488617,True,905.0,7.610292032867768,0.0102670840812678,7.610292032867768,7.593544652542754,,0.0022054759787850653,0.0015121386896618063
gelu,850059,False,True,1074.0,7.209112027994676,2.2280269993738697e-05,0.0009367282413802,0.0599411493845054,0.0156274654556814,True,0.0128003977908914,0.0021008834844118,0.0224979736639876,-1.1665820472107211,-0.9763506356692072,7.209112027994676,-0.090111522150661,True,1074.0,7.209112027994676,0.0156274654556814,7.209112027994676,7.1839412971864824,,0.0035037495111565065,0.0023016169878265205
gelu,850060,False,True,788.0,6.267589326738015,1.4161658449106385e-05,0.0011849524196348,0.0798400984782027,0.0148415701160283,True,0.0279907667093404,0.0023772804603845,0.0100749252318431,1.199137843991095,-0.9966595796207112,6.267589326738015,-0.1317162855916042,True,788.0,6.267589326738015,0.0148415701160283,6.267589326738015,6.256363593779449,,0.00179429037176293,0.0021858701273052795
gelu,850061,False,True,770.0,6.4679455314039,9.196130206771956e-05,0.0011952827622466,0.031935206113384,0.037428371622306,True,0.0058978333404681,0.0195332790859385,0.0454700976500619,1.1787551859585372,-0.9840127782182608,6.4679455314039,-0.138600471422135,True,770.0,6.4679455314039,0.037428371622306,6.4679455314039,6.422363174788693,,0.007097443008851068,0.005512459854535469
gelu,850062,False,True,1361.0,6.493039625866835,7.106626511228786e-05,0.0008705216461709,0.0682119179920057,0.0127620168410004,True,0.0118236331289497,0.0040593740384057,0.0199758838986131,-1.1623256553957924,-0.973835240609218,6.493039625866835,-0.1552842113695537,True,1361.0,6.493039625866835,0.0127620168410004,6.493039625866835,6.476876379947585,,0.002495531020059616,0.001879593005242955
gelu,850067,False,True,1941.0,8.606909880812239,1.94475921592302e-06,0.0006248624648185,0.157700893215993,0.0039623267318004,True,0.0153372488153767,0.0031306322171733,0.0059250521602232,-1.1402267353654263,-0.960327333566553,8.606909880812239,-0.0309545039976208,True,1941.0,8.606909880812239,0.0039623267318004,8.606909880812239,8.599720820648727,,0.0008359643659885396,0.0005835724636918285
