act,seed,placed_at_init,crossed,step,s_cross,gap_at_cross,growth,relax,chi,branch_converged,sqrt_v_w1,sqrt_v_b1,sqrt_v_b2,w1,b1,w2,b2,sens_crossed,sens_step,sens_s_cross,sens_chi,w2_final
mish,850000,False,True,577,3.3507697542937738,0.00010395215932024887,0.0024999225061915686,0.008591530118189231,0.2909752362852052,True,0.046763181080819866,0.009217934789700776,0.008597836448168517,-2.3368209712304497,-1.9408180407762368,3.3507697542937738,-0.27636801793714755,True,577,3.3507697542937738,0.2909752362852052,3.3507697542937738
mish,850001,False,False,,,,,,,,,,,,,,,False,,,,0.07006942215610353
mish,850002,False,True,195,3.271455414571897,0.0006473531327848003,0.004028748924040045,0.004656389967362099,0.8652086599873808,True,0.10229095225524212,0.000631915263458502,0.0010626425234516372,1.8819874136777381,-1.6471127430235455,3.271455414571897,-0.011206895292043436,True,195,3.271455414571897,0.8652086599873808,3.271455414571897
mish,850003,False,True,358,2.980258350091177,0.00011295285578593467,0.0020606495445931847,0.01293451999692577,0.1593139556073942,True,0.031018113009952986,0.0008237151417560226,0.027873890016296324,2.4598401055252386,-2.0268392055771094,2.980258350091177,-0.20586265949777438,True,358,2.980258350091177,0.1593139556073942,2.980258350091177
mish,850004,False,True,478,3.7755657791274118,0.00011759057360698905,0.0018677808818183786,0.017770351010278823,0.10510658347367514,True,0.030011083982956682,0.006867361343177647,0.007078988034880393,2.2371166960111832,-1.8728448702692033,3.7755657791274118,-0.1633822010566521,True,478,3.7755657791274118,0.10510658347367514,3.7755657791274118
mish,850005,False,True,411,3.8305821111455094,7.988863123967876e-05,0.0019701508043460966,0.010171025170286287,0.19370228382697455,True,0.0375463828914901,0.0241188881795331,0.0062520820437963745,2.2649527375006713,-1.89159790215469,3.8305821111455094,-0.22893027658073187,True,411,3.8305821111455094,0.19370228382697455,3.8305821111455094
mish,850006,False,True,281,3.160643513340674,0.00016448277615440515,0.0026519948690173494,0.005876267692479163,0.4513060003055253,True,0.060288962967074866,0.016132253890594465,0.020033145066975948,-2.2472635871063074,-1.8797692215833983,3.160643513340674,-0.17659503691151146,True,281,3.160643513340674,0.4513060003055253,3.160643513340674
mish,850007,False,True,386,3.233286117998405,0.0005858482712351454,0.0030138803448109945,0.010595945240050931,0.28443713859703823,True,0.009990976120742753,0.04824374690767837,0.05231656425083727,-2.2518016078810015,-1.883557833391386,3.233286117998405,-0.11363534173997566,True,386,3.233286117998405,0.28443713859703823,3.233286117998405
mish,850008,False,False,,,,,,,,,,,,,,,False,,,,0.20177685117187716
mish,850009,False,False,,,,,,,,,,,,,,,False,,,,0.04870951575376941
