phase,s,status,loss,G_lo,G_hi,w1,b1,sigma,best_placed_loss,best_unplaced_loss,best_undecided_loss,posthoc_mp_sign_G,posthoc_mp_log10_absG
scan,0.1,undecided,0.4773508043490843,-2.913500225775254e-14,1.2362284100907041e-154,224.92041230962275,-180.33657113617193,1.0,,0.6931471805599453,0.4773508043490843,1,-153.9079012799936
scan,0.1333521432163324,undecided,0.4773203294605557,-1.0864213257890551e-13,4.868427312820754e-107,156.27686187212873,-125.29507085971645,1.0,,0.6931471805599453,0.4773203294605557,1,-106.312611309765
scan,0.1778279410038923,undecided,0.47726184641920893,-2.4689088334524595e-14,1.5304038613975298e-73,107.89998260272174,-86.49541804074434,1.0,,0.6931471805599453,0.47726184641920893,1,-72.81519394720088
scan,0.23713737056616552,undecided,0.47714892015939364,-8.68333985479364e-14,4.926088880320833e-50,73.88168902538412,-59.20264948610906,1.0,,0.6931471805599453,0.47714892015939364,1,-49.307497756547946
scan,0.31622776601683794,undecided,0.47692904324567104,-1.8263942844448427e-14,1.3272932616980126e-33,50.03383021196579,-40.058193963605774,1.0,,0.6931471805599453,0.47692904324567104,1,-32.87703311039402
scan,0.4216965034285822,unplaced,0.47649589978097145,-0.01564012924578817,-0.015640129245759273,33.36661323613659,-26.6624847914743,1.0,,0.47649589978097145,,-1,-1.8057596623702787
scan,0.5623413251903491,unplaced,0.47562731001424124,-0.05060886571387799,-0.05060886571379468,21.73877211204072,-17.294458206320577,1.0,,0.47562731001424124,0.4773856262211234,-1,-1.2957733963359472
scan,0.7498942093324559,unplaced,0.47383518700673266,-0.09549830278353685,-0.09549830278353685,13.642262256591824,-10.738194123804156,1.0,,0.47383518700673266,0.5758702437815137,-1,-1.0200043467229993
scan,1.0,unplaced,0.46998318748041357,-0.15962816763800158,-0.15962816763800158,8.058528252192472,-6.1665826849085175,1.0,,0.46998318748041357,,-1,-0.7968904715668672
scan,1.333521432163324,unplaced,0.46132673581766326,-0.2183587377713302,-0.2183587377713302,4.520308282937359,-3.2491348030738507,1.0,,0.46132673581766326,,-1,-0.6608294248099791
scan,1.7782794100389228,unplaced,0.44631678752679105,-0.15927865062152483,-0.15927865062152483,3.31637080839185,-2.3905735926093,1.0,,0.44631678752679105,,-1,-0.7978424322254243
scan,2.371373705661655,unplaced,0.4267999558335148,-0.08415582453792134,-0.08415582453792134,2.805218019768913,-2.1276396046158217,1.0,,0.4267999558335148,,-1,-1.0749158205421132
scan,3.1622776601683795,unplaced,0.4029702166272861,-0.023672920534111783,-0.023672920534111783,2.4967592137712757,-2.0165056201793354,1.0,,0.4029702166272861,0.5857476300664356,-1,-1.6257481597470438
scan,4.216965034285822,placed,0.3743039021185639,0.021095679111580605,0.021095679111580605,2.2833269716452347,-1.9626350411926443,1.0,0.3743039021185639,0.6072738680095398,,1,-1.675806489259832
scan,5.623413251903491,placed,0.3402290769377531,0.04349823569114142,0.04349823569114142,2.1249038334668193,-1.9324039060010518,1.0,0.3402290769377531,0.5869439414477563,,1,-1.3615283578761848
scan,7.498942093324558,placed,0.30050810928333,0.04475498908744865,0.04475498908744865,-2.0016886057930603,-1.9099520286818996,1.0,0.30050810928333,0.5652420126869865,,1,-1.349158544429068
scan,10.0,placed,0.25564039419272305,0.04569606000994407,0.04569606000994407,1.9022222970594864,-1.886603766792938,1.0,0.25564039419272305,0.5441546039271282,,1,-1.3401212439062011
scan,13.33521432163324,placed,0.20726247901687078,0.04654580691209413,0.04654580691209413,1.819466926089173,-1.8577733896344832,1.0,0.20726247901687078,0.5260179121767699,,1,-1.332119436421872
scan,17.78279410038923,placed,0.15831185720433466,0.04738526382042925,0.04738526382042925,1.7491231976934498,-1.8224376098800779,1.0,0.15831185720433466,0.512352311900296,,1,-1.3243566970706633
scan,23.71373705661655,placed,0.11261321258842864,0.048180130041462876,0.048180130041462876,1.6886688858205037,-1.7831774582409687,1.0,0.11261321258842864,0.5030314415704984,0.5255577478840658,1,-1.3171320321456141
scan,31.622776601683793,placed,0.0737950345724291,0.04884333673768196,0.04884333673768196,1.6378656807827554,-1.7449339386208869,1.0,0.0737950345724291,0.49683704171499954,,1,-1.3111946748405232
scan,42.169650342858226,placed,0.04405570058366614,0.049330418426181744,0.049330418426181744,-1.599560035056329,-1.7125749079686217,1.0,0.04405570058366614,0.4925671614987961,,1,-1.3068852007873792
scan,56.23413251903491,placed,0.02361481328618612,0.04967433134337561,0.04967433134337561,1.5769943257863135,-1.6890074063054907,1.0,0.02361481328618612,0.48947451869902125,,1,-1.30386797013333
scan,74.98942093324558,placed,0.01111270869479847,0.049933427428043436,0.049933427428043436,1.569193142115943,-1.6741216554603218,1.0,0.01111270869479847,0.487150773466807,,1,-1.3016086229695345
scan,100.0,placed,0.004437214061765739,0.050139841139292984,0.050139841139292984,1.5701757618436647,-1.6652211279425655,1.0,0.004437214061765739,0.4853594960629475,,1,-1.2998170463737677
scan,133.3521432163324,placed,0.001431329282231542,0.05030442829635666,0.05030442829635666,1.573581174312518,-1.6592744579739993,1.0,0.001431329282231542,0.4839519320725272,,1,-1.2983937823392906
scan,177.82794100389228,placed,0.0003483767319458915,0.050434423205541604,0.050434423205541604,-1.5763305104821153,-1.6546096687748824,1.0,0.0003483767319458915,0.4828291601444711,0.5747597995761905,1,-1.297272941626314
scan,237.13737056616552,placed,5.833221198750278e-05,0.05053666864420073,0.05053666864420073,1.578042278946656,-1.6507469479018078,1.0,5.833221198750278e-05,0.48192279275123917,,1,-1.296393389980918
scan,316.22776601683796,placed,5.9369312935965685e-06,0.05061685896245191,0.05061685896245191,1.5791021238902596,-1.6475953574494158,1.0,5.9369312935965685e-06,0.48118409779068133,0.5461043564851039,1,-1.295704808557447
scan,421.6965034285823,placed,3.1113947504875534e-07,0.0506795083597405,0.0506795083597405,1.5798061947006983,-1.6450794286237351,1.0,3.1113947504875534e-07,0.48057744719218365,,1,-1.2951676068447806
scan,562.341325190349,placed,6.724617250949665e-09,0.050728288475337294,0.050728288475337294,1.580309985962136,-1.6431011953919306,1.0,6.724617250949665e-09,0.48007615999105097,,1,-1.2947497901220935
scan,749.8942093324558,placed,4.456400797121766e-11,0.05076627017859946,0.05076627017859946,1.5807148773571569,-1.64156661520877,1.0,4.456400797121766e-11,0.6931471805599453,,1,-1.294424743240195
scan,1000.0,placed,1.0541259812176099e-13,0.04973162606627424,0.04973162606627424,-1.7776936057641268,-1.7326384609820416,1.0,1.0541259812176099e-13,0.6931471805599453,,1,-1.3033673404849502
bisect,3.651741272548377,placed,0.389280873771072,0.0005350395631871785,0.0005350395631871785,2.3813867259864,-1.9851531888953957,1.0,0.389280873771072,0.6165345382714179,0.5401553038476898,1,-3.271614103140265
bisect,3.3982083289425598,unplaced,0.3962816568363985,-0.011091579405332279,-0.011091579405332279,2.436610812509874,-1.9994759436212681,1.0,,0.3962816568363985,,-1,-1.9550066073060886
bisect,3.5226946514731017,unplaced,0.3928209172459768,-0.005161515856032604,-0.005161515856032604,2.4084250403498144,-1.9920113785629547,1.0,,0.3928209172459768,,-1,-2.2872227341808142
bisect,3.586637624484769,unplaced,0.3910608853683375,-0.0022843845368255844,-0.0022843845368255844,2.394767230712078,-1.9885104876368067,1.0,,0.3910608853683375,,-1,-2.6412307882700174
bisect,3.6190430562520115,unplaced,0.39017338654657335,-0.000867501475431541,-0.000867501475431541,2.3880428876055593,-1.9868143671202914,1.0,,0.39017338654657335,,-1,-3.0617297778958843
