act,runs,crossing,r_q10,r_q25,r_median,r_q75,r_q90,frac_abs_r_le_0.10,n_early_below_half_s_glob,median_step,chi_q25,chi_q75,spearman_r_chi,noncross_median_w2_final
gelu,200,132,-0.9440425568481122,-0.10955339500643785,-0.018277605419234066,0.07873738748650971,0.17144272608154662,0.5227272727272727,18,957.0,0.0083976384852443,0.0219494617777418,-0.3509743086348097,0.161443684262397
silu,200,135,-0.12496169698919753,-0.04416989622284606,0.03525604884265299,0.1444334177505423,0.20173832191335397,0.5259259259259259,1,415.0,0.14363781172089907,0.34761265680228737,-0.2883896207295916,0.0710817029821942
mish,200,135,-0.10073035518154795,-0.021605498499890963,0.06576211997682302,0.16210734130619064,0.2299897756793401,0.5037037037037037,1,368.0,0.1720934968343963,0.4208728574681382,-0.22627415786509855,0.1075787559163565
