s,status,loss,G_lo,G_hi,w1,b1,sigma,loss_ladder_small,status_ladder_small,ladder_ok,cma_loss,cma_q,independent_ok,audit_ok,audit_n_other_within_tie,audit_n_near_top,n_converged,validated,posthoc_mp_sign_G,posthoc_mp_log10_absG,act
0.05,unplaced,0.4773820939137366,-5.1230728582465214e-14,0.0,775.1178140468714,-620.8440589036726,1.0,0.4773820939137366,unplaced,True,0.4773820939137364,"[775.1236958288683, -620.8487639065951, 15.02325562475101]",True,True,0,28,755,True,1,-334391.49157610943,gelu
0.1,unplaced,0.477375517911983,-1.6760932510677655e-13,0.0,260.6151378123246,-208.93658667240612,1.0,0.477375517911983,unplaced,True,0.4773755179119829,"[-260.61530516792374, -208.936720954825, 54.91842273748356]",True,True,0,34,783,True,1,-37837.59293694334,gelu
0.05,unplaced,0.4773772119691352,-5.813119397921026e-14,0.0,534.6350330588014,-428.56409114270616,1.0,0.47737721196913513,unplaced,True,0.47737721196913496,"[534.6348216456037, -428.5639208916602, 541.8745481847853]",True,True,0,47,748,True,1,-368.9416438743267,silu
0.1,undecided,0.4773508043490841,-2.913500331449616e-14,1.2362243813504471e-154,224.92041434902393,-180.3365727726235,1.0,0.47735080434908417,undecided,True,0.47735080434908395,"[-224.9204411219552, -180.3365935061548, 179.8429280672532]",True,False,0,68,767,False,1,-153.90790269531664,silu
0.05,unplaced,0.4773763972334204,-1.2504130109183788e-13,0.0,531.5159770577206,-426.036512659967,1.0,0.4773763972334204,unplaced,True,0.4773763972334203,"[531.5156518829183, -426.0362541324732, 141.34408551812888]",True,True,0,66,746,True,1,-366.7628144763087,mish
0.1,undecided,0.4773478461403185,-6.198600473671751e-14,2.677707613416001e-153,222.995638197854,-178.79231216659647,1.0,0.4773478461403184,undecided,True,0.4773478461403182,"[-222.99559796556937, -178.79227964342053, 320.6485885524393]",True,False,0,66,770,False,1,-152.57223684659678,mish
