phase,s,status,loss,G_lo,G_hi,w1,b1,sigma,best_placed_loss,best_unplaced_loss,best_undecided_loss,posthoc_mp_sign_G,posthoc_mp_log10_absG
scan,0.1,unplaced,0.4773755179119831,-1.6760957341287046e-13,0.0,260.6152343350726,-208.93666404448868,1.0,,0.4773755179119831,,1,-37837.620962153655
scan,0.1333521432163324,unplaced,0.47736753595460457,-3.998075486301755e-14,0.0,182.13266450482664,-146.02918503526962,1.0,,0.47736753595460457,0.4773856262211241,1,-18481.69110754313
scan,0.1778279410038923,unplaced,0.47735230207296303,-1.5190103339824563e-13,0.0,-127.14089964971791,-101.94132512851104,1.0,,0.47735230207296303,0.477373158457328,1,-9006.574400779386
scan,0.23713737056616552,unplaced,0.4773232137307978,-3.546364328514616e-14,0.0,88.37734195642015,-70.85810395992459,1.0,,0.4773232137307978,,1,-4351.862016898267
scan,0.31622776601683794,unplaced,0.4772674523893873,-1.2924450333805905e-13,0.0,61.05456240801045,-48.94423849071683,1.0,,0.4772674523893873,,1,-2076.8633559610157
scan,0.4216965034285822,unplaced,0.4771599354423231,-2.849806475511044e-14,0.0,41.83781012882284,-33.52686354226562,1.0,,0.4771599354423231,,1,-975.0891085131469
scan,0.5623413251903491,unplaced,0.47695099590727635,-9.631649529116994e-14,0.0,28.363529629554858,-22.71050753998295,1.0,,0.47695099590727635,,1,-448.0007560054551
scan,0.7498942093324559,unplaced,0.4765405104776359,-0.007363505702200019,-0.007363505702190434,18.9448705783919,-15.141338543416422,1.0,,0.4765405104776359,0.547285070603419,-1,-2.1329153725330823
scan,1.0,unplaced,0.4757205284502211,-0.026307596439827375,-0.026307596439799477,12.372243342340369,-9.847219480461122,1.0,,0.4757205284502211,,-1,-1.579918828866628
scan,1.333521432163324,unplaced,0.47403450267996533,-0.05035272030765942,-0.0503527203075898,7.775476703694995,-6.126672226558372,1.0,,0.47403450267996533,,-1,-1.2979770617009943
scan,1.7782794100389228,unplaced,0.4704207069177715,-0.08454315475858962,-0.08454315475858097,-4.61502338349806,-3.5410488552221637,1.0,,0.4704207069177715,,-1,-1.0729215503480183
scan,2.371373705661655,unplaced,0.4621852345734044,-0.13776276374229218,-0.13776276374229218,2.3953444827014674,-1.6835873994194042,1.0,,0.4621852345734044,,-1,-0.8608681531582263
scan,3.1622776601683795,unplaced,0.44475490943885815,-0.10895282371917224,-0.10895282371917224,1.6103749305864026,-1.1044661739840085,1.0,,0.44475490943885815,0.4962152497829905,-1,-0.9627615097062658
scan,4.216965034285822,unplaced,0.42158726272681774,-0.057902333429899304,-0.057902333429899304,1.3833587274675392,-1.0171474415119912,1.0,,0.42158726272681774,,-1,-1.2373039341083278
scan,5.623413251903491,unplaced,0.3934193950936286,-0.018103210359748774,-0.018103210359748774,1.2470717252742618,-0.9932912855132503,1.0,,0.3934193950936286,,-1,-1.7422444020428842
scan,7.498942093324558,placed,0.35977976650060983,0.011100866570331446,0.011100866570331446,1.1507980544006613,-0.9887244402808084,1.0,0.35977976650060983,0.5938665694636047,,1,-1.954643117427459
scan,10.0,placed,0.32027885698918246,0.03178464011520632,0.03178464011520632,1.0779677519093112,-0.9900551751521834,1.0,0.32027885698918246,0.5713773274804133,,1,-1.497782701548763
scan,13.33521432163324,placed,0.2751027238246909,0.034274897278029064,0.034274897278029064,1.0205227176488463,-0.9914015054803286,1.0,0.2751027238246909,0.5481134124750724,,1,-1.465023838118377
scan,17.78279410038923,placed,0.22550044430444516,0.03468629248966392,0.03468629248966392,0.9736994687030384,-0.9897468461300976,1.0,0.22550044430444516,0.5265483033179656,,1,-1.4598421180688517
scan,23.71373705661655,placed,0.17415332467039385,0.035056971213138804,0.035056971213138804,0.9345805328374536,-0.9836981700010103,1.0,0.17415332467039385,0.5092090319273082,0.4962152497805958,1,-1.4552256079866943
scan,31.622776601683793,placed,0.12503362485333472,0.0354316228926186,0.0354316228926186,0.9017900453698073,-0.9732494877588712,1.0,0.12503362485333472,0.4972496696646236,,1,-1.4506089550005148
scan,42.169650342858226,placed,0.08240538375844608,0.03579599347362589,0.03579599347362589,0.8754451529852394,-0.9597788133698201,1.0,0.08240538375844608,0.4899003247989878,0.5341288922455876,1,-1.4461655797714634
scan,56.23413251903491,placed,0.04928151748314271,0.036121183475823736,0.036121183475823736,0.8566512867122957,-0.9457771974044046,1.0,0.04928151748314271,0.4855345660322519,,1,-1.4422380288845662
scan,74.98942093324558,placed,0.026394989289709438,0.03639507102638067,0.03639507102638067,0.8463444501014183,-0.9339110467671502,1.0,0.026394989289709438,0.48285382849753644,,1,-1.4389574287407774
scan,100.0,placed,0.012412750049649389,0.03662587680483239,0.03662587680483239,0.8440574639731447,-0.9256136631555918,1.0,0.012412750049649389,0.4811308399227685,,1,-1.4362119697247306
scan,133.3521432163324,placed,0.004965226265817424,0.036820819424501355,0.036820819424501355,0.847132842011679,-0.9204932449725419,1.0,0.004965226265817424,0.47998723753526407,,1,-1.4339065507700979
scan,177.82794100389228,placed,0.001611658943720226,0.03697903454445652,0.03697903454445652,0.8518100635195077,-0.9171948506018304,1.0,0.001611658943720226,0.4792117408164575,,1,-1.4320444316703147
scan,237.13737056616552,placed,0.0003972606361945942,0.0371033726600151,0.0371033726600151,0.8556300557361094,-0.9146441189921206,1.0,0.0003972606361945942,0.478677579360321,,1,-1.4305866116501627
scan,316.22776601683796,placed,6.790214768146416e-05,0.03720057666394123,0.03720057666394123,0.8581274336377965,-0.9124605378430769,1.0,6.790214768146416e-05,0.47830522208994014,,1,-1.429450327859326
scan,421.6965034285823,placed,7.121823547287835e-06,0.03727660253543622,0.03727660253543622,-0.85972057660328,-0.9106190865841435,1.0,7.121823547287835e-06,0.47804322536086546,,1,-1.4285636769873291
scan,562.341325190349,placed,3.8916681452226217e-07,0.0373358657404258,0.0373358657404258,0.8607919837577738,-0.9091215175730213,1.0,3.8916681452226217e-07,0.47785753347263354,,1,-1.4278737738407343
scan,749.8942093324558,placed,8.903787957471973e-09,0.03738183726048368,0.03738183726048368,0.8615485507287758,-0.9079328865001721,1.0,8.903787957471973e-09,0.4777251822085816,,1,-1.427339357518945
scan,1000.0,placed,6.371678350624076e-11,0.03741739554320121,0.03741739554320121,0.8621034126179568,-0.9070026127026452,1.0,6.371678350624076e-11,0.6931471805599453,,1,-1.4269264450717267
bisect,6.493816315762113,unplaced,0.3773158498482506,-0.002306950378635309,-0.002306950378635309,-1.1952819211078831,-0.9897116682803931,1.0,,0.3773158498482506,0.5205874983666573,-1,-2.6369617468385234
bisect,6.978305848598664,placed,0.36873013956428496,0.004678613883250669,0.004678613883250669,1.1722371338665745,-0.9889815303922836,1.0,0.36873013956428496,0.5991589893055996,,1,-2.329882794793482
bisect,6.731703824144983,placed,0.37306822618561314,0.001258328769016659,0.001258328769016659,1.1835466495619698,-0.9892779712208607,1.0,0.37306822618561314,0.6017430696214645,,1,-2.900205874061323
bisect,6.611690262414816,unplaced,0.3752032963424244,-0.0005059226469256335,-0.0005059226469256335,1.1893594205393334,-0.9894763656639872,1.0,,0.3752032963424244,,-1,-3.2959158795661345
bisect,6.671427180413496,placed,0.3741385822677512,0.00038076698026046074,0.00038076698026046074,1.1864395305908337,-0.9893727224134254,1.0,0.3741385822677512,0.602382339364505,0.5130300102082564,1,-3.4193407202467445
