act,seed,placed_at_init,crossed,step,s_cross,gap_at_cross,growth,relax,chi,branch_converged,sqrt_v_w1,sqrt_v_b1,sqrt_v_b2,w1,b1,w2,b2,sens_crossed,sens_step,sens_s_cross,sens_chi,w2_final
silu,850000,False,True,599,3.76729786974633,0.00019708688933209317,0.0021538295587577375,0.009575230246809363,0.22493762585765828,True,0.04206041806748829,0.008315141517223389,0.008007905351091936,-2.4524368250098814,-2.033086299528121,3.76729786974633,-0.2785257375567166,True,599,3.76729786974633,0.22493762585765828,3.76729786974633
silu,850001,False,False,,,,,,,,,,,,,,,False,,,,0.04085907932148862
silu,850002,False,True,225,3.602178546398619,0.0005063256081599549,0.003280641078116671,0.0051748750832914725,0.6339556076839682,True,0.08950304048619705,0.000774281271165038,0.0001464701710458263,2.060230802776689,-1.7770918196986658,3.602178546398619,-0.044862564430402936,True,225,3.602178546398619,0.6339556076839682,3.602178546398619
silu,850003,False,True,414,3.3508610787914277,0.0001668443506518194,0.0018394647478952536,0.013356882134195322,0.1377166264862059,True,0.030413967161038398,0.0004167913045391836,0.025404486602822532,2.5414578195936905,-2.0950511818430093,3.3508610787914277,-0.2001583383979658,True,414,3.3508610787914277,0.1377166264862059,3.3508610787914277
silu,850004,False,True,542,4.287924206811972,0.00017872420660726418,0.0016701780086576243,0.019557655414828106,0.08539766005854356,True,0.028295706326342786,0.005256643098236497,0.006371703460467797,2.291411527999984,-1.9240904628109377,4.287924206811972,-0.14519835750145843,True,542,4.287924206811972,0.08539766005854356,4.287924206811972
silu,850005,False,True,500,4.267700419032265,8.326609609883573e-05,0.0016016989817321256,0.011634479860750448,0.1376682929449682,True,0.03815280824429639,0.012055611484567942,0.004621948365218774,2.3861419850974355,-1.9874595613248942,4.267700419032265,-0.23531001099177123,True,500,4.267700419032265,0.1376682929449682,4.267700419032265
silu,850006,False,True,322,3.5131960684340773,0.00031500371744327266,0.002310691940826075,0.006256878032759571,0.36930429660412506,True,0.05634530020224381,0.013839359633488972,0.019123486445493887,-2.3866790239946334,-1.988297085806539,3.5131960684340773,-0.18835280696964687,True,322,3.5131960684340773,0.36930429660412506,3.5131960684340773
silu,850007,False,True,397,3.546068351204239,0.00018722619086109643,0.002828141982446851,0.011038549103239268,0.25620595206818725,True,0.012392513394286252,0.041147490261230366,0.05048448482945173,-2.3613329275506345,-1.9708715947502853,3.546068351204239,-0.12159144914455154,True,397,3.546068351204239,0.25620595206818725,3.546068351204239
silu,850008,False,False,,,,,,,,,,,,,,,False,,,,0.11516774009992242
silu,850009,False,False,,,,,,,,,,,,,,,False,,,,0.028733274118966857
silu,850010,False,True,798,4.26229655606801,2.1999530371186182e-05,0.0011653687654369048,0.018635411808628023,0.06253517643743992,True,0.025503396857243732,0.0028499520115754916,0.00019050677367875603,-2.3776885069926803,-1.9815982353375943,4.26229655606801,-0.29876693656416986,True,798,4.26229655606801,0.06253517643743992,4.26229655606801
silu,850011,False,True,381,3.167823235041887,0.0002511854483638505,0.0021062042061571417,0.01060850650183279,0.19853918228671122,True,0.034939535554375505,0.0013907933909165322,0.007631853853459754,2.5565160559630287,-2.105827444706528,3.167823235041887,-0.20512209981509455,True,381,3.167823235041887,0.19853918228671122,3.167823235041887
silu,850012,False,True,476,2.9740919707861764,0.0001705366822617252,0.00688267901024779,0.009206239526252187,0.7476102474437457,True,0.035847061190465074,0.002462790860205799,0.005628345310409302,2.446610957793034,-2.0290147759525774,2.9740919707861764,-0.21593128876610876,True,476,2.9740919707861764,0.7476102474437457,2.9740919707861764
silu,850013,False,True,308,4.576082081787708,0.00021180579810464728,0.002396448836609828,0.005728999680256356,0.4183014435955762,True,0.07570467000849997,0.0324085353945191,0.012633314702330624,2.1060526654836162,-1.804826517752122,4.576082081787708,-0.17118167884806054,True,308,4.576082081787708,0.4183014435955762,4.576082081787708
silu,850014,False,False,,,,,,,,,,,,,,,False,,,,0.07128954291365522
silu,850015,False,False,,,,,,,,,,,,,,,False,,,,0.15378556832071955
silu,850016,False,True,446,4.387926505113893,0.00015701468973174787,0.001682283765996852,0.013279515081279808,0.12668262023877475,True,0.039414642938480425,0.011055536932415495,0.04542859948740642,2.2412548474983587,-1.8910623775972581,4.387926505113893,-0.05574944106321364,True,446,4.387926505113893,0.12668262023877475,4.387926505113893
silu,850017,False,False,,,,,,,,,,,,,,,False,,,,0.059665209873410056
silu,850018,False,True,314,3.451015277921314,0.00029545510160416955,0.002206641329784874,0.006310445657348648,0.3496807435803196,True,0.05721351976190416,0.010027191222324731,0.007819565356901544,2.359769332395115,-1.970037353099322,3.451015277921314,-0.23519807220691424,True,314,3.451015277921314,0.3496807435803196,3.451015277921314
silu,850019,False,True,319,3.4416002240499544,0.00031725285274124965,0.0025047897868679457,0.008862663827680396,0.2826226781890156,True,0.049386473268833456,0.0012867147080269437,0.00555819902672641,-2.3862070682311964,-1.9879810630984167,3.4416002240499544,-0.14997888044875643,True,319,3.4416002240499544,0.2826226781890156,3.4416002240499544
silu,850020,False,True,350,3.5218468039582227,0.0003241896968711258,0.0025484436041406378,0.009182670312598585,0.2775275075098998,True,0.03412948215765136,0.022292109886751028,0.025212835563336762,-2.4095739400222005,-2.003913651526837,3.5218468039582227,-0.16432196367021976,True,350,3.5218468039582227,0.2775275075098998,3.5218468039582227
silu,850021,False,True,309,3.3229243187412365,0.00039790969958772987,0.0024315539363630283,0.005909510241590766,0.4114645439227607,True,0.0574746114419645,0.0033482355329122384,0.00025968180323292353,2.442645601724986,-2.026746203639592,3.3229243187412365,-0.20228102030144188,True,309,3.3229243187412365,0.4114645439227607,3.3229243187412365
silu,850022,False,True,371,3.038521080004111,0.0004158878674434853,0.0027883724125152263,0.008029831577597558,0.34725166842783,True,0.022462336563994233,0.021272849474944438,0.036436676828146906,2.62615817834566,-2.155604740352369,3.038521080004111,-0.2910277097004628,True,371,3.038521080004111,0.34725166842783,3.038521080004111
silu,850023,False,False,,,,,,,,,,,,,,,False,,,,0.0647005014005497
silu,850024,False,True,430,4.097814360622818,0.00016456507527674163,0.002629159121186766,0.010746051067583378,0.24466281656876807,True,0.02211994699007932,0.04586237091862056,0.008240580714937336,2.2633449158354124,-1.9055446550940196,4.097814360622818,-0.10319566986719274,True,430,4.097814360622818,0.24466281656876807,4.097814360622818
silu,850025,False,True,305,4.338924368295844,0.0004967962603815781,0.0030085657202374425,0.009272952129081045,0.3244452983642862,True,0.03568253407842374,0.0475500476619697,0.001794804739476242,2.1672222970215507,-1.843998335631356,4.338924368295844,-0.017975156953612372,True,305,4.338924368295844,0.3244452983642862,4.338924368295844
silu,850026,False,False,,,,,,,,,,,,,,,False,,,,0.04367165913504063
silu,850027,False,False,,,,,,,,,,,,,,,False,,,,0.037842925430436505
silu,850028,False,False,,,,,,,,,,,,,,,False,,,,3.2762231842627987
silu,850029,False,False,,,,,,,,,,,,,,,False,,,,0.07853712489543449
silu,850030,False,True,381,3.7674090383267367,0.0002009170279132222,0.0021974278889675958,0.010668307143017306,0.2059771863998002,True,0.03095293364315636,0.021547246524386443,0.0489894068676674,2.3723267416572122,-1.9783312311267744,3.7674090383267367,-0.18156805592406663,True,381,3.7674090383267367,0.2059771863998002,3.7674090383267367
silu,850031,False,False,,,,,,,,,,,,,,,False,,,,3.855021009255628
silu,850032,False,True,265,3.3158012935186894,2.126886284856133e-06,0.0027980532350974706,0.006762844113941489,0.4137391292709721,True,0.0585099914542765,0.005818228243155131,0.0500601171090345,2.255920458815688,-1.9003384351904251,3.3158012935186894,-0.11070301310106663,True,265,3.3158012935186894,0.4137391292709721,3.3158012935186894
silu,850033,False,True,390,3.61660079657202,2.6440815243250482e-05,0.002491137871007066,0.010766854408605251,0.23137099996597524,True,0.020915395131877387,0.029662854394815318,0.023491964926406043,2.435430858020028,-2.0210266783343607,3.61660079657202,-0.19267769801792528,True,390,3.61660079657202,0.23137099996597524,3.61660079657202
silu,850034,False,True,496,4.016603519593919,8.564990329364836e-05,0.0015034909406615826,0.008783027191887944,0.1711814056604784,True,0.045993249096555014,0.006854942053454297,0.0022703811838610836,-2.4844641783475927,-2.0550394305752526,4.016603519593919,-0.3514248563383477,True,496,4.016603519593919,0.1711814056604784,4.016603519593919
silu,850035,False,False,,,,,,,,,,,,,,,False,,,,0.04260656606439295
silu,850036,False,False,,,,,,,,,,,,,,,False,,,,0.06187883516083051
silu,850037,False,False,,,,,,,,,,,,,,,False,,,,3.0250754860662714
silu,850038,False,True,492,3.6614588704322952,0.00011472579712121928,0.0017032995692891132,0.010510151878280891,0.1620623173685018,True,0.03248123232136688,0.013160460510034994,0.021147876459074948,-2.5014278452741854,-2.0669091057647795,3.6614588704322952,-0.23572695642154887,True,492,3.6614588704322952,0.1620623173685018,3.6614588704322952
silu,850039,False,True,567,3.9447994014470087,0.00020375718801892567,0.0016157858744895411,0.01723367048617126,0.09375750080553584,True,0.020829772652434075,0.014420289895957818,0.012524723484668612,2.4017113454968784,-1.9983016659024395,3.9447994014470087,-0.1448331556890163,True,567,3.9447994014470087,0.09375750080553584,3.9447994014470087
