act,seed,placed_at_init,crossed,step,s_cross,gap_at_cross,growth,relax,chi,branch_converged,sqrt_v_w1,sqrt_v_b1,sqrt_v_b2,w1,b1,w2,b2,sens_crossed,sens_step,sens_s_cross,sens_chi,w2_final,s_branch,note,r_b,pred
silu,850000,False,True,599.0,3.76729786974633,0.000197086889332,0.0021538295587577,0.0095752302468093,0.2249376258576582,True,0.0420604180674882,0.0083151415172233,0.0080079053510919,-2.452436825009882,-2.033086299528121,3.76729786974633,-0.2785257375567166,True,599.0,3.76729786974633,0.2249376258576582,3.76729786974633,3.815696713839019,,-0.012684143348487997,-0.03248162665337435
silu,850002,False,True,225.0,3.602178546398619,0.0005063256081599,0.0032806410781166,0.0051748750832914,0.6339556076839682,True,0.089503040486197,0.000774281271165,0.0001464701710458,2.060230802776689,-1.7770918196986658,3.602178546398619,-0.0448625644304029,True,225.0,3.602178546398619,0.6339556076839682,3.602178546398619,3.3941990968174283,,0.061274970515490024,-0.0915449751240568
silu,850003,False,True,414.0,3.3508610787914277,0.0001668443506518,0.0018394647478952,0.0133568821341953,0.1377166264862059,True,0.0304139671610383,0.0004167913045391,0.0254044866028225,2.5414578195936905,-2.0950511818430093,3.3508610787914277,-0.2001583383979658,True,414.0,3.3508610787914277,0.1377166264862059,3.3508610787914277,3.3611392479512574,,-0.0030579420849923267,-0.0198866687084083
silu,850004,False,True,542.0,4.287924206811972,0.0001787242066072,0.0016701780086576,0.0195576554148281,0.0853976600585435,True,0.0282957063263427,0.0052566430982364,0.0063717034604677,2.291411527999984,-1.9240904628109377,4.287924206811972,-0.1451983575014584,True,542.0,4.287924206811972,0.0853976600585435,4.287924206811972,4.325190989491964,,-0.008616216664311782,-0.012331662613211272
silu,850005,False,True,500.0,4.267700419032265,8.326609609883573e-05,0.0016016989817321,0.0116344798607504,0.1376682929449682,True,0.0381528082442963,0.0120556114845679,0.0046219483652187,2.3861419850974355,-1.9874595613248944,4.267700419032265,-0.2353100109917712,True,500.0,4.267700419032265,0.1376682929449682,4.267700419032265,4.333585427640898,,-0.015203348291785934,-0.019879689208934473
silu,850006,False,True,322.0,3.5131960684340773,0.0003150037174432,0.002310691940826,0.0062568780327595,0.369304296604125,True,0.0563453002022438,0.0138393596334889,0.0191234864454938,-2.3866790239946334,-1.988297085806539,3.5131960684340773,-0.1883528069696468,True,322.0,3.5131960684340773,0.369304296604125,3.5131960684340773,3.333541880129609,,0.05389288473480436,-0.05332858048112012
silu,850007,False,True,397.0,3.546068351204239,0.000187226190861,0.0028281419824468,0.0110385491032392,0.2562059520681872,True,0.0123925133942862,0.0411474902612303,0.0504844848294517,-2.3613329275506345,-1.9708715947502853,3.546068351204239,-0.1215914491445515,True,397.0,3.546068351204239,0.2562059520681872,3.546068351204239,3.3226029346479695,,0.06725613049515511,-0.03699686101745103
silu,850010,False,True,798.0,4.26229655606801,2.1999530371186186e-05,0.0011653687654369,0.018635411808628,0.0625351764374399,True,0.0255033968572437,0.0028499520115754,0.0001905067736787,-2.3776885069926803,-1.9815982353375945,4.26229655606801,-0.2987669365641698,True,798.0,4.26229655606801,0.0625351764374399,4.26229655606801,4.305412180570528,,-0.01001428497301371,-0.009030255591962183
silu,850011,False,True,381.0,3.167823235041887,0.0002511854483638,0.0021062042061571,0.0106085065018327,0.1985391822867112,True,0.0349395355543755,0.0013907933909165,0.0076318538534597,2.5565160559630287,-2.105827444706528,3.167823235041887,-0.2051220998150945,True,381.0,3.167823235041887,0.1985391822867112,3.167823235041887,3.1770585302580594,,-0.0029068697124136067,-0.02866961705723733
silu,850012,False,True,476.0,2.9740919707861764,0.0001705366822617,0.0068826790102477,0.0092062395262521,0.7476102474437457,True,0.035847061190465,0.0024627908602057,0.0056283453104093,2.446610957793034,-2.0290147759525774,2.9740919707861764,-0.2159312887661087,True,476.0,2.9740919707861764,0.7476102474437457,2.9740919707861764,2.8935234272961377,,0.02784444139279918,-0.10795702518471213
