act,seed,s_cross,grad_at_cross,dist_to_branch,s_branch_init,note_init,w2_init,placed_at_cross_on_branch,s_branch,final
gelu,850000,0.6767420768737793,4.6452858920575935e-14,7.260898618163449,,no sign change within 400 steps,-0.6767420768737793,,7.138835012899058,False
gelu,850002,0.9627672433853149,2.949029909160572e-17,22.191969571904746,,continuation lost at s=1.1748,0.9627672433853149,,6.202609850038337,False
gelu,850003,0.45170021057128906,1.5794115147682586e-16,41.58800155734703,,continuation lost at s=0.4562,0.45170021057128906,,6.060622547035476,False
gelu,850004,0.2914022207260132,2.7029160160063626e-16,2.7643649641080645,,no sign change within 400 steps,-0.2914022207260132,,,True
gelu,850005,0.2239391803741455,2.6020852139652106e-17,112.86957106099732,,continuation lost at s=0.2262,0.2239391803741455,,7.852573186917476,False
gelu,850006,0.6968218088150024,6.29704621779581e-16,28.24744416355824,6.189304975574868,,0.6968218088150024,False,6.189305809786774,True
gelu,850007,0.5722576379776001,4.618701254788249e-17,32.44047296882136,,continuation lost at s=1.0293,0.5722576379776001,,5.9788391694620415,False
gelu,850010,0.2609497308731079,5.087076593301987e-16,3.064035299237458,,no sign change within 400 steps,-0.2609497308731079,,7.788403027662865,False
gelu,850011,0.0308305025100708,8.031075126755868e-16,3.8911813339959327,,no sign change within 400 steps,-0.0308305025100708,,5.724253373541116,False
gelu,850012,0.610049843788147,2.386047089075749e-14,3.8102286823160587,,no sign change within 400 steps,-0.610049843788147,,,True
gelu,850013,0.9516268968582153,1.452085068531875e-15,0.8941556751655707,16.382473687200324,,0.9516268968582153,False,7.415650711017628,False
gelu,850016,0.586416482925415,2.5749367915661736e-14,34.89297246650986,5.9212124901707455,,0.586416482925415,False,7.750933407459385,False
gelu,850018,0.8610154390335083,3.252606517456513e-17,17.591184378604925,6.191421724724464,,0.8610154390335083,False,6.191422714618378,True
gelu,850019,0.09045672416687012,1.5959455978986625e-16,0.23625407502335213,0.3465981062101414,,0.09045672416687012,False,6.209525359254877,False
gelu,850020,0.09776389598846436,1.5959455978986625e-16,1.011988139852519,4.418394888947189,,0.09776389598846436,False,6.170936601313746,False
gelu,850022,0.2881944179534912,3.9898639947466563e-17,2.0339406801379445,,no sign change within 400 steps,-0.2881944179534912,,5.430422270366818,False
gelu,850024,0.7826367616653442,6.687358999890591e-16,19.438396334223206,6.824519430563767,,0.7826367616653442,False,6.8245185151267655,True
gelu,850025,0.5276573896408081,3.299097106612692e-14,36.55266596414374,6.933212385720067,,0.5276573896408081,False,6.933210240515974,True
gelu,850030,0.494600772857666,4.40619762898109e-16,41.87845514474921,,continuation lost at s=0.4995,0.494600772857666,,6.706843650093353,False
gelu,850032,0.7359551191329956,2.803075583397123e-16,0.7699661920208967,11.356094281364335,,0.7359551191329956,False,8.208179332227374,False
gelu,850033,0.3163806200027466,3.99333344169861e-15,80.29923698672698,,continuation lost at s=0.3195,0.3163806200027466,,6.406434872766296,False
gelu,850038,0.1963822841644287,1.0408340855860843e-17,156.9212418989329,,continuation lost at s=0.1983,0.1963822841644287,,6.60808142456589,False
gelu,850039,0.1816190481185913,2.9178048865929895e-15,178.32734495149677,,continuation lost at s=0.1834,0.1816190481185913,,7.222377865381855,False
gelu,850042,0.30495738983154297,8.59173843181793e-14,7.13519807448074,,continuation lost at s=0.9672,-0.30495738983154297,,9.623563622869778,False
gelu,850043,0.03198432922363281,,,,gap undecided at the cell cap,0.03198432922363281,,6.547790504088694,False
gelu,850045,0.061097145080566406,,,,gap undecided at the cell cap,0.061097145080566406,,6.402480088278964,False
gelu,850049,0.4360160827636719,2.5066754227864863e-16,51.060556779668545,,continuation lost at s=0.4404,0.4360160827636719,,7.315446325639777,False
gelu,850050,0.5471774339675903,2.939141985347504e-14,37.14267700506657,6.611661949165091,,0.5471774339675903,False,6.611660081329174,True
gelu,850051,0.33756232261657715,6.544244313122505e-16,2.468174013471897,,no sign change within 400 steps,-0.33756232261657715,,7.4323870199208,False
gelu,850052,0.3468986749649048,3.735727005516054e-15,71.3936094457295,,continuation lost at s=0.3504,0.3468986749649048,,5.619891276069028,False
gelu,850058,0.7201251983642578,2.303929616531697e-17,25.97771503274817,7.593544123259012,,0.7201251983642578,False,7.593544652542754,True
gelu,850059,0.5662680864334106,3.9034747656430113e-14,36.821405806410226,,continuation lost at s=0.5719,0.5662680864334106,,7.1839412971864824,False
gelu,850060,0.598528265953064,1.5959455978986625e-16,0.5475464804754128,1.975374248115512,,0.598528265953064,False,6.256363593779449,False
gelu,850061,0.4283374547958374,6.331740687315346e-16,48.393591590491496,,continuation lost at s=0.4326,0.4283374547958374,,6.422363174788693,False
gelu,850062,0.040776968002319336,8.519400462869697e-14,6.747727378381551,,continuation lost at s=0.4622,-0.040776968002319336,,6.476876379947585,False
gelu,850065,0.18062043190002441,1.680513367352532e-17,3.0072662524651705,,no sign change within 400 steps,-0.18062043190002441,,,True
gelu,850066,0.26445472240448,6.932171850437818e-14,6.430802745410618,,no sign change within 400 steps,-0.26445472240448,,,True
gelu,850067,0.5396751165390015,8.246333303707498e-15,3.482413937741296,,no sign change within 400 steps,-0.5396751165390015,,8.599720820648727,False
gelu,850068,0.44438934326171875,1.420738526825005e-15,40.23061709477797,,continuation lost at s=0.4488,0.44438934326171875,,,True
gelu,850069,0.061600327491760254,,,,gap undecided at the cell cap,0.061600327491760254,,6.743171101587908,False
gelu,850070,0.38317716121673584,1.0408340855860843e-17,63.64580939104251,,continuation lost at s=0.3870,0.38317716121673584,,7.060967071585342,False
gelu,850071,0.49470603466033936,8.46761896711179e-16,42.17863637139878,,continuation lost at s=0.4997,0.49470603466033936,,5.969595547878878,False
gelu,850073,0.5612494945526123,6.938893903907228e-18,32.86137588374181,7.274684942934431,,0.5612494945526123,False,7.27468135768993,True
gelu,850074,0.4827303886413574,2.5391283043144086e-14,40.179824802723004,,continuation lost at s=0.4876,0.4827303886413574,,6.627359154559873,False
gelu,850076,0.20364689826965332,2.211772431870429e-17,117.58813144308213,,continuation lost at s=0.2057,0.20364689826965332,,6.062592118108993,False
gelu,850077,0.30275630950927734,1.4988010832439613e-15,82.99022595496047,,continuation lost at s=0.3058,0.30275630950927734,,5.407187420360945,False
gelu,850079,0.2804816961288452,8.847089727481716e-16,0.8074938088597191,0.35613722024539135,,0.2804816961288452,False,6.862584554657735,False
gelu,850080,0.291062593460083,4.5319650809894085e-14,6.490886041745151,,continuation lost at s=9.1029,-0.291062593460083,,,True
gelu,850081,0.5575516223907471,1.9081958235744878e-17,2.1322217294776924,,continuation lost at s=25.1983,-0.5575516223907471,,6.6628164664681115,False
gelu,850082,0.2583106756210327,1.4203048459560108e-16,2.1009407067924224,,no sign change within 400 steps,-0.2583106756210327,,6.503850726435376,False
