act,seed,placed_at_init,crossed,step,s_cross,gap_at_cross,growth,relax,chi,branch_converged,sqrt_v_w1,sqrt_v_b1,sqrt_v_b2,w1,b1,w2,b2,sens_crossed,sens_step,sens_s_cross,sens_chi,w2_final
mish,850040,False,False,,,,,,,,,,,,,,,False,,,,0.18634886771071196
mish,850041,False,False,,,,,,,,,,,,,,,False,,,,0.06778273432045472
mish,850042,False,True,827,5.2873214863537115,8.449010380777444e-05,0.001157151277219763,0.026633718892422574,0.043446853287506096,True,0.025626576397361184,0.003468542347237895,0.0067282973007202745,-2.0587740059002657,-1.7556186810245367,5.2873214863537115,0.05306644386020601,True,827,5.2873214863537115,0.043446853287506096,5.2873214863537115
mish,850043,False,True,527,3.374656163554071,1.1982534779471365e-05,0.0017354425861648537,0.027721878987488714,0.06260191046025719,True,0.01887336388117301,0.0003874831462122863,0.001642761870653432,-2.2957942106239067,-1.9124838875166794,3.374656163554071,-0.05178663384086839,True,527,3.374656163554071,0.06260191046025719,3.374656163554071
mish,850044,False,False,,,,,,,,,,,,,,,False,,,,0.14929926026292725
mish,850045,False,True,366,3.1728925873155243,0.0002905419978319196,0.0021335827660796066,0.010442675407471324,0.20431380683853412,True,0.027288099314460575,0.00999228537818029,0.06087803766928772,2.521223851314906,-2.070831220377007,3.1728925873155243,-0.25884683585432017,True,366,3.1728925873155243,0.20431380683853412,3.1728925873155243
mish,850046,False,True,228,3.190237654560751,0.0003287471826921573,0.0032868982692910455,0.004395857246063333,0.7477263444427352,True,0.09255738922757059,0.007419125954468665,0.0025125027550691828,2.0013267581506176,-1.7196772084152916,3.190237654560751,-0.15756771980317072,True,228,3.190237654560751,0.7477263444427352,3.190237654560751
mish,850047,False,False,,,,,,,,,,,,,,,False,,,,0.030208167107939263
mish,850048,False,False,,,,,,,,,,,,,,,False,,,,184.32924264636011
mish,850049,False,True,370,3.669448889333724,7.332646842537344e-05,0.002096627196779227,0.01106769405812559,0.18943667811633644,True,0.04339314363007068,0.016790159047505124,0.009221977455447623,2.2283846041235007,-1.8668935841310128,3.669448889333724,-0.11395120400396809,True,370,3.669448889333724,0.18943667811633644,3.669448889333724
mish,850050,False,True,382,3.1866837795495275,0.00023894538952483335,0.0018712414820279992,0.010700309585449375,0.1748773217339967,True,0.03974573934485308,0.002678226643738625,0.006576198233725143,2.403212991509908,-1.9871935241848298,3.1866837795495275,-0.25681851235163916,True,382,3.1866837795495275,0.1748773217339967,3.1866837795495275
mish,850051,False,True,634,3.8197460507366543,0.00012705454822199702,0.0014796305063789514,0.02088398398216324,0.0708500115515644,True,0.02778336157246495,0.001854873606562561,0.0028809182812413554,-2.179268198685724,-1.834191803918736,3.8197460507366543,-0.09511877085739477,True,634,3.8197460507366543,0.0708500115515644,3.8197460507366543
mish,850052,False,True,302,2.6816130718046196,2.7788454854023314e-05,0.0026098884696225625,0.008370796421569368,0.31178496503600994,True,0.03143244434630377,0.014023839791622894,0.011032769603173481,2.4377295479799215,-2.0110782365584443,2.6816130718046196,-0.24681430362191675,True,302,2.6816130718046196,0.31178496503600994,2.6816130718046196
mish,850053,False,True,326,3.3702482218142737,0.000427624579574612,0.002093657269515073,0.006551919716272925,0.31954867583543206,True,0.05935706680366181,0.008328223978826902,0.018918913748840787,-2.2942802703911744,-1.912159686032654,3.3702482218142737,-0.278323168666849,True,326,3.3702482218142737,0.31954867583543206,3.3702482218142737
mish,850054,False,True,324,3.929812456555882,0.00036402614140698675,0.0022443131177067284,0.005104967537527105,0.43963318105523064,True,0.09371863204980674,0.035731694692998875,0.046504291229068705,1.9936886573558472,-1.7149585723221132,3.929812456555882,-0.15375872426624765,True,324,3.929812456555882,0.43963318105523064,3.929812456555882
mish,850055,False,False,,,,,,,,,,,,,,,False,,,,0.12355253449349798
