act,seed,placed_at_init,crossed,step,s_cross,gap_at_cross,growth,relax,chi,branch_converged,sqrt_v_w1,sqrt_v_b1,sqrt_v_b2,w1,b1,w2,b2,sens_crossed,sens_step,sens_s_cross,sens_chi,w2_final
gelu,850040,False,False,,,,,,,,,,,,,,,False,,,,0.2352060008508189
gelu,850041,False,False,,,,,,,,,,,,,,,False,,,,0.09530824353840534
gelu,850042,False,True,1716,9.632326429597876,1.0193403077906477e-05,0.0006499710596897769,0.21558073853844456,0.0030149774237547083,True,0.011896559122279353,0.0020524740309614937,0.004201911177532703,-1.0971156603637036,-0.9351559010112073,9.632326429597876,0.06110762600318398,True,1716,9.632326429597876,0.0030149774237547083,9.632326429597876
gelu,850043,False,True,1226,6.555907360827854,8.452916371088498e-05,0.0009461890903617369,0.36720147396326674,0.0025767573320154744,True,0.007146818737998201,0.0012007312172294582,0.001044640740533885,-1.1858781679090409,-0.9884432676816535,6.555907360827854,-0.001748775065582393,True,1226,6.555907360827854,0.0025767573320154744,6.555907360827854
gelu,850044,False,False,,,,,,,,,,,,,,,False,,,,0.1921820437080276
gelu,850045,False,True,979,6.438593034255706,6.218439259953953e-05,0.001101476998390173,0.04026091422934013,0.027358469609402754,True,0.011554284754593747,0.0025343056025339903,0.034792417297694944,1.2572081223204452,-1.0344883593426046,6.438593034255706,-0.16858838253725814,True,979,6.438593034255706,0.027358469609402754,6.438593034255706
gelu,850046,True,True,1,0.7908757933108417,0.012240889807540234,,1.6040620124861445e-06,,True,0.055034720172631654,0.014803314549084342,0.006744730604479804,0.30356217202634933,-0.7809600802263087,0.7908757933108417,0.13009465269715564,True,1,0.7908757933108417,,0.7908757933108417
gelu,850047,False,False,,,,,,,,,,,,,,,False,,,,0.051003710830267966
gelu,850048,False,False,,,,,,,,,,,,,,,False,,,,233.22253697292103
gelu,850049,False,True,1061,7.323950852310015,2.5380044419660852e-05,0.0009399318653802749,0.14369006879234694,0.006541383641054646,True,0.018831185954873677,0.0031781622832993315,0.005618640927342776,1.14777857106681,-0.9649086840282516,7.323950852310015,-0.04030842220649446,True,1061,7.323950852310015,0.006541383641054646,7.323950852310015
gelu,850050,False,True,1061,6.617595479618542,1.756300385280518e-05,0.000992195390257631,0.14686560800988507,0.006755804872920619,True,0.013720457252489823,0.004072313739787819,0.006197145371513746,1.1900194943551903,-0.990910752697497,6.617595479618542,-0.15907973145005364,True,1061,6.617595479618542,0.006755804872920619,6.617595479618542
gelu,850051,False,True,1467,7.43687846965574,7.999575046109542e-06,0.0007874128194940399,0.24525974941886552,0.003210526070257298,True,0.012500821146917892,0.0016647426387802907,0.0018795329405344803,-1.126067129367288,-0.9519326166093552,7.43687846965574,-0.0366318952467762,True,1467,7.43687846965574,0.003210526070257298,7.43687846965574
gelu,850052,False,True,956,5.624905420579989,2.520725248292971e-05,0.0012102896631143104,0.14642594734056338,0.008265540944730034,True,0.012077558258154385,0.001549788752901531,0.006847947496247686,1.226898097536812,-1.0144928694711606,5.624905420579989,-0.16993834654850912,True,956,5.624905420579989,0.008265540944730034,5.624905420579989
gelu,850053,True,True,1,0.7620755505016723,0.030867961816085795,,1.4465812378410976e-06,,True,0.0671741899461445,0.041000019522146935,0.09496035504207606,-0.6120203813924978,-0.9040521312308317,0.7620755505016723,0.43687008963034146,True,1,0.7620755505016723,,0.7620755505016723
gelu,850054,True,True,1,0.9929469874726947,0.00559138089598521,,2.2822442083450742e-06,,True,0.19291800665620573,0.08299514015870038,0.1891793207063867,0.5554394812168746,-0.7510037338861641,0.9929469874726947,-0.7122768073599588,True,1,0.9929469874726947,,0.9929469874726947
gelu,850055,False,False,,,,,,,,,,,,,,,False,,,,0.16117146926030038
gelu,850056,True,True,1,0.21255112297826106,0.011156729416267885,,9.148223136683335e-09,,True,0.012284875068786442,0.003687839401266024,0.11001526261983452,-0.33314025541734976,-0.7620008167584087,0.21255112297826106,0.4654184493571459,True,1,0.21255112297826106,,0.21255112297826106
gelu,850057,False,False,,,,,,,,,,,,,,,False,,,,0.10390165537769587
gelu,850058,False,True,905,7.610292032867768,7.275795107418784e-05,0.0010026298013407291,0.09765477650757888,0.010267084081267813,True,0.021734498762225465,0.016063265250321205,0.008137449501959175,1.167092073576948,-0.9767625404657235,7.610292032867768,-0.06924744094886177,True,905,7.610292032867768,0.010267084081267813,7.610292032867768
gelu,850059,False,True,1074,7.209112027994676,2.2280269993738694e-05,0.0009367282413802019,0.05994114938450548,0.01562746545568147,True,0.01280039779089143,0.0021008834844118505,0.02249797366398765,-1.1665820472107213,-0.9763506356692072,7.209112027994676,-0.09011152215066101,True,1074,7.209112027994676,0.01562746545568147,7.209112027994676
gelu,850060,False,True,788,6.267589326738015,1.4161658449106385e-05,0.0011849524196348535,0.07984009847820271,0.014841570116028345,True,0.027990766709340427,0.0023772804603845767,0.010074925231843163,1.199137843991095,-0.9966595796207112,6.267589326738015,-0.1317162855916042,True,788,6.267589326738015,0.014841570116028345,6.267589326738015
gelu,850061,False,True,770,6.4679455314039,9.196130206771957e-05,0.0011952827622466792,0.031935206113384094,0.03742837162230603,True,0.005897833340468169,0.019533279085938524,0.04547009765006192,1.1787551859585372,-0.9840127782182609,6.4679455314039,-0.138600471422135,True,770,6.4679455314039,0.03742837162230603,6.4679455314039
