act,seed,placed_at_init,crossed,step,s_cross,gap_at_cross,growth,relax,chi,branch_converged,sqrt_v_w1,sqrt_v_b1,sqrt_v_b2,w1,b1,w2,b2,sens_crossed,sens_step,sens_s_cross,sens_chi,w2_final
silu,851000,False,True,495,3.302997160136039,0.00017514737532443175,0.0017495795698244567,0.009373437099808939,0.18665293757186666,True,0.025863672807140956,0.016976888977540523,0.02207983400398495,2.648594185127183,-2.1711790601086682,3.302997160136039,-0.32842232407366634,True,495,3.302997160136039,0.18665293757186666,3.302997160136039
silu,851001,False,True,424,3.366356130839349,0.00018302729264256523,0.001948014209709678,0.014120560762752851,0.13795586750691521,True,0.030553936836022345,0.002890069753986476,0.00435960857360685,-2.462618593399397,-2.0400917095808313,3.366356130839349,-0.15827256605631437,True,424,3.366356130839349,0.13795586750691521,3.366356130839349
silu,851002,False,False,,,,,,,,,,,,,,,False,,,,0.8881605646331412
silu,851003,False,True,395,4.187649051660378,0.000205974789064714,0.0020900981365421577,0.009770566543987709,0.21391780375604666,True,0.04209496958573041,0.030236960063765993,0.027230307148488786,2.2537696464067354,-1.8993470776086179,4.187649051660378,-0.13389279991266964,True,395,4.187649051660378,0.21391780375604666,4.187649051660378
silu,851004,False,True,272,3.394782220350966,0.00010877764280393942,0.0026630849039507255,0.00556835837943543,0.4782531443712021,True,0.06021619728405931,0.01619029887347498,0.01920617337748922,2.268993627763442,-1.9091448525844301,3.394782220350966,-0.1584120000870884,True,272,3.394782220350966,0.4782531443712021,3.394782220350966
silu,851005,False,False,,,,,,,,,,,,,,,False,,,,0.036532857613637365
silu,851006,False,False,,,,,,,,,,,,,,,False,,,,0.05337599602388865
silu,851007,False,False,,,,,,,,,,,,,,,False,,,,0.07083695697719478
silu,851008,False,True,693,4.3358552632935625,3.1156979740196156e-05,0.0014614477299858901,0.029004687437662297,0.05038660503157896,True,0.013534100693915939,0.012966981870215014,0.014185160252322209,2.2684575711194737,-1.908632920629043,4.3358552632935625,-0.005746993405146263,True,693,4.3358552632935625,0.05038660503157896,4.3358552632935625
silu,851009,False,False,,,,,,,,,,,,,,,False,,,,0.04788680185534626
