seed,placed_at_init,crossed,step,s_init,s_cross
600000,False,True,228,0.046404804851788356,2.289216826986377
600001,False,True,107,0.03679667806502537,1.8621115300719997
600002,False,True,2095,0.0063389963012428835,4.814923438117869
600003,False,True,134,0.06076922856686867,2.413941082894029
600004,False,True,122,0.024941043298253987,1.997192789635369
600005,False,True,122,0.02656822680756838,1.5139396500811815
600006,False,True,96,0.051960978853574744,1.5362161356175357
600007,False,True,80,0.04007303794819324,1.4028081514940123
600008,False,True,92,0.016780218873042256,1.4149606769903653
600009,False,True,129,0.04424403992685593,2.4694542312269516
600010,False,True,63,0.016331276352758616,1.1886680669141212
600011,False,True,147,0.033655308871458414,2.336069130223919
600012,False,True,24,0.06310708291609948,0.4323517646026246
600013,False,True,30,0.06216178205641404,0.46887986951352334
600014,False,True,151,0.054220656832276254,2.464489232797764
600015,False,True,28,0.04916511812069892,0.30592777991698467
600016,False,True,112,0.046271668594025525,1.7274912170466248
600017,False,True,118,0.05992321175874822,2.1955334658576398
600018,False,True,122,0.0707405311695559,1.2500036588657906
600019,False,True,143,0.03951889543152477,2.2453327802132006
600020,False,True,149,0.0709595110721001,2.4133480776324046
600021,False,True,119,0.03200197679562304,1.6146601591860446
600022,False,True,58,0.05011833016005963,0.8690917784198753
600023,False,True,90,0.07694724452998061,1.322523766203766
600024,False,True,174,0.06870746925027445,2.600450675741612
600025,False,True,52,0.04988946379981435,0.7830557988486648
600026,False,True,112,0.03508144444755799,1.408712032451061
600027,False,True,285,0.046286371695391126,2.1004115973408455
600028,False,True,98,0.03724413058294162,2.0289816607009823
600029,False,True,61,0.04220821959902485,1.0604558994829045
600030,False,True,134,0.02830819154528488,1.8331421256184832
600031,False,True,79,0.05360681571589851,1.1127079122120882
600032,True,False,0,0.04407820236430081,
600033,False,True,29,0.06955959310022151,0.3351431781582015
600034,False,True,35,0.020143136212987012,0.7092830645398964
600035,False,True,99,0.041921768883230195,1.6020402389886597
600036,False,True,95,0.05350548316814299,1.1153658979051269
600037,False,True,83,0.02524958211624898,1.4597140440082885
600038,False,True,63,0.06174869317424846,0.8695702700131376
600039,False,True,83,0.05200620065692196,1.180510927109908
600040,False,True,166,0.03662362880291885,2.0309686311983324
600041,False,True,107,0.021573329311030044,1.9357735952096788
600042,False,True,326,0.037637955928151286,2.2487221998832756
600043,False,True,140,0.024939787129941077,1.3902551342562668
600044,False,True,206,0.0281858796253101,2.5181909952838453
600045,False,True,149,0.05302894823333065,1.5454010316179447
600046,False,True,107,0.03901104678330253,2.0149285010185896
600047,False,True,183,0.03560383619498746,2.2710190228147296
600048,False,True,59,0.025444337702395306,0.8967181273560427
600049,False,True,170,0.04976530351491848,1.5787908013379135
600050,False,True,49,0.01355269962401342,0.6705533259881807
600051,False,True,143,0.018765353530569878,1.8172606854339337
600052,False,True,4,0.039453813445425374,0.040008360344110705
600053,False,True,106,0.054949443439208906,1.2264982752117486
600054,False,True,92,0.06168517060981815,1.2384172107560643
600055,False,True,90,0.03599565000977621,1.1582372661241802
600056,False,True,147,0.06284442474952619,1.496090781504106
600057,False,True,85,0.04922233237511593,1.7296988616520315
600058,False,True,2600,0.01964242738561474,5.267405840278418
600059,False,True,137,0.03330289066583569,1.437062703497252
600060,False,True,98,0.05171078179545017,1.3113063486404921
600061,False,True,133,0.04275460280143637,1.7259902597993453
600062,False,True,80,0.04180098234086316,1.0163477353742711
600063,False,True,147,0.02931423264473498,1.9456315869556497
600064,False,True,60,0.045521050484894555,1.0404089693581304
600065,False,True,95,0.02599807358040463,1.2120839585422607
600066,False,True,91,0.014795395019854342,1.3572697296999259
600067,False,True,66,0.051430910002649266,1.1208880843004096
600068,False,True,2,0.0184611367704002,0.021492334752878553
600069,False,True,158,0.040977626786728144,1.8685924286443751
600070,False,True,288,0.040496567754089385,2.440338928499594
600071,False,True,45,0.044311777409828695,0.7915696844392857
600072,False,True,72,0.04147340703247449,1.1496185359136801
600073,False,True,2210,0.04828831188795427,6.181853103185806
600074,False,True,112,0.05620020970437312,1.5038520744064896
600075,False,True,54,0.025484673545624777,0.795884990466621
600076,False,True,83,0.02104160868138696,1.3215182967128765
600077,False,True,111,0.01961391754021651,1.0606867952424983
600078,False,True,40,0.029349514894643016,0.8648709773855714
600079,False,True,56,0.0344081391608893,0.8588112053325835
