seed,s_w1_own,note
600321,5.327978945865642,ok
600322,4.293510210083482,ok
600325,4.958068241684655,ok
600326,5.139696800771513,ok
600327,4.782858141653791,ok
600328,4.782858141653791,ok
600329,5.523158417307099,ok
600331,4.613839682733214,ok
600332,5.327978945865642,ok
600333,5.72548788435838,ok
600336,5.327978945865642,ok
600337,5.523158417307099,ok
600340,5.327978945865642,ok
600341,5.935229272296986,ok
600342,4.293510210083482,ok
600343,5.327978945865642,ok
600344,4.782858141653791,ok
600346,6.152654101490373,ok
600347,5.139696800771513,ok
600348,4.613839682733214,ok
600349,6.611690262414816,ok
600350,4.958068241684655,ok
600353,5.327978945865642,ok
600354,5.523158417307099,ok
600355,4.613839682733214,ok
600356,5.523158417307099,ok
600357,4.782858141653791,ok
600358,5.523158417307099,ok
600359,4.958068241684655,ok
600360,4.958068241684655,ok
600361,4.613839682733214,ok
600362,4.782858141653791,ok
600366,5.523158417307099,ok
600367,4.958068241684655,ok
600368,5.327978945865642,ok
600369,4.613839682733214,ok
600372,4.782858141653791,ok
600373,6.152654101490373,ok
600374,4.958068241684655,ok
600375,5.139696800771513,ok
600378,4.958068241684655,ok
600379,5.139696800771513,ok
600380,4.958068241684655,ok
600381,4.141784514364405,ok
600382,5.327978945865642,ok
600383,4.958068241684655,ok
600384,5.139696800771513,ok
600385,5.327978945865642,ok
600386,5.139696800771513,ok
600388,5.935229272296986,ok
600389,5.327978945865642,ok
600390,5.72548788435838,ok
600391,5.72548788435838,ok
600392,5.327978945865642,ok
600394,5.327978945865642,ok
600395,5.935229272296986,ok
600399,4.958068241684655,ok
