arm,seed,s0,placed_at_init,relax_placed_step,branch_status,s_switch,class_pred,s_pred_early
T2-3d,600480,0.015618020855378504,False,,unplaced_to_cut,,LATE,
T2-3d,600481,0.03817402435285217,False,,unplaced_to_cut,,LATE,
T2-3d,600482,0.05918537958583921,False,,unplaced_to_cut,,LATE,
T2-3d,600483,0.0143228418226677,False,,unplaced_to_cut,,LATE,
T2-3d,600484,0.06948834915158211,False,,unplaced_to_cut,,LATE,
T2-3d,600485,0.04258893644202776,False,,unplaced_to_cut,,LATE,
T2-3d,600486,0.053922848343418824,False,,unplaced_to_cut,,LATE,
T2-3d,600487,0.024990093860054567,False,,unplaced_to_cut,,LATE,
T2-3d,600488,0.04509836667362816,False,,unplaced_to_cut,,LATE,
T2-3d,600489,0.03293964016751768,False,,unplaced_to_cut,,LATE,
T2-3d,600490,0.056035089031293964,False,,unplaced_to_cut,,LATE,
T2-3d,600491,0.02419634420014633,False,,unplaced_to_cut,,LATE,
T2-3d,600492,0.039211119865876595,False,,unplaced_to_cut,,LATE,
T2-3d,600493,0.04027583891240838,False,,unplaced_to_cut,,LATE,
T2-3d,600494,0.013045966542900004,False,,unplaced_to_cut,,LATE,
T2-3d,600495,0.05910367986186723,True,,,,EXCLUDED,
T2-3d,600496,0.04032196866099602,False,,unplaced_to_cut,,LATE,
T2-3d,600497,0.037694897950358866,False,,unplaced_to_cut,,LATE,
T2-3d,600498,0.03701357369439427,False,,unplaced_to_cut,,LATE,
T2-3d,600499,0.04046179961482999,False,,unplaced_to_cut,,LATE,
T2-3d,600500,0.05787969149689773,False,,unplaced_to_cut,,LATE,
T2-3d,600501,0.06488423918275305,False,124,placed_in_relaxation,,EARLY,0.06488423918275305
T2-3d,600502,0.01374910388245414,False,,unplaced_to_cut,,LATE,
T2-3d,600503,0.04168566629447404,False,,unplaced_to_cut,,LATE,
T2-3d,600504,0.064481281376606,False,,unplaced_to_cut,,LATE,
T2-3d,600505,0.05285239914890696,False,,unplaced_to_cut,,LATE,
T2-3d,600506,0.03402379418941527,False,,unplaced_to_cut,,LATE,
T2-3d,600507,0.035497675685103515,False,23,placed_in_relaxation,,EARLY,0.035497675685103515
T2-3d,600508,0.05410921809778414,False,,unplaced_to_cut,,LATE,
T2-3d,600509,0.042423774299516055,False,,unplaced_to_cut,,LATE,
T2-3d,600510,0.05263393593301221,False,,switch_below_cut,0.5622312793072773,EARLY,0.5622312793072773
T2-3d,600511,0.04785013230738674,False,,unplaced_to_cut,,LATE,
T2-3d,600512,0.06201404938321209,False,,unplaced_to_cut,,LATE,
T2-3d,600513,0.059419406244175015,False,,unplaced_to_cut,,LATE,
T2-3d,600514,0.03582570912686037,False,,unplaced_to_cut,,LATE,
T2-3d,600515,0.01693079608671645,False,,unplaced_to_cut,,LATE,
T2-3d,600516,0.0010571935871798962,False,,unplaced_to_cut,,LATE,
T2-3d,600517,0.0412950922115337,False,,unplaced_to_cut,,LATE,
T2-3d,600518,0.033103790549450694,False,,unplaced_to_cut,,LATE,
T2-3d,600519,0.03317211307375838,False,,unplaced_to_cut,,LATE,
T2-3d,600520,0.010273462897868093,False,,unplaced_to_cut,,LATE,
T2-3d,600521,0.027881020348816496,False,,switch_below_cut,0.4171480570230873,EARLY,0.4171480570230873
T2-3d,600522,0.049837024970172165,False,,unplaced_to_cut,,LATE,
T2-3d,600523,0.0771754234054172,False,413,placed_in_relaxation,,EARLY,0.0771754234054172
T2-3d,600524,0.05980509522494833,False,,unplaced_to_cut,,LATE,
T2-3d,600525,0.052742921195251535,False,,unplaced_to_cut,,LATE,
T2-3d,600526,0.048552406405118695,False,,unplaced_to_cut,,LATE,
T2-3d,600527,0.06847774888491034,False,,unplaced_to_cut,,LATE,
T2-3d,600528,0.03713010584513102,False,,unplaced_to_cut,,LATE,
T2-3d,600529,0.013538790516732936,False,,unplaced_to_cut,,LATE,
T2-3d,600530,0.04313196110483147,False,,unplaced_to_cut,,LATE,
T2-3d,600531,0.04969139364194075,False,4,placed_in_relaxation,,EARLY,0.04969139364194075
T2-3d,600532,0.06223037156689015,False,,unplaced_to_cut,,LATE,
T2-3d,600533,0.02464168732235406,False,17,placed_in_relaxation,,EARLY,0.02464168732235406
T2-3d,600534,0.04676542079282813,False,,unplaced_to_cut,,LATE,
T2-3d,600535,0.0401858237502761,False,,unplaced_to_cut,,LATE,
