arm,seed,s0,placed_at_init,relax_placed_step,branch_status,s_switch,class_pred,s_pred_early
T2-3c,600320,0.03720545983502181,False,272,placed_in_relaxation,,EARLY,0.03720545983502181
T2-3c,600321,0.05639866756136788,False,,unplaced_to_cut,,LATE,
T2-3c,600322,0.03703582196539827,False,,unplaced_to_cut,,LATE,
T2-3c,600323,0.02693733726264652,False,51,placed_in_relaxation,,EARLY,0.02693733726264652
T2-3c,600324,0.018749167021440173,False,64,placed_in_relaxation,,EARLY,0.018749167021440173
T2-3c,600325,0.013008467654734665,False,,unplaced_to_cut,,LATE,
T2-3c,600326,0.050538146618048604,False,,unplaced_to_cut,,LATE,
T2-3c,600327,0.05168378741890855,False,,unplaced_to_cut,,LATE,
T2-3c,600328,0.04515471762558738,False,,unplaced_to_cut,,LATE,
T2-3c,600329,0.04581273654578074,False,,unplaced_to_cut,,LATE,
