arm,seed,s0,placed_at_init,relax_placed_step,branch_status,s_switch,class_pred,s_pred_early
T2-3b,600199,0.023016173514963687,False,,unplaced_to_cut,,LATE,
T2-3b,600200,0.05241996541635613,False,41,placed_in_relaxation,,EARLY,0.05241996541635613
T2-3b,600201,0.052064198604523666,False,140,placed_in_relaxation,,EARLY,0.052064198604523666
T2-3b,600202,0.044904286779378,False,130,placed_in_relaxation,,EARLY,0.044904286779378
T2-3b,600203,0.034244304080078475,False,,unplaced_to_cut,,LATE,
T2-3b,600204,0.0385037790616738,False,,unplaced_to_cut,,LATE,
T2-3b,600205,0.007873627847853929,False,14,placed_in_relaxation,,EARLY,0.007873627847853929
T2-3b,600206,0.0728232228383061,False,,unplaced_to_cut,,LATE,
T2-3b,600207,0.03566337554435129,False,,unplaced_to_cut,,LATE,
T2-3b,600208,0.03536148630254467,False,,unplaced_to_cut,,LATE,
T2-3b,600209,0.05906953790185755,False,,unplaced_to_cut,,LATE,
T2-3b,600210,0.045725633127647936,False,,unplaced_to_cut,,LATE,
T2-3b,600211,0.07999678100884836,False,,unplaced_to_cut,,LATE,
T2-3b,600212,0.004959959851182265,False,,unplaced_to_cut,,LATE,
T2-3b,600213,0.03156719924633568,False,,unplaced_to_cut,,LATE,
T2-3b,600214,0.04025251231392837,False,,unplaced_to_cut,,LATE,
T2-3b,600215,0.07500379350570296,False,,unplaced_to_cut,,LATE,
T2-3b,600216,0.07938559980302425,False,,unplaced_to_cut,,LATE,
T2-3b,600217,0.02530634090572694,False,,unplaced_to_cut,,LATE,
T2-3b,600218,0.020475449698142835,False,12,placed_in_relaxation,,EARLY,0.020475449698142835
T2-3b,600219,0.016168451278501736,False,,unplaced_to_cut,,LATE,
T2-3b,600220,0.026923758682284304,False,,unplaced_to_cut,,LATE,
T2-3b,600221,0.0673076249345051,False,,unplaced_to_cut,,LATE,
T2-3b,600222,0.04238081195684541,False,,unplaced_to_cut,,LATE,
T2-3b,600223,0.025444840539831683,False,,unplaced_to_cut,,LATE,
T2-3b,600224,0.02534987949274565,False,2,placed_in_relaxation,,EARLY,0.02534987949274565
T2-3b,600225,0.029714221951665388,False,,unplaced_to_cut,,LATE,
T2-3b,600226,0.014400596186196771,False,,unplaced_to_cut,,LATE,
T2-3b,600227,0.040697355614734726,False,,unplaced_to_cut,,LATE,
T2-3b,600228,0.04842396247602064,False,,unplaced_to_cut,,LATE,
T2-3b,600229,0.02560628373112315,False,,unplaced_to_cut,,LATE,
T2-3b,600230,0.02556045925586329,False,,unplaced_to_cut,,LATE,
T2-3b,600231,0.07253126828007894,False,71,placed_in_relaxation,,EARLY,0.07253126828007894
T2-3b,600232,0.03896775912077195,False,,unplaced_to_cut,,LATE,
T2-3b,600233,0.05202447774022799,False,,unplaced_to_cut,,LATE,
T2-3b,600234,0.05124800700436687,False,,unplaced_to_cut,,LATE,
T2-3b,600235,0.023312897353524296,False,,unplaced_to_cut,,LATE,
T2-3b,600236,0.009154277197922596,False,,unplaced_to_cut,,LATE,
T2-3b,600237,0.05576246133434901,False,,unplaced_to_cut,,LATE,
T2-3b,600238,0.03843469276623518,False,,unplaced_to_cut,,LATE,
T2-3b,600239,0.041011182750215466,False,,unplaced_to_cut,,LATE,
