seed,placed_at_init,crossed,step,s_cross,growth,relax,ratio,class_pred,s_pred_early,branch_status,s0,s_w1_own,arm,truth,s_own
600160,False,True,61.0,0.0415692255842867,-0.0022511621253342,0.0246789576667638,-0.0912178770161734,EARLY,0.0477669397514234,placed_in_relaxation,0.0477669397514234,,T2-3b,EARLY,
600161,False,True,500.0,0.1122996514030539,0.0016311836149264,0.1187991617305996,0.0137305986941678,LATE,,unplaced_to_cut,0.0422005710896199,3.7180266639144746,T2-3b,EARLY,3.7180266639144746
600162,False,True,30148.0,5.15325356884431,3.550491655678251e-05,6.2345512450330896,5.69486321650951e-06,LATE,,unplaced_to_cut,0.0507053312170351,5.139696800771513,T2-3b,LATE,5.139696800771513
600163,False,True,404.0,0.1204182135229419,0.0018583525939089,0.0371444819945412,0.0500303812066099,EARLY,0.0582505659515845,placed_in_relaxation,0.0582505659515845,,T2-3b,EARLY,
600164,False,True,30758.0,5.257174772784545,3.482318059341723e-05,5.749446374624821,6.056788484385092e-06,LATE,,unplaced_to_cut,0.0543423611142536,5.327978945865642,T2-3b,LATE,5.327978945865642
600165,False,True,1758.0,0.2910072220902984,0.0017482833669268,0.1233533909747391,0.0141729655999877,LATE,,unplaced_to_cut,0.0680584537486641,4.958068241684655,T2-3b,EARLY,4.958068241684655
600166,False,True,27526.0,4.613651768141374,3.959365123448649e-05,5.61951937192396,7.0457362300952045e-06,LATE,,unplaced_to_cut,0.0451981916641239,4.613839682733214,T2-3b,LATE,4.613839682733214
600167,False,True,31327.0,5.265410377284756,3.474987200361078e-05,5.524050966574614,6.290650143142811e-06,LATE,,unplaced_to_cut,0.0367060591267156,5.327978945865642,T2-3b,LATE,5.327978945865642
600168,False,True,28089.0,4.7753175677747866,3.8298214198859216e-05,6.002676180780639,6.380189942859552e-06,LATE,,unplaced_to_cut,0.0494652614865366,4.782858141653791,T2-3b,LATE,4.782858141653791
600169,False,True,30137.0,5.052387412316213,3.620012579567799e-05,4.887408152025395,7.406814546617366e-06,LATE,,unplaced_to_cut,0.021302532747123,5.139696800771513,T2-3b,LATE,5.139696800771513
600170,False,True,25.0,0.0606801106344106,0.0031147884798814,0.0201337389787369,0.1547049200931317,EARLY,0.0561232614843896,placed_in_relaxation,0.0561232614843896,,T2-3b,EARLY,
600171,False,True,27733.0,4.760386502319701,3.840456207954168e-05,5.632220988668161,6.8187242931004255e-06,LATE,,unplaced_to_cut,0.0633322531330535,4.782858141653791,T2-3b,LATE,4.782858141653791
600172,False,True,99.0,0.075556671930853,0.0032619637323273,0.0142493438533925,0.2289202763221086,EARLY,0.0546972645111157,placed_in_relaxation,0.0546972645111157,,T2-3b,EARLY,
600173,False,True,28515.0,4.7487176134726,3.8485040449715736e-05,5.834893129792122,6.595671864702487e-06,LATE,,unplaced_to_cut,0.0076547751288105,4.782858141653791,T2-3b,LATE,4.782858141653791
600174,False,True,79.0,0.0565105040881846,0.0026958208988159,0.0140062685386005,0.1924724555570544,EARLY,0.0457939736938949,placed_in_relaxation,0.0457939736938949,,T2-3b,EARLY,
600175,False,True,31341.0,5.311206841313046,3.4445215512160614e-05,6.235436760637996,5.524106303122262e-06,LATE,,unplaced_to_cut,0.0274736471136293,5.327978945865642,T2-3b,LATE,5.327978945865642
600176,False,False,,,,,,LATE,,unplaced_to_cut,0.0618792919527182,5.72548788435838,T2-3b,LATE,5.72548788435838
600177,False,True,26063.0,4.364535474089632,4.185660376441632e-05,6.353735931644547,6.58771535592958e-06,LATE,,unplaced_to_cut,0.0306095849230345,4.450794062355996,T2-3b,LATE,4.450794062355996
600178,False,True,26805.0,4.562971472993766,4.005080269227621e-05,6.601392062663506,6.067023790148384e-06,LATE,,unplaced_to_cut,0.0754699749610562,4.613839682733214,T2-3b,LATE,4.613839682733214
600179,False,False,,,,,,LATE,,unplaced_to_cut,0.0160937799530693,5.72548788435838,T2-3b,LATE,5.72548788435838
