seed,s_w1_own,note
600161,3.7180266639144746,ok
600162,5.139696800771513,ok
600164,5.327978945865642,ok
600165,4.958068241684655,ok
600166,4.613839682733214,ok
600167,5.327978945865642,ok
600168,4.782858141653791,ok
600169,5.139696800771513,ok
600171,4.782858141653791,ok
600173,4.782858141653791,ok
600175,5.327978945865642,ok
600176,5.72548788435838,ok
600177,4.450794062355996,ok
600178,4.613839682733214,ok
600179,5.72548788435838,ok
600180,4.958068241684655,ok
600181,5.523158417307099,ok
600184,4.958068241684655,ok
600185,5.139696800771513,ok
600187,5.139696800771513,ok
600188,4.293510210083482,ok
600189,4.782858141653791,ok
600191,5.327978945865642,ok
600192,6.152654101490373,ok
600193,5.935229272296986,ok
600195,4.782858141653791,ok
600196,5.139696800771513,ok
600199,5.139696800771513,ok
600203,5.139696800771513,ok
600204,5.935229272296986,ok
600206,5.523158417307099,ok
600207,5.327978945865642,ok
600208,4.958068241684655,ok
600209,5.523158417307099,ok
600210,5.327978945865642,ok
600211,4.613839682733214,ok
600212,4.958068241684655,ok
600213,4.782858141653791,ok
600214,4.958068241684655,ok
600215,4.782858141653791,ok
600216,4.782858141653791,ok
600217,5.139696800771513,ok
600219,3.7180266639144746,ok
600220,5.139696800771513,ok
600221,5.327978945865642,ok
600222,5.139696800771513,ok
600223,5.139696800771513,ok
600225,6.152654101490373,ok
600226,4.782858141653791,ok
600227,6.152654101490373,ok
600228,5.72548788435838,ok
600229,4.958068241684655,ok
600230,4.450794062355996,ok
600232,5.327978945865642,ok
600233,4.782858141653791,ok
600234,4.782858141653791,ok
600235,4.613839682733214,ok
600236,4.613839682733214,ok
600237,4.450794062355996,ok
600238,5.327978945865642,ok
600239,4.958068241684655,ok
