a,opt,n,n_exact_step_equals_observed,slope_obs_on_full,median_run_ratio_obs_over_full
1.3,adam,187,187,1.0183492448175602,1.0172789749236901
1.3,sgd,12,12,1.0148944722945847,1.0168622291029292
1.45,adam,12,12,1.0302820267729773,1.0322058896434048
1.5,adam,191,191,1.0367762476903417,1.034151069487264
1.5,sgd,12,12,1.0313210855889674,1.0369170860819974
1.6,adam,12,12,1.0452364508879168,1.046442794140944
