a,opt,n_runs,1A_n,1A_median_pred,1A_median_pred_over_median_1A,1A_ratio_of_medians,1A_median_run_ratio,1A_slope_obs_on_pred,slaved_n,slaved_median_pred,slaved_median_pred_over_median_1A,slaved_ratio_of_medians,slaved_median_run_ratio,slaved_slope_obs_on_pred,full_7_n,full_7_median_pred,full_7_median_pred_over_median_1A,full_7_ratio_of_medians,full_7_median_run_ratio,full_7_slope_obs_on_pred,full_m0H_7_n,full_m0H_7_median_pred,full_m0H_7_median_pred_over_median_1A,full_m0H_7_ratio_of_medians,full_m0H_7_median_run_ratio,full_m0H_7_slope_obs_on_pred,a_7_n,a_7_median_pred,a_7_median_pred_over_median_1A,a_7_ratio_of_medians,a_7_median_run_ratio,a_7_slope_obs_on_pred,b_7_n,b_7_median_pred,b_7_median_pred_over_median_1A,b_7_ratio_of_medians,b_7_median_run_ratio,b_7_slope_obs_on_pred,c_7_n,c_7_median_pred,c_7_median_pred_over_median_1A,c_7_ratio_of_medians,c_7_median_run_ratio,c_7_slope_obs_on_pred,c_path_7_n,c_path_7_median_pred,c_path_7_median_pred_over_median_1A,c_path_7_ratio_of_medians,c_path_7_median_run_ratio,c_path_7_slope_obs_on_pred,d_7_n,d_7_median_pred,d_7_median_pred_over_median_1A,d_7_ratio_of_medians,d_7_median_run_ratio,d_7_slope_obs_on_pred,a_nomom_7_n,a_nomom_7_median_pred,a_nomom_7_median_pred_over_median_1A,a_nomom_7_ratio_of_medians,a_nomom_7_median_run_ratio,a_nomom_7_slope_obs_on_pred,full_5_n,full_5_median_pred,full_5_median_pred_over_median_1A,full_5_ratio_of_medians,full_5_median_run_ratio,full_5_slope_obs_on_pred,full_m0H_5_n,full_m0H_5_median_pred,full_m0H_5_median_pred_over_median_1A,full_m0H_5_ratio_of_medians,full_m0H_5_median_run_ratio,full_m0H_5_slope_obs_on_pred,a_5_n,a_5_median_pred,a_5_median_pred_over_median_1A,a_5_ratio_of_medians,a_5_median_run_ratio,a_5_slope_obs_on_pred,b_5_n,b_5_median_pred,b_5_median_pred_over_median_1A,b_5_ratio_of_medians,b_5_median_run_ratio,b_5_slope_obs_on_pred,c_5_n,c_5_median_pred,c_5_median_pred_over_median_1A,c_5_ratio_of_medians,c_5_median_run_ratio,c_5_slope_obs_on_pred,c_path_5_n,c_path_5_median_pred,c_path_5_median_pred_over_median_1A,c_path_5_ratio_of_medians,c_path_5_median_run_ratio,c_path_5_slope_obs_on_pred,d_5_n,d_5_median_pred,d_5_median_pred_over_median_1A,d_5_ratio_of_medians,d_5_median_run_ratio,d_5_slope_obs_on_pred,a_nomom_5_n,a_nomom_5_median_pred,a_nomom_5_median_pred_over_median_1A,a_nomom_5_ratio_of_medians,a_nomom_5_median_run_ratio,a_nomom_5_slope_obs_on_pred,1A_global_ref_slope_obs_on_pred,1A_global_ref_n,median_s_star_over_global_own,frac_s_star_off_global_own_1pct
1.3,adam,765,765,0.0297419120163851,1.0,1.0248807357879315,1.0211137840145004,1.0201519965460648,765,0.0302151011237505,1.015909841542962,1.008830403917876,1.0118012002395618,1.0085975257987787,729,0.0299129827077526,1.008985745204721,1.0171590598550586,1.0185036048211555,1.0189299201325106,729,0.0298986567710819,1.0085025213808494,1.017646431457973,1.0184923307188054,0.6621166874373956,762,0.029881184634622047,1.004682705609519,1.0199077471831317,1.000000000000003,0.059772018407521416,717,0.0297277687084149,1.0054158967281126,1.0231437948537654,1.0184912236693302,0.620456511400084,764,0.03012228964534345,1.0127892796115057,1.0119953409585112,1.0000000000000033,0.5369681486115637,758,0.030769384522137,1.0346024510274185,0.9901262872840308,0.9823617152215924,0.1484269117807645,0,,,,,,0,,,,,,744,0.0299672619845925,1.0075768487272523,1.016978185045056,1.0186346134823496,1.0189643069908816,744,0.0299672619845925,1.0075768487272523,1.016978185045056,1.0186346134823496,1.0189643069908816,764,0.02967647200286,0.9977997375054755,1.0271981378767863,1.0000000000000029,-0.017655515317434353,742,0.029963512735426252,1.0075054863434179,1.0167558366045106,1.0186636182427216,1.0191178897096276,764,0.030182165759968398,1.0148024694357498,1.0099877199840244,1.0000000000000036,0.868002783671257,764,0.030805808133922148,1.0357709389010006,0.9895412140323957,0.9823617152215924,0.1264955475293757,0,,,,,,0,,,,,,0.8830123174035365,765,0.9999538800139514,0.24183006535947713
1.3,sgd,30,30,0.0269876779361309,1.0,1.0683603157309094,1.0697473947756908,1.0521437913565772,30,0.02878752758335595,1.0666915342433156,1.0015644461721331,1.004491410449401,1.0046580436119728,30,0.0283582520991211,1.050785183009587,1.016725714261582,1.017544173955642,1.0159600209329704,30,0.0283582520991211,1.050785183009587,1.016725714261582,1.017544173955642,1.0159600209329704,30,0.02834340142174325,1.0502349067904548,1.0172584331593457,1.0190788069953496,1.0192500128023165,30,0.02834340142174325,1.0502349067904548,1.0172584331593457,1.0190788069953496,1.0192500128023165,30,0.0283582520991211,1.050785183009587,1.016725714261582,1.017544173955642,1.0159600209329704,30,0.0290642900287546,1.0769466753508106,0.9920271264897084,0.9946367611746342,0.9947954336832437,30,0.0283582520991211,1.050785183009587,1.016725714261582,1.017544173955642,1.0159600209329704,30,0.02834340142174325,1.0502349067904548,1.0172584331593457,1.0190788069953496,1.0192500128023165,30,0.0283582520991211,1.050785183009587,1.016725714261582,1.017544173955642,1.0159600209329704,30,0.0283582520991211,1.050785183009587,1.016725714261582,1.017544173955642,1.0159600209329704,30,0.02834340142174325,1.0502349067904548,1.0172584331593457,1.0190788069953496,1.0192500128023165,30,0.02834340142174325,1.0502349067904548,1.0172584331593457,1.0190788069953496,1.0192500128023165,30,0.0283582520991211,1.050785183009587,1.016725714261582,1.017544173955642,1.0159600209329704,30,0.0290642900287546,1.0769466753508106,0.9920271264897084,0.9946367611746342,0.9947954336832437,30,0.0283582520991211,1.050785183009587,1.016725714261582,1.017544173955642,1.0159600209329704,30,0.02834340142174325,1.0502349067904548,1.0172584331593457,1.0190788069953496,1.0192500128023165,1.095827469920782,30,1.000047882243274,0.2
1.45,adam,80,80,0.05161115600531875,1.0,1.03892918377736,1.0155169735283178,1.0058458615966182,80,0.053135240717831,1.029530140970979,1.0091294488935665,1.0077678101403507,0.9879873939280203,80,0.05195685410461465,1.0066981274215263,1.0320166050555668,1.0303980502258132,1.0300742929345776,80,0.05195685410461465,1.0066981274215263,1.0320166050555668,1.0303980502258132,1.0300742929345776,80,0.05266008931895985,1.0203237709601585,1.0182348126611744,1.015792880548886,1.0230443818696004,80,0.05195685410461465,1.0066981274215263,1.0320166050555668,1.0303980502258132,1.0319941322258253,80,0.0522289069612211,1.011969329961117,1.0266409791463529,1.0156995363347665,1.0196255754376562,80,0.054861485116290354,1.062977258456227,0.9773766799923903,0.9725838177953782,0.9776185072366416,37,0.0522585703905784,1.0041429964866553,1.0322358020755356,1.0278062023186927,1.0253376469361541,39,0.0527124163249337,1.0034106954387336,1.0260107996228747,1.0164396114369934,1.021170519783332,80,0.05195685410461465,1.0066981274215263,1.0320166050555668,1.0303980502258132,1.0300742929345776,80,0.05195685410461465,1.0066981274215263,1.0320166050555668,1.0303980502258132,1.0300742929345776,80,0.05266008931895985,1.0203237709601585,1.0182348126611744,1.015792880548886,1.0230443818696004,80,0.05195685410461465,1.0066981274215263,1.0320166050555668,1.0303980502258132,1.0319941322258253,80,0.0522289069612211,1.011969329961117,1.0266409791463529,1.0156995363347665,1.0196255754376562,80,0.054861485116290354,1.062977258456227,0.9773766799923903,0.9725838177953782,0.9776185072366416,37,0.0522585703905784,1.0041429964866553,1.0322358020755356,1.0278062023186927,1.0253376469361541,39,0.0527124163249337,1.0034106954387336,1.0260107996228747,1.0164396114369934,1.021170519783332,0.8318349724693395,80,0.999808368591053,0.175
1.5,adam,765,765,0.0626124479560998,1.0,1.0275620592447345,1.0200521963855311,0.9767241338669492,765,0.0645639148236393,1.0311673945236537,0.9965036372386613,1.0030182165357238,0.9605074639249279,759,0.061759898153908,0.9875352765187293,1.0402883565166496,1.034843447462497,1.0376783352059182,759,0.0614967131357919,0.9833269714954086,1.0447404368961528,1.0347744834617678,0.6840823217014173,765,0.0612597151165892,0.9783951453158475,1.0502526143596254,1.0146146575750137,0.2732834440068672,753,0.0609663483859541,0.9749161984803592,1.0537103916552748,1.0330886906566277,0.46559302869632613,762,0.0620713979475824,0.9925516170950934,1.0350095376716477,1.01698702632403,0.9912101381905317,756,0.06487954549608349,1.0374923466590258,0.9901560552614165,0.9703648375983458,0.5648411051816102,351,0.0625702998531689,0.9823231586862234,1.0304638801697183,1.0300104035407143,1.0305120080715242,386,0.062495098565053045,0.9809871347635516,1.0378965326451766,1.0194105627752497,1.0324692780052074,763,0.0617770159365671,0.9878089883404282,1.0400001031959012,1.0348587857714864,1.0376909386971278,763,0.0617770159365671,0.9878089883404282,1.0400001031959012,1.0348587857714864,1.0376909386971278,765,0.0616528605691917,0.9846741755316625,1.0435554062235004,1.0155389431512571,0.20623724358566373,763,0.0617770159365671,0.9878089883404282,1.0400001031959012,1.0338145844230733,0.9934754064322094,762,0.0620713979475824,0.9925516170950934,1.0350095376716477,1.0169532000077086,0.9537010003998968,759,0.0652927475462807,1.0440998831549357,0.983889899716971,0.9702786162383674,0.8594764540722566,351,0.0625702998531689,0.9823231586862234,1.0304638801697183,1.0300104035407143,1.0305120080715242,386,0.062495098565053045,0.9809871347635516,1.0378965326451766,1.0189027342611232,1.0326468204376085,0.908190107705554,765,0.999916491068303,0.22745098039215686
1.5,sgd,30,30,0.057185350471896504,1.0,1.08860145611955,1.0794777381269682,1.076018394191483,30,0.062228822137602044,1.0881951692887522,1.0003733584215995,1.000846533963553,1.0001380213613642,30,0.0599212007184717,1.0478418025595508,1.0388986710211752,1.0372444335814652,1.0322362086541736,30,0.0599212007184717,1.0478418025595508,1.0388986710211752,1.0372444335814652,1.0322362086541736,30,0.059948676734241396,1.048322275539833,1.038422517120487,1.0372444335814652,1.037565585078433,30,0.059948676734241396,1.048322275539833,1.038422517120487,1.0372444335814652,1.037565585078433,30,0.0599212007184717,1.0478418025595508,1.0388986710211752,1.0372444335814652,1.0322362086541736,30,0.06277775899695096,1.0977944260008132,0.9916259641481762,0.9900032782004635,0.9885641335123281,30,0.0599212007184717,1.0478418025595508,1.0388986710211752,1.0372444335814652,1.0322362086541736,30,0.059948676734241396,1.048322275539833,1.038422517120487,1.0372444335814652,1.037565585078433,30,0.0599212007184717,1.0478418025595508,1.0388986710211752,1.0372444335814652,1.0322362086541736,30,0.0599212007184717,1.0478418025595508,1.0388986710211752,1.0372444335814652,1.0322362086541736,30,0.059948676734241396,1.048322275539833,1.038422517120487,1.0372444335814652,1.037565585078433,30,0.059948676734241396,1.048322275539833,1.038422517120487,1.0372444335814652,1.037565585078433,30,0.0599212007184717,1.0478418025595508,1.0388986710211752,1.0372444335814652,1.0322362086541736,30,0.06277775899695096,1.0977944260008132,0.9916259641481762,0.9900032782004635,0.9885641335123281,30,0.0599212007184717,1.0478418025595508,1.0388986710211752,1.0372444335814652,1.0322362086541736,30,0.059948676734241396,1.048322275539833,1.038422517120487,1.0372444335814652,1.037565585078433,1.101827100208047,30,1.0004406771976981,0.2
1.6,adam,80,80,0.0818810477227851,1.0,0.9953550452342633,1.005193698763979,0.8980334917076315,80,0.0848848829403275,1.03668535395043,0.9601322536691853,0.9921771408051714,0.8960357118380665,80,0.07793097808985515,0.951758438090543,1.045806378382298,1.0484013272135941,1.0465376624257083,80,0.07793097808985515,0.951758438090543,1.045806378382298,1.0484013272135941,1.0465376624257083,80,0.07855008247753045,0.9593194599007588,1.0375636968077686,1.0312967968614528,1.0408240023313315,80,0.07793097808985515,0.951758438090543,1.045806378382298,1.044217831762724,1.0444922072740173,80,0.0781702364612222,0.9546804619046139,1.0426054422947995,1.0329100852449091,1.0395061047410252,80,0.0840395889074533,1.0263619145663123,0.9697895363302222,0.9691955436653916,0.9775002654991585,62,0.07819539180904075,0.9509299981031746,1.0422700375870324,1.038567922782953,1.0338810355176686,66,0.07983682025660685,0.9772981366094952,1.020841182025872,1.0271840277155935,1.0319969670786044,80,0.07793097808985515,0.951758438090543,1.045806378382298,1.0484013272135941,1.0465376624257083,80,0.07793097808985515,0.951758438090543,1.045806378382298,1.0484420569555715,1.0467238186145893,80,0.07915061955339744,0.9666537221332129,1.0296914214923958,1.0312967968614528,1.0414075801831744,80,0.07793097808985515,0.951758438090543,1.045806378382298,1.044217831762724,1.0443581299795524,80,0.0781702364612222,0.9546804619046139,1.0426054422947995,1.0329100852449091,1.040059224114928,80,0.0840395889074533,1.0263619145663123,0.9697895363302222,0.9691955436653916,0.9775002654991585,62,0.07819539180904075,0.9509299981031746,1.0422700375870324,1.038567922782953,1.0338810355176686,66,0.07983682025660685,0.9772981366094952,1.020841182025872,1.0271840277155935,1.0319969670786044,0.8176428365543662,80,0.999949833045087,0.175
