a,kchi_tercile,n,median_kchi,median_chi,1A_global_ref,kchi_branch_ref,slaved_own,a_7,b_7,c_7,c_path_7,d_7,full_7,full_5
1.3,1,267,0.0223393682088167,0.0029353184602811,1.0192427458187994,1.021113784014498,1.018322406306814,1.0,1.0152134850501553,1.0,0.9834248797682095,1.0172131636132236,1.015194823825709,1.015194823825709
1.3,2,264,0.0296186298578293,0.00389178915792285,1.0279339748274332,1.0272682450865207,1.0111361068162523,1.0,1.0186287291311438,1.0,0.9819310673584779,1.0186737603229838,1.018609953155132,1.01868705043287
1.3,3,264,0.0317382182227135,0.00417029599829025,0.997676513408179,1.0117239995515992,1.0051365285669547,1.0184711334743723,1.0196149455285681,1.0188957740332878,0.9828974509394995,1.017598286117709,1.019523605456253,1.019482230474706
1.45,1,27,0.0451648104220199,0.009844208071379,1.080506013681427,1.0418264140031044,1.012756583306226,1.0115488646175332,1.0317053868202635,1.013367975941176,0.9701870167892074,1.0275036935107469,1.0317053868202635,1.0317053868202635
1.45,2,26,0.05161115600531875,0.011249265828270849,1.0256495953289173,1.018630684404365,1.008158364830472,1.0157928805488852,1.0303980502258123,1.0171737812585881,0.9709362037859066,1.028833942093354,1.0320945238090735,1.0320945238090735
1.45,3,27,0.0614978872059827,0.0134041965846652,0.9301884979456894,0.9700971508088737,0.9662742779656581,1.0301571633230613,1.0301211002767385,1.0301571633230613,1.0,1.027683416747475,1.0278062023186914,1.0278062023186914
1.5,1,265,0.0461496763966741,0.0114061067397253,1.0271853151567545,1.0300536430051173,1.0125270274689904,1.0,1.0267998978863968,1.0,0.9703127667886271,1.0242940863770957,1.0272864921005895,1.0272864921005895
1.5,2,265,0.0624753084514496,0.015422431297315,1.0355232623585977,1.046495096685801,1.0077221291647778,1.0154087389944906,1.0366370973978507,1.0163666081808624,0.9670827436460415,1.0336549141409743,1.0391765834286328,1.0391765834286328
1.5,3,265,0.0717308025486453,0.0177286008110551,0.9086435543294867,0.9251574198281891,0.9185277793549566,1.0547501229727672,1.0344817286530574,1.05559204583477,1.0,1.0319836490357661,1.0352167328958009,1.0352167328958009
1.6,1,27,0.0695485158558282,0.0211155116795144,1.0720688320858391,1.0601812428811896,1.0097429851041346,1.0202625993909198,1.0429108236611424,1.026677502235472,0.9577199715814001,1.043117267736481,1.0484129277017897,1.0484129277017897
1.6,2,26,0.0818810477227851,0.0248597716032564,1.0196057156762688,1.0221559177263106,0.991758800042644,1.0283989671100293,1.044598991070141,1.0305969959509116,0.9642908267200605,1.036809344830283,1.0494762380566987,1.0494762380566987
1.6,3,27,0.0994916982100254,0.0302065125289437,0.7867041900200158,0.7992048072378032,0.8322646032954811,1.0735893191056007,1.0452019993029422,1.0810560878539373,1.0267394608199312,1.035238626703384,1.046090884579404,1.046090884579404
