seed,crossed,step_obs,t_rule,t_sw,r_obs,r_traj_committed,r_cf_committed,registered_r_traj,registered_r_cf,registered_status_traj,p_switch_r_traj,p_switch_r_cf,p_switch_status_traj,p_cross_r_traj,p_cross_r_cf,p_cross_status_traj,p_switch_before_crossing
1650000,True,3147.0,2931,3112,0.0809485586630771,0.0654350438233617,0.0741786671537488,0.06543504382336174,0.07417866715374886,ok,0.07653173264250945,0.08773635595119172,ok,0.07653173264250945,0.08882848742539319,ok,True
1650001,True,1078.0,662,1033,0.062299408875053,0.0541495941008192,0.0464216483826815,0.05414959410081921,0.046421648382681584,ok,0.060942916651921974,0.05019024477094437,ok,0.059585702894973114,0.04982553993104498,ok,True
1650002,True,17699.0,17621,17678,0.1206465738660389,0.0674998663782775,0.0934623217947182,0.06749986637827754,0.09346232179471828,ok,0.1154926717199738,0.19274040310259197,ok,0.12064657386603894,0.2076944015051532,ok,True
1650003,True,1259.0,661,1160,0.0945929889939423,0.1270960694192158,0.1336545248759243,0.1270960694192158,0.13365452487592436,ok,0.09268280412078189,0.09767253861263828,ok,0.08790820385732467,0.09272349542526959,ok,True
1650004,True,1127.0,414,1038,0.0800231236273865,0.136674161266421,0.1307138754389301,0.13667416126642107,0.13071387543893012,ok,0.07822751812554407,0.08271205610263008,ok,0.07463685900446637,0.07884307764004408,ok,True
1650005,True,551.0,251,500,0.0867719753856433,0.0702705383980697,0.0651015149336387,0.07027053839806974,0.06510151493363875,ok,0.08348046264617492,0.07699244442749552,ok,0.08348046264617492,0.07674334417783087,ok,True
1650006,True,710.0,299,650,0.0816077667845891,0.0963328030753909,0.1015751164021981,0.09633280307539094,0.1015751164021981,ok,0.08026776773891742,0.08481311781885384,ok,0.0775870853672096,0.08252491839351088,ok,True
1650007,True,1355.0,730,1260,0.0966040066209483,0.1246030478823316,0.0956181108930856,0.12460304788233167,0.09561811089308565,ok,0.0996085968714362,0.07665800775268947,ok,0.09560222251131023,0.073697083162557,ok,True
1650008,True,1699.0,1423,1645,0.0991523495764974,0.0867715827977289,0.0855106180078483,0.0867715827977289,0.08551061800784836,ok,0.09738883744397042,0.09594136507502118,ok,0.09738883744397042,0.09629298885727167,ok,True
1650009,True,9603.0,9516,9577,0.1196731378518154,0.0802980855164106,0.1490868121676944,0.0802980855164106,0.14908681216769445,ok,0.10667897103291502,0.20602183978392716,ok,0.11536009039706885,0.21928182168497592,ok,True
